반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55170109,광고선전비_기타,K3,3200006173,1,2025-10-15,2025-10-15,2025-10-15,S,40,2200,Discovery,KRW,130000,130000.0,KRW,VZ,1000.0,25.09 DX롯데울산 공동사은 프로모션,,,,,2000.0,,FX1200,DISCOVERY_유통1팀,롯데쇼핑 (주) 울산점,,,,,,광고선전비,광고선전비,광고선전비_기타,202510,부서
,2025/10,,55170109,광고선전비_기타,K3,3200006174,1,2025-10-15,2025-10-15,2025-10-15,S,40,2200,Discovery,KRW,100000,100000.0,KRW,VZ,1000.0,25.09 DX롯데동래 공동사은 프로모션,,,,,2000.0,,FX1200,DISCOVERY_유통1팀,롯데쇼핑(주)동래점,,,,,,광고선전비,광고선전비,광고선전비_기타,202510,부서
,2025/10,,55170109,광고선전비_기타,K3,3200006175,1,2025-10-15,2025-10-15,2025-10-15,S,40,2200,Discovery,KRW,50000,50000.0,KRW,VZ,1000.0,25.09 DX롯데잠실 공동사은 프로모션,,,,,2000.0,,FX1200,DISCOVERY_유통1팀,롯데쇼핑(주)잠실점,,,,,,광고선전비,광고선전비,광고선전비_기타,202510,부서
,2025/10,,55170109,광고선전비_기타,K3,3200006176,1,2025-10-15,2025-10-15,2025-10-15,S,40,2200,Discovery,KRW,50000,50000.0,KRW,VZ,1000.0,25.09 DX롯데광복 공동사은 프로모션,,,,,2000.0,,FX1200,DISCOVERY_유통1팀,롯데쇼핑(주)광복점,,,,,,광고선전비,광고선전비,광고선전비_기타,202510,부서
,2025/10,,55170109,광고선전비_기타,K3,3200006177,1,2025-10-15,2025-10-15,2025-10-15,S,40,2200,Discovery,KRW,50000,50000.0,KRW,VZ,1000.0,25.09 DX롯데평촌 공동사은 프로모션,,,,,2000.0,,FX1200,DISCOVERY_유통1팀,롯데쇼핑(주)평촌점,,,,,,광고선전비,광고선전비,광고선전비_기타,202510,부서
,2025/10,,55170109,광고선전비_기타,K3,3200006178,1,2025-10-15,2025-10-15,2025-10-15,S,40,2200,Discovery,KRW,40000,40000.0,KRW,VZ,1000.0,25.09 DX롯데포항 공동사은 프로모션,,,,,2000.0,,FX1200,DISCOVERY_유통1팀,롯데쇼핑(주) 포항점WWS,,,,,,광고선전비,광고선전비,광고선전비_기타,202510,부서
,2025/10,,55170109,광고선전비_기타,K3,3200006179,1,2025-10-15,2025-10-15,2025-10-15,S,40,2200,Discovery,KRW,40000,40000.0,KRW,VZ,1000.0,25.09 DX롯데창원 공동사은 프로모션,,,,,2000.0,,FX1200,DISCOVERY_유통1팀,롯데쇼핑(주)창원,,,,,,광고선전비,광고선전비,광고선전비_기타,202510,부서
,2025/10,,55170109,광고선전비_기타,K3,3200006180,1,2025-10-15,2025-10-15,2025-10-15,S,40,2200,Discovery,KRW,30000,30000.0,KRW,VZ,1000.0,25.09 DX롯데청량리 공동사은 프로모션,,,,,2000.0,,FX1200,DISCOVERY_유통1팀,롯데쇼핑(주)청량리점,,,,,,광고선전비,광고선전비,광고선전비_기타,202510,부서
,2025/10,,55170109,광고선전비_기타,K3,3200006181,1,2025-10-15,2025-10-15,2025-10-15,S,40,2200,Discovery,KRW,30000,30000.0,KRW,VZ,1000.0,25.09 DX롯데관악 공동사은 프로모션,,,,,2000.0,,FX1200,DISCOVERY_유통1팀,롯데쇼핑(주)관악점,,,,,,광고선전비,광고선전비,광고선전비_기타,202510,부서
,2025/10,,55170109,광고선전비_기타,K3,3200006182,1,2025-10-15,2025-10-15,2025-10-15,S,40,2200,Discovery,KRW,20000,20000.0,KRW,VZ,1000.0,25.09 DX롯데광주 공동사은 프로모션,,,,,2000.0,,FX1200,DISCOVERY_유통1팀,롯데쇼핑(주)광주점,,,,,,광고선전비,광고선전비,광고선전비_기타,202510,부서
,2025/10,,55170109,광고선전비_기타,K3,3200006183,1,2025-10-15,2025-10-15,2025-10-15,S,40,2200,Discovery,KRW,20000,20000.0,KRW,VZ,1000.0,25.09 DX롯데분당 공동사은 프로모션,,,,,2000.0,,FX1200,DISCOVERY_유통1팀,롯데쇼핑(주)분당점,,,,,,광고선전비,광고선전비,광고선전비_기타,202510,부서
,2025/10,,55170109,광고선전비_기타,K3,3200006184,1,2025-10-15,2025-10-15,2025-10-15,S,40,2200,Discovery,KRW,20000,20000.0,KRW,VZ,1000.0,25.09 DX롯데영등포 공동사은 프로모션,,,,,2000.0,,FX1200,DISCOVERY_유통1팀,롯데역사 (주),,,,,,광고선전비,광고선전비,광고선전비_기타,202510,부서
,2025/10,,55170109,광고선전비_기타,K3,3200006185,1,2025-10-15,2025-10-15,2025-10-15,S,40,2200,Discovery,KRW,20000,20000.0,KRW,VZ,1000.0,25.09 DX롯데대전 공동사은 프로모션,,,,,2000.0,,FX1200,DISCOVERY_유통1팀,롯데쇼핑(주)대전점,,,,,,광고선전비,광고선전비,광고선전비_기타,202510,부서
,2025/10,,55170109,광고선전비_기타,K3,3200006186,1,2025-10-15,2025-10-15,2025-10-15,S,40,2200,Discovery,KRW,20000,20000.0,KRW,VZ,1000.0,25.09 DX롯데대구 공동사은 프로모션,,,,,2000.0,,FX1200,DISCOVERY_유통1팀,롯데역사(대구점),,,,,,광고선전비,광고선전비,광고선전비_기타,202510,부서
,2025/10,,55170109,광고선전비_기타,K3,3200006187,1,2025-10-15,2025-10-15,2025-10-15,S,40,2200,Discovery,KRW,10000,10000.0,KRW,VZ,1000.0,25.09 DX롯데부산 공동사은 프로모션,,,,,2000.0,,FX1200,DISCOVERY_유통1팀,롯데쇼핑(주)부산점,,,,,,광고선전비,광고선전비,광고선전비_기타,202510,부서
,2025/10,,55170109,광고선전비_기타,K3,3200006188,1,2025-10-15,2025-10-15,2025-10-15,S,40,2200,Discovery,KRW,10000,10000.0,KRW,VZ,1000.0,25.09 DX롯데노원 공동사은 프로모션,,,,,2000.0,,FX1200,DISCOVERY_유통1팀,롯데쇼핑주식회사 노원점,,,,,,광고선전비,광고선전비,광고선전비_기타,202510,부서
,2025/10,,55170109,광고선전비_기타,K3,3200006189,1,2025-10-15,2025-10-15,2025-10-15,S,40,2200,Discovery,KRW,10000,10000.0,KRW,VZ,1000.0,25.09 DX롯데건대 공동사은 프로모션,,,,,2000.0,,FX1200,DISCOVERY_유통1팀,롯데쇼핑(주)스타시티점,,,,,,광고선전비,광고선전비,광고선전비_기타,202510,부서
,2025/10,,55170109,광고선전비_기타,K3,3200006190,1,2025-10-15,2025-10-15,2025-10-15,S,40,2200,Discovery,KRW,10000,10000.0,KRW,VZ,1000.0,25.09 DX롯데구리 공동사은 프로모션,,,,,2000.0,,FX1200,DISCOVERY_유통1팀,롯데쇼핑(주)구리점,,,,,,광고선전비,광고선전비,광고선전비_기타,202510,부서
