반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,55170105,광고선전비_콘텐츠제작,K3,3200007496,1,2024-11-01,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,264000,264000.0,KRW,VZ,1000.0,변우석 생일 선물 구매 (박스제작),,,,,2000.0,,FX0300,DISCOVERY_마케팅팀,박세희,,,,,,광고선전비,광고선전비,광고선전비_콘텐츠제작,202410,부서
,2024/10,,55170105,광고선전비_콘텐츠제작,K3,3200007497,1,2024-11-01,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,325000,325000.0,KRW,VZ,1000.0,변우석 생일 선물 구매 (플라워 제작),,,,,2000.0,,FX0300,DISCOVERY_마케팅팀,박세희,,,,,,광고선전비,광고선전비,광고선전비_콘텐츠제작,202410,부서
,2024/10,,55170105,광고선전비_콘텐츠제작,K3,3200007498,1,2024-11-01,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,220000,220000.0,KRW,VZ,1000.0,변우석 생일 선물 구매 (케이크 제작),,,,,2000.0,,FX0300,DISCOVERY_마케팅팀,박세희,,,,,,광고선전비,광고선전비,광고선전비_콘텐츠제작,202410,부서
,2024/10,,55170105,광고선전비_콘텐츠제작,K3,3200007499,1,2024-11-01,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,44000,44000.0,KRW,VZ,1000.0,변우석 생일 선물 구매 (스티커 제작),,,,,2000.0,,FX0300,DISCOVERY_마케팅팀,박세희,,,,,,광고선전비,광고선전비,광고선전비_콘텐츠제작,202410,부서
,2024/10,,55170105,광고선전비_콘텐츠제작,K1,3400011641,1,2024-11-01,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,167556348,167556348.0,KRW,V1,1000.0,24FW 브랜드 캠페인 영상 개발 비용,,,,,2000.0,,FX0300,DISCOVERY_마케팅팀,202410311024110131,,1208814086,정승혁 외 1 명,(주) 슈퍼마켓크리에이티브,,광고선전비,광고선전비,광고선전비_콘텐츠제작,202410,부서
,2024/10,,55170105,광고선전비_콘텐츠제작,K1,3400011962,1,2024-11-05,2024-10-25,2024-10-25,S,40,2200,Discovery,KRW,18000000,18000000.0,KRW,V1,1000.0,24FW 고윤정 앰배서더 촬영 후반 리터칭,,,,,2000.0,,FX0300,DISCOVERY_마케팅팀,202410251024102524,,5478801942,박진표,주식회사 아이즈,,광고선전비,광고선전비,광고선전비_콘텐츠제작,202410,부서
,2024/10,,55170105,광고선전비_콘텐츠제작,K1,3400012235,1,2024-11-06,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,49500000,49500000.0,KRW,V1,1000.0,24FW 브랜드 영상 웨더데이 추가 촬영,,,,,2000.0,,FX0300,DISCOVERY_마케팅팀,202410311024110131,,1208814086,정승혁 외 1 명,(주) 슈퍼마켓크리에이티브,,광고선전비,광고선전비,광고선전비_콘텐츠제작,202410,부서
,2024/10,,55170105,광고선전비_콘텐츠제작,K1,3400012238,1,2024-11-06,2024-10-30,2024-10-30,S,40,2200,Discovery,KRW,20000000,20000000.0,KRW,V1,1000.0,24FW 시즌 비주얼 포토 중화권 사용 확장,,,,,2000.0,,FX2200,DISCOVERY_마케팅팀(글로벌),202410301024103027,,5478801942,박진표,주식회사 아이즈,,광고선전비,광고선전비,광고선전비_콘텐츠제작,202410,부서
,2024/10,,55170105,광고선전비_콘텐츠제작,K1,3400012239,1,2024-11-06,2024-10-30,2024-10-30,S,40,2200,Discovery,KRW,38000000,38000000.0,KRW,V1,1000.0,"24FW 시즌 비주얼 포토 숏필름 제, 리터칭",,,,,2000.0,,FX0300,DISCOVERY_마케팅팀,202410301024103027,,5478801942,박진표,주식회사 아이즈,,광고선전비,광고선전비,광고선전비_콘텐츠제작,202410,부서
,2024/10,,55170105,광고선전비_콘텐츠제작,K1,3400012240,1,2024-11-06,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,34000000,34000000.0,KRW,V1,1000.0,"24FW 브랜드 영상 메이킹 제작, 후반 작업",,,,,2000.0,,FX0300,DISCOVERY_마케팅팀,202410311024110131,,1208814086,정승혁 외 1 명,(주) 슈퍼마켓크리에이티브,,광고선전비,광고선전비,광고선전비_콘텐츠제작,202410,부서
,2024/10,,55170105,광고선전비_콘텐츠제작,K1,3400012261,1,2024-11-06,2024-10-24,2024-10-24,S,40,2200,Discovery,KRW,1000000,1000000.0,KRW,V1,1000.0,24FW 브랜드 영상 사이즈베리 작업 진행의,,,,,2000.0,,FX0300,DISCOVERY_마케팅팀,202410241024102423,,5118800847,김찬우,(주)자이언트블랙,,광고선전비,광고선전비,광고선전비_콘텐츠제작,202410,부서
