반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55170103,광고선전비_협찬/제휴,K1,3400011196,1,2025-10-29,2025-10-27,2025-10-27,S,40,2200,Discovery,KRW,38500000,38500000.0,KRW,V1,1000.0,INF DX 반얀트리행사 셔누 초청건,,,,,2000.0,,FX0300,DISCOVERY_마케팅팀,202510271025102718,,3078802514,함주희,주식회사 올인원엔터테인먼트,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170103,광고선전비_협찬/제휴,K1,3400011197,1,2025-10-29,2025-10-27,2025-10-27,S,40,2200,Discovery,KRW,22000000,22000000.0,KRW,V1,1000.0,INF DX 반얀트리 행사 셀럽 유라 초청,,,,,2000.0,,FX0300,DISCOVERY_마케팅팀,202510271025102718,,3078802514,함주희,주식회사 올인원엔터테인먼트,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170103,광고선전비_협찬/제휴,K1,3400011198,1,2025-10-29,2025-10-27,2025-10-27,S,40,2200,Discovery,KRW,6600000,6600000.0,KRW,V1,1000.0,INF DX 반얀트리 행사 배지연 초청건,,,,,2000.0,,FX0300,DISCOVERY_마케팅팀,202510271025102718,,3078802514,함주희,주식회사 올인원엔터테인먼트,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170103,광고선전비_협찬/제휴,K1,3400011504,1,2025-11-04,2025-10-27,2025-10-27,S,40,2200,Discovery,KRW,11000000,11000000.0,KRW,V1,1000.0,INF DX 신슬기 인스타그램 PPL,,,,,2000.0,,FX0300,DISCOVERY_마케팅팀,202510271025102718,,3078802514,함주희,주식회사 올인원엔터테인먼트,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170103,광고선전비_협찬/제휴,K1,3400011505,1,2025-11-04,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,22350000,22350000.0,KRW,V1,1000.0,INF DX 반얀트리 인플루언서 초청 PPL,,,,,2000.0,,FX0300,DISCOVERY_마케팅팀,202510314100024000,,5648101462,"이건준, 고종원",주식회사 인에디트,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170103,광고선전비_협찬/제휴,K1,3400011506,1,2025-11-04,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,33500000,33500000.0,KRW,V1,1000.0,INF DX 10월 패딩 인플루언서 PPL,,,,,2000.0,,FX0300,DISCOVERY_마케팅팀,202510314100024000,,5648101462,"이건준, 고종원",주식회사 인에디트,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170103,광고선전비_협찬/제휴,K1,3400011509,1,2025-11-04,2025-10-30,2025-10-30,S,40,2200,Discovery,KRW,20500000,20500000.0,KRW,V1,1000.0,INF DX 10월 패딩 인플루언서 PPL,,,,,2000.0,,FX0300,DISCOVERY_마케팅팀,202510301025103021,,4588702950,유새별,주식회사 무드컴,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170103,광고선전비_협찬/제휴,K1,3400011511,1,2025-11-04,2025-10-29,2025-10-29,S,40,2200,Discovery,KRW,500000,500000.0,KRW,V1,1000.0,INF DX 이주명 PR 홍보 대행비,,,,,2000.0,,FX0300,DISCOVERY_마케팅팀,202510294100001652,,2118810843,이숙진,(주)예컴애드,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170103,광고선전비_협찬/제휴,K1,3400011520,1,2025-11-04,2025-10-27,2025-10-27,S,40,2200,Discovery,KRW,8800000,8800000.0,KRW,V1,1000.0,INF DX 10.31반얀 행사 박해린 초청,,,,,2000.0,,FX0300,DISCOVERY_마케팅팀,202510271025103122,,3078802514,함주희,주식회사 올인원엔터테인먼트,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170103,광고선전비_협찬/제휴,K1,3400011597,1,2025-11-04,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,15000000,15000000.0,KRW,V1,1000.0,INF DX 반얀트리 행사 강소연 오진택 초건,,,,,2000.0,,FX0300,DISCOVERY_마케팅팀,202510314100024000,,5648101462,"이건준, 고종원",주식회사 인에디트,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170103,광고선전비_협찬/제휴,K1,3400011892,1,2025-11-05,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,2100000,2100000.0,KRW,V1,1000.0,25FW 키즈 10월 맘카페 바이럴 진행건,,,,,2000.0,,FX0300,DISCOVERY_마케팅팀,202510311025103122,,3538601377,백대현,주식회사 플랜비크리에이티브,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
