반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,53010101,급료와임금,HR,8100000012,159,2024-10-25,2024-10-28,2024-10-28,S,40,2200,Discovery,KRW,15963750,15963750.0,KRW,,1000.0,24.10월_Discovery_영업부문담당_급여,,,,,2000.0,,FX1200,DISCOVERY_유통1팀,FX1200,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000012,163,2024-10-25,2024-10-28,2024-10-28,S,40,2200,Discovery,KRW,39875927,39875927.0,KRW,,1000.0,24.10월_Discovery_영업2팀_급여,,,,,2000.0,,FX1300,DISCOVERY_유통2팀,FX1300,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000012,166,2024-10-25,2024-10-28,2024-10-28,S,40,2200,Discovery,KRW,44051088,44051088.0,KRW,,1000.0,24.10월_Discovery_영업1팀_급여,,,,,2000.0,,FX1200,DISCOVERY_유통1팀,FX1200,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000012,169,2024-10-25,2024-10-28,2024-10-28,S,40,2200,Discovery,KRW,36634209,36634209.0,KRW,,1000.0,24.10월_Discovery_슈즈팀_급여,,,,,1000.0,,FX2100,DISCOVERY_슈즈팀,FX2100,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000012,170,2024-10-25,2024-10-28,2024-10-28,S,40,2200,Discovery,KRW,16054738,16054738.0,KRW,,1000.0,24.10월_Discovery 디자인연구실_슈즈팀_급여,,,,,1000.0,,FX2100,DISCOVERY_슈즈팀,FX2100,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000012,176,2024-10-25,2024-10-28,2024-10-28,S,40,2200,Discovery,KRW,16954651,16954651.0,KRW,,1000.0,24.10월_Discovery_소재소싱팀_급여,,,,,1000.0,,FX1100,DISCOVERY_소재팀,FX1100,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000012,183,2024-10-25,2024-10-28,2024-10-28,S,40,2200,Discovery,KRW,52579907,52579907.0,KRW,,1000.0,24.10월_Discovery_소싱팀_급여,,,,,1000.0,,FX1600,DISCOVERY_소싱팀,FX1600,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000012,185,2024-10-25,2024-10-28,2024-10-28,S,40,2200,Discovery,KRW,14443334,14443334.0,KRW,,1000.0,24.10월_Discovery_소싱부문담당_급여,,,,,1000.0,,FX1600,DISCOVERY_소싱팀,FX1600,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000012,187,2024-10-25,2024-10-28,2024-10-28,S,40,2200,Discovery,KRW,62398780,62398780.0,KRW,,1000.0,24.10월_Discovery 디자인연구실_성인디자인팀_급여,,,,,1000.0,,FX0600,DISCOVERY_디자인팀,FX0600,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000012,200,2024-10-25,2024-10-28,2024-10-28,S,40,2200,Discovery,KRW,6605522,6605522.0,KRW,,1000.0,24.10월_Discovery_해외사업팀_급여,,,,,2000.0,,FX1700,DISCOVERY_해외사업팀,FX1700,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000012,206,2024-10-25,2024-10-28,2024-10-28,S,40,2200,Discovery,KRW,12509689,12509689.0,KRW,,1000.0,24.10월_Discovery 디자인연구실_키즈디자인팀_급여,,,,,1000.0,,FX0500,DISCOVERY_KIDS 디자인팀,FX0500,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000012,222,2024-10-25,2024-10-28,2024-10-28,S,40,2200,Discovery,KRW,34004727,34004727.0,KRW,,1000.0,24.10월_Discovery_유통MD팀_급여,,,,,2000.0,,FX1400,DISCOVERY_카테고리운영팀,FX1400,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000012,225,2024-10-25,2024-10-28,2024-10-28,S,40,2200,Discovery,KRW,23752245,23752245.0,KRW,,1000.0,24.10월_Discovery 디자인연구실_용품팀_급여,,,,,1000.0,,FX0800,DISCOVERY_용품팀,FX0800,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000012,284,2024-10-25,2024-10-28,2024-10-28,S,40,2200,Discovery,KRW,27839084,27839084.0,KRW,,1000.0,24.10월_Discovery_기획부문담당_급여,,,,,1000.0,,FX1500,DISCOVERY_기획팀,FX1500,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000012,286,2024-10-25,2024-10-28,2024-10-28,S,40,2200,Discovery,KRW,50718652,50718652.0,KRW,,1000.0,24.10월_Discovery_기획팀_급여,,,,,1000.0,,FX1500,DISCOVERY_기획팀,FX1500,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000012,294,2024-10-25,2024-10-28,2024-10-28,S,40,2200,Discovery,KRW,38575400,38575400.0,KRW,,1000.0,24.10월_Discovery_마케팅팀_급여,,,,,2000.0,,FX0300,DISCOVERY_마케팅팀,FX0300,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000012,303,2024-10-25,2024-10-28,2024-10-28,S,40,2200,Discovery,KRW,12885415,12885415.0,KRW,,1000.0,24.10월_Discovery_VMD팀_급여,,,,,2000.0,,FX0400,DISCOVERY_VMD팀,FX0400,,,,,,인건비,인건비,급료와 임금,202410,부서
