반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,43110101,매출원가_기타_저장품,WA,6105767609,2,2024-10-03,2024-10-02,2024-10-02,S,81,2200,Discovery,KRW,280000,280000.0,KRW,,,,101286.0,,디스커버리송천점,4180591027.0,,,,,20241002,XXXP084,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202410,기타
,2024/10,,43110101,매출원가_기타_저장품,WA,6105767610,2,2024-10-03,2024-10-02,2024-10-02,S,81,2200,Discovery,KRW,350000,350000.0,KRW,,,,101303.0,,디스커버리 대전 모다점,3060274006.0,,,,,20241002,XXXP084,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202410,기타
,2024/10,,43110101,매출원가_기타_저장품,WA,6105767611,2,2024-10-03,2024-10-02,2024-10-02,S,81,2200,Discovery,KRW,280000,280000.0,KRW,,,,101064.0,,디스커버리 신제주점,6162850385.0,,,,,20241002,XXXP084,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202410,기타
,2024/10,,43110101,매출원가_기타_저장품,WA,6105767612,2,2024-10-03,2024-10-02,2024-10-02,S,81,2200,Discovery,KRW,560000,560000.0,KRW,,,,101121.0,,디스커버리 정촌점,1417900025.0,,,,,20241002,XXXP084,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202410,기타
,2024/10,,43110101,매출원가_기타_저장품,WA,6105767613,2,2024-10-03,2024-10-02,2024-10-02,S,81,2200,Discovery,KRW,210000,210000.0,KRW,,,,101221.0,,디스커버리보령점,6328500842.0,,,,,20241002,XXXP084,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202410,기타
,2024/10,,43110101,매출원가_기타_저장품,WA,6105767614,2,2024-10-03,2024-10-02,2024-10-02,S,81,2200,Discovery,KRW,140000,140000.0,KRW,,,,101261.0,,디스커버리 AK 기흥점,6392700692.0,,,,,20241002,XXXP084,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202410,기타
,2024/10,,43110101,매출원가_기타_저장품,WA,6105767615,2,2024-10-03,2024-10-02,2024-10-02,S,81,2200,Discovery,KRW,140000,140000.0,KRW,,,,105854.0,,엔씨 불광점 디스커버리,3691402321.0,,,,,20241002,XXXP084,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202410,기타
,2024/10,,43110101,매출원가_기타_저장품,WA,6105767616,2,2024-10-03,2024-10-02,2024-10-02,S,81,2200,Discovery,KRW,140000,140000.0,KRW,,,,103447.0,,(주)새날 민락지점,4808501463.0,,,,,20241002,XXXP084,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202410,기타
,2024/10,,43110101,매출원가_기타_저장품,WA,6105767617,2,2024-10-03,2024-10-02,2024-10-02,S,81,2200,Discovery,KRW,350000,350000.0,KRW,,,,103744.0,,디스커버리,2280360683.0,,,,,20241002,XXXP084,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202410,기타
,2024/10,,43110101,매출원가_기타_저장품,WA,6105767618,2,2024-10-03,2024-10-02,2024-10-02,S,81,2200,Discovery,KRW,420000,420000.0,KRW,,,,103753.0,,디스커버리 나주점,6741901345.0,,,,,20241002,XXXP084,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202410,기타
