반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55330101,보험료_화재보험료,ST,1900000356,22,2025-11-07,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,57765,57765.0,KRW,,,25.10월_DX 스타필드하남점 화재보험료,,,,,2000.0,,ZX8340,DX_스타필드하남(직),2025.02.24,,,,,,기타영업비,기타비용,보험료,202510,매장
,2025/10,,55330101,보험료_화재보험료,ST,1900000358,4,2025-11-07,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,84437,84437.0,KRW,,,25.10월_DX 광주상무점 화재보험료,,,,,2000.0,,ZX7040,DX_광주상무(직),2025.02.24,,,,,,기타영업비,기타비용,보험료,202510,매장
,2025/10,,55330101,보험료_화재보험료,ST,1900000359,24,2025-11-07,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,235617,235617.0,KRW,,,25.10월_DX 명동중앙점 화재보험료,,,,,2000.0,,ZX7060,DX_명동중앙(직),2025.07.17,,,,,,기타영업비,기타비용,보험료,202510,매장
,2025/10,,55330101,보험료_화재보험료,ST,1900000360,6,2025-11-07,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,57765,57765.0,KRW,,,25.10월_DX LF스퀘어광양점 화재보험료,,,,,2000.0,,ZX8310,DX_LF스퀘어광양(직),2025.02.24,,,,,,기타영업비,기타비용,보험료,202510,매장
,2025/10,,55330101,보험료_화재보험료,ST,1900000361,4,2025-11-07,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,58731,58731.0,KRW,,,25.10월_DX 타임스퀘어영등포점 화재보험료,,,,,2000.0,,ZX7010,DX_타임스퀘어(직),2025.02.24,,,,,,기타영업비,기타비용,보험료,202510,매장
,2025/10,,55330101,보험료_화재보험료,ST,1900000363,6,2025-11-07,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,60755,60755.0,KRW,,,25.10월_DX 스타필드수원점 화재보험료,,,,,2000.0,,ZX8380,DX_스타필드수원(직),2025.02.24,,,,,,기타영업비,기타비용,보험료,202510,매장
,2025/10,,55330101,보험료_화재보험료,ST,1900000367,2,2025-11-07,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,59578,59578.0,KRW,,,25.10월_DX 스타필드안성점 화재보험료,,,,,2000.0,,ZX8270,DX_스타필드안성(직),2025.02.24,,,,,,기타영업비,기타비용,보험료,202510,매장
,2025/10,,55330101,보험료_화재보험료,ST,1900000368,2,2025-11-07,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,31804,31804.0,KRW,,,25.10월_DX 타임스트림신림점 화재보험료,,,,,2000.0,,ZX8330,DX_타임스퀘어신림(직),2025.02.24,,,,,,기타영업비,기타비용,보험료,202510,매장
,2025/10,,55330101,보험료_화재보험료,ST,1900000370,6,2025-11-07,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,158727,158727.0,KRW,,,25.10월_DX 팩토리이천 화재보험료,,,,,2000.0,,ZX7050,DX_팩토리이천(직),2025.05.28,,,,,,기타영업비,기타비용,보험료,202510,매장
,2025/10,,55330101,보험료_화재보험료,ST,1900000370,20,2025-11-07,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,57646,57646.0,KRW,,,25.10월_DX 스타필드고양점 화재보험료,,,,,2000.0,,ZX8130,DX_스타필드고양(직),2025.02.24,,,,,,기타영업비,기타비용,보험료,202510,매장
