반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55010127,복리후생비_직원구매,K3,3200006122,48,2025-10-13,2025-10-01,2025-10-01,H,50,2200,Discovery,KRW,-761000,-761000.0,KRW,VZ,1000.0,25.09월 임직원 직원구매_Discovery_QM팀||,,,,,1000.0,,FX1000,DISCOVERY_QM팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202510,부서
,2025/10,,55010127,복리후생비_직원구매,K3,3200006122,49,2025-10-13,2025-10-01,2025-10-01,H,50,2200,Discovery,KRW,-36000,-36000.0,KRW,VZ,1000.0,25.09월 임직원 직원구매_Discovery_VMD팀||,,,,,2000.0,,FX0400,DISCOVERY_VMD팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202510,부서
,2025/10,,55010127,복리후생비_직원구매,K3,3200006122,50,2025-10-13,2025-10-01,2025-10-01,H,50,2200,Discovery,KRW,-59600,-59600.0,KRW,VZ,1000.0,25.09월 임직원 직원구매_Discovery_기획영업담당||,,,,,2000.0,,FX0200,DISCOVERY_영업부문담당,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202510,부서
,2025/10,,55010127,복리후생비_직원구매,K3,3200006122,51,2025-10-13,2025-10-01,2025-10-01,H,50,2200,Discovery,KRW,-357600,-357600.0,KRW,VZ,1000.0,25.09월 임직원 직원구매_Discovery_마케팅팀||,,,,,2000.0,,FX0300,DISCOVERY_마케팅팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202510,부서
,2025/10,,55010127,복리후생비_직원구매,K3,3200006122,52,2025-10-13,2025-10-01,2025-10-01,H,50,2200,Discovery,KRW,-47600,-47600.0,KRW,VZ,1000.0,25.09월 임직원 직원구매_Discovery_소싱부문담당||,,,,,1000.0,,FX1800,DISCOVERY_소싱부문담당,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202510,부서
,2025/10,,55010127,복리후생비_직원구매,K3,3200006122,53,2025-10-13,2025-10-01,2025-10-01,H,50,2200,Discovery,KRW,-522320,-522320.0,KRW,VZ,1000.0,25.09월 임직원 직원구매_Discovery_소싱팀||,,,,,1000.0,,FX1600,DISCOVERY_소싱팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202510,부서
,2025/10,,55010127,복리후생비_직원구매,K3,3200006122,54,2025-10-13,2025-10-01,2025-10-01,H,50,2200,Discovery,KRW,-435000,-435000.0,KRW,VZ,1000.0,25.09월 임직원 직원구매_Discovery_소재팀||,,,,,1000.0,,FX1100,DISCOVERY_소재팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202510,부서
,2025/10,,55010127,복리후생비_직원구매,K3,3200006122,55,2025-10-13,2025-10-01,2025-10-01,H,50,2200,Discovery,KRW,-30600,-30600.0,KRW,VZ,1000.0,25.09월 임직원 직원구매_Discovery_유통1팀||,,,,,2000.0,,FX1200,DISCOVERY_유통1팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202510,부서
,2025/10,,55010127,복리후생비_직원구매,K3,3200006122,56,2025-10-13,2025-10-01,2025-10-01,H,50,2200,Discovery,KRW,-362500,-362500.0,KRW,VZ,1000.0,25.09월 임직원 직원구매_Discovery_유통2팀||,,,,,2000.0,,FX1300,DISCOVERY_유통2팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202510,부서
,2025/10,,55010127,복리후생비_직원구매,K3,3200006122,57,2025-10-13,2025-10-01,2025-10-01,H,50,2200,Discovery,KRW,-94800,-94800.0,KRW,VZ,1000.0,25.09월 임직원 직원구매_Discovery_카테고리운영팀||,,,,,2000.0,,FX1400,DISCOVERY_카테고리운영팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202510,부서
,2025/10,,55010127,복리후생비_직원구매,K3,3200006122,58,2025-10-13,2025-10-01,2025-10-01,H,50,2200,Discovery,KRW,-58100,-58100.0,KRW,VZ,1000.0,25.09월 임직원 직원구매_Discovery_키즈팀||,,,,,1000.0,,FX2300,DISCOVERY_KIDS 기획팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202510,부서
