반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104749318,6,2025-10-02,2025-10-01,2025-10-01,H,91,2200,Discovery,KRW,-2100,-2100.0,KRW,,,,104249.0,,EC-온라인물류,0.0,2000.0,,FX0000,DISCOVERY_공통,FX0000,XXXC029,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,부서
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104749319,4,2025-10-02,2025-10-01,2025-10-01,S,81,2200,Discovery,KRW,2100,2100.0,KRW,,,,105175.0,,주식회사 카카오커머스,1208147521.0,2000.0,,ZX9060,DX_카카오톡(제휴몰),ZX9060,XXXC029,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104773560,2,2025-10-03,2025-10-02,2025-10-02,S,81,2200,Discovery,KRW,7800,7800.0,KRW,,,,101169.0,,롯데쇼핑(주)광복,6028516703.0,2000.0,,ZX0560,DX_롯데광복(백),ZX0560,XXXD053,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104773561,2,2025-10-03,2025-10-02,2025-10-02,S,81,2200,Discovery,KRW,5460,5460.0,KRW,,,,101135.0,,롯데쇼핑(주)미아점,2108520600.0,2000.0,,ZX0360,DX_롯데미아(백),ZX0360,XXXD053,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104773562,2,2025-10-03,2025-10-02,2025-10-02,S,81,2200,Discovery,KRW,3900,3900.0,KRW,,,,101136.0,,롯데쇼핑(주)청량리점,2058510283.0,2000.0,,ZX0370,DX_롯데청량리(백),ZX0370,XXXD053,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104773563,2,2025-10-03,2025-10-02,2025-10-02,S,81,2200,Discovery,KRW,15600,15600.0,KRW,,,,101079.0,,(주)신세계백화점 의정부점,2018132195.0,2000.0,,ZX0130,DX_신세계의정부(백),ZX0130,XXXD053,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104773564,2,2025-10-03,2025-10-02,2025-10-02,S,81,2200,Discovery,KRW,15600,15600.0,KRW,,,,101166.0,,(주)현대백화점울산점,6108542406.0,2000.0,,ZX0530,DX_현대울산(백),ZX0530,XXXD053,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104773566,2,2025-10-03,2025-10-02,2025-10-02,S,81,2200,Discovery,KRW,15600,15600.0,KRW,,,,101111.0,,(주)신세계,2018132195.0,2000.0,,ZX0230,DX_신세계김해(백),ZX0230,XXXD053,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104773567,2,2025-10-03,2025-10-02,2025-10-02,S,81,2200,Discovery,KRW,3900,3900.0,KRW,,,,104013.0,,(주)대전신세계,1838800512.0,2000.0,,ZX0780,DX_신세계대전(백),ZX0780,XXXD053,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104773570,2,2025-10-03,2025-10-02,2025-10-02,S,81,2200,Discovery,KRW,1560,1560.0,KRW,,,,101115.0,,(주)에프앤에프 디스커버리 롯데아울렛광교,7888501917.0,2000.0,,ZX8050,DX_롯데아울렛광교(직),ZX8050,XXXD053,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104773571,2,2025-10-03,2025-10-02,2025-10-02,S,81,2200,Discovery,KRW,25000,25000.0,KRW,,,,101207.0,,(주)에프앤에프 디스커버리 스타필드고양점,1488501744.0,2000.0,,ZX8130,DX_스타필드고양(직),ZX8130,XXXD007,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104773571,4,2025-10-03,2025-10-02,2025-10-02,S,81,2200,Discovery,KRW,8850,8850.0,KRW,,,,101207.0,,(주)에프앤에프 디스커버리 스타필드고양점,1488501744.0,2000.0,,ZX8130,DX_스타필드고양(직),ZX8130,XXXD104,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104773571,6,2025-10-03,2025-10-02,2025-10-02,S,81,2200,Discovery,KRW,8850,8850.0,KRW,,,,101207.0,,(주)에프앤에프 디스커버리 스타필드고양점,1488501744.0,2000.0,,ZX8130,DX_스타필드고양(직),ZX8130,XXXD105,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104773571,8,2025-10-03,2025-10-02,2025-10-02,S,81,2200,Discovery,KRW,8850,8850.0,KRW,,,,101207.0,,(주)에프앤에프 디스커버리 스타필드고양점,1488501744.0,2000.0,,ZX8130,DX_스타필드고양(직),ZX8130,XXXD106,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104773571,10,2025-10-03,2025-10-02,2025-10-02,S,81,2200,Discovery,KRW,8850,8850.0,KRW,,,,101207.0,,(주)에프앤에프 디스커버리 스타필드고양점,1488501744.0,2000.0,,ZX8130,DX_스타필드고양(직),ZX8130,XXXD107,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104773571,12,2025-10-03,2025-10-02,2025-10-02,S,81,2200,Discovery,KRW,8850,8850.0,KRW,,,,101207.0,,(주)에프앤에프 디스커버리 스타필드고양점,1488501744.0,2000.0,,ZX8130,DX_스타필드고양(직),ZX8130,XXXD108,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104773571,14,2025-10-03,2025-10-02,2025-10-02,S,81,2200,Discovery,KRW,8850,8850.0,KRW,,,,101207.0,,(주)에프앤에프 디스커버리 스타필드고양점,1488501744.0,2000.0,,ZX8130,DX_스타필드고양(직),ZX8130,XXXD109,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104773572,2,2025-10-03,2025-10-02,2025-10-02,S,81,2200,Discovery,KRW,1800,1800.0,KRW,,,,101249.0,,(주)에프앤에프디스커버리롯데아울렛군산점,5538501719.0,2000.0,,ZX8190,DX_롯데아울렛군산(직),ZX8190,XXXD042,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104773574,2,2025-10-03,2025-10-02,2025-10-02,S,81,2200,Discovery,KRW,2340,2340.0,KRW,,,,106017.0,,(주)에프앤에프 강남사옥점,2848501531.0,2000.0,,ZX7070,DX_강남사옥(직),ZX7070,XXXD053,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104773575,2,2025-10-03,2025-10-02,2025-10-02,S,81,2200,Discovery,KRW,7992,7992.0,KRW,,,,106036.0,,(주)에프앤에프 디스커버리 명동중앙점,4468502332.0,2000.0,,ZX7060,DX_명동중앙(직),ZX7060,XXXC024,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104773575,4,2025-10-03,2025-10-02,2025-10-02,S,81,2200,Discovery,KRW,15075,15075.0,KRW,,,,106036.0,,(주)에프앤에프 디스커버리 명동중앙점,4468502332.0,2000.0,,ZX7060,DX_명동중앙(직),ZX7060,XXXC026,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104773575,6,2025-10-03,2025-10-02,2025-10-02,S,81,2200,Discovery,KRW,19500,19500.0,KRW,,,,106036.0,,(주)에프앤에프 디스커버리 명동중앙점,4468502332.0,2000.0,,ZX7060,DX_명동중앙(직),ZX7060,XXXD053,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104773576,2,2025-10-03,2025-10-02,2025-10-02,S,81,2200,Discovery,KRW,7800,7800.0,KRW,,,,106182.0,,(주)에프앤에프 DX 커넥트현대 청주점,4618503081.0,2000.0,,ZX8450,DX_커넥트현대청주(직),ZX8450,XXXD053,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104773579,2,2025-10-03,2025-10-02,2025-10-02,S,81,2200,Discovery,KRW,7800,7800.0,KRW,,,,101273.0,,디스커버리 홍성점,3100350728.0,2000.0,,FX0000,DISCOVERY_공통,FX0000,XXXD053,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,부서
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104773582,2,2025-10-03,2025-10-02,2025-10-02,S,81,2200,Discovery,KRW,7800,7800.0,KRW,,,,101288.0,,오브어스 주식회사,6468601513.0,2000.0,,FX0000,DISCOVERY_공통,FX0000,XXXD053,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,부서
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104773584,2,2025-10-03,2025-10-02,2025-10-02,S,81,2200,Discovery,KRW,7800,7800.0,KRW,,,,106315.0,,디스커버리 정읍점,2412002500.0,2000.0,,FX0000,DISCOVERY_공통,FX0000,XXXD053,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,부서
