반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55110107,소모품비_사은품사용,WA,6104749273,2,2025-10-02,2025-10-01,2025-10-01,S,81,2200,Discovery,KRW,140000,140000.0,KRW,,,,101017.0,,(주)아라리오,3128104553.0,2000.0,,ZX0070,DX_신세계충청(백),ZX0070,XXXP084,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,매장
,2025/10,,55110107,소모품비_사은품사용,WA,6104749274,2,2025-10-02,2025-10-01,2025-10-01,S,81,2200,Discovery,KRW,140000,140000.0,KRW,,,,101150.0,,롯데쇼핑㈜,1048126067.0,2000.0,,ZX0430,DX_롯데본점(백),ZX0430,XXXP084,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,매장
,2025/10,,55110107,소모품비_사은품사용,WA,6104749275,2,2025-10-02,2025-10-01,2025-10-01,S,81,2200,Discovery,KRW,140000,140000.0,KRW,,,,101244.0,,(주)신세계백화점경기점,2018132195.0,2000.0,,ZX0680,DX_신세계경기(백),ZX0680,XXXP084,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,매장
,2025/10,,55110107,소모품비_사은품사용,WA,6104749276,2,2025-10-02,2025-10-01,2025-10-01,S,81,2200,Discovery,KRW,140000,140000.0,KRW,,,,104013.0,,(주)대전신세계,1838800512.0,2000.0,,ZX0780,DX_신세계대전(백),ZX0780,XXXP084,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,매장
,2025/10,,55110107,소모품비_사은품사용,WA,6104749277,2,2025-10-02,2025-10-01,2025-10-01,S,81,2200,Discovery,KRW,140000,140000.0,KRW,,,,104436.0,,디스커버리 NC대전,2418501742.0,2000.0,,ZX0840,DX_NC대전유성(백),ZX0840,XXXP084,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,매장
,2025/10,,55110107,소모품비_사은품사용,WA,6104749278,2,2025-10-02,2025-10-01,2025-10-01,S,81,2200,Discovery,KRW,157500,157500.0,KRW,,,,101067.0,,(주)에프앤에프 디스커버리 타임스퀘어,4238501761.0,2000.0,,ZX7010,DX_타임스퀘어(직),ZX7010,XXXP096,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,매장
,2025/10,,55110107,소모품비_사은품사용,WA,6104749278,4,2025-10-02,2025-10-01,2025-10-01,S,81,2200,Discovery,KRW,285000,285000.0,KRW,,,,101067.0,,(주)에프앤에프 디스커버리 타임스퀘어,4238501761.0,2000.0,,ZX7010,DX_타임스퀘어(직),ZX7010,XXXP085,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,매장
,2025/10,,55110107,소모품비_사은품사용,WA,6104749318,4,2025-10-02,2025-10-01,2025-10-01,H,91,2200,Discovery,KRW,-33600,-33600.0,KRW,,,,104249.0,,EC-온라인물류,0.0,2000.0,,FX0000,DISCOVERY_공통,FX0000,XXXP084,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,부서
,2025/10,,55110107,소모품비_사은품사용,WA,6104749318,8,2025-10-02,2025-10-01,2025-10-01,H,91,2200,Discovery,KRW,-5700,-5700.0,KRW,,,,104249.0,,EC-온라인물류,0.0,2000.0,,FX0000,DISCOVERY_공통,FX0000,XXXP100,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,부서
,2025/10,,55110107,소모품비_사은품사용,WA,6104749318,10,2025-10-02,2025-10-01,2025-10-01,H,91,2200,Discovery,KRW,-410,-410.0,KRW,,,,104249.0,,EC-온라인물류,0.0,2000.0,,FX0000,DISCOVERY_공통,FX0000,XXXP097,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,부서
