반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105767625,4,2024-10-03,2024-10-02,2024-10-02,H,91,2200,Discovery,KRW,-20640,-20640.0,KRW,,,,104249.0,,EC-온라인물류,0.0,2000.0,,FX0000,DISCOVERY_공통,FX0000,XXXS031,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,부서
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105767629,2,2024-10-03,2024-10-02,2024-10-02,S,81,2200,Discovery,KRW,20640,20640.0,KRW,,,,105175.0,,주식회사 카카오커머스,1208147521.0,2000.0,,ZX9060,DX_카카오톡(제휴몰),ZX9060,XXXS031,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,매장
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105812395,2,2024-10-05,2024-10-04,2024-10-04,S,81,2200,Discovery,KRW,55500,55500.0,KRW,,,,101215.0,,(주)에프앤에프 디스커버리 롯데아울렛파주,8608501539.0,2000.0,,ZX8140,DX_롯데아울렛파주(직),ZX8140,XXXS032,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,매장
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105812396,2,2024-10-05,2024-10-04,2024-10-04,S,81,2200,Discovery,KRW,83250,83250.0,KRW,,,,101161.0,,(주)에프앤에프 신세계사이먼시흥점,1878501531.0,2000.0,,ZX8090,DX_신세계아울렛시흥(직),ZX8090,XXXS032,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,매장
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105812396,4,2024-10-05,2024-10-04,2024-10-04,S,81,2200,Discovery,KRW,145500,145500.0,KRW,,,,101161.0,,(주)에프앤에프 신세계사이먼시흥점,1878501531.0,2000.0,,ZX8090,DX_신세계아울렛시흥(직),ZX8090,XXXS033,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,매장
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105812396,8,2024-10-05,2024-10-04,2024-10-04,S,81,2200,Discovery,KRW,62671,62671.0,KRW,,,,101161.0,,(주)에프앤에프 신세계사이먼시흥점,1878501531.0,2000.0,,ZX8090,DX_신세계아울렛시흥(직),ZX8090,XXXS029,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,매장
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105812396,10,2024-10-05,2024-10-04,2024-10-04,S,81,2200,Discovery,KRW,59400,59400.0,KRW,,,,101161.0,,(주)에프앤에프 신세계사이먼시흥점,1878501531.0,2000.0,,ZX8090,DX_신세계아울렛시흥(직),ZX8090,XXXS030,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,매장
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105812397,2,2024-10-05,2024-10-04,2024-10-04,S,81,2200,Discovery,KRW,144000,144000.0,KRW,,,,101222.0,,(주)에프앤에프 디스커버리 신세계 파주점,1118512782.0,2000.0,,ZX8160,DX_신세계아울렛파주(직),ZX8160,XXXS031,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,매장
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105812397,4,2024-10-05,2024-10-04,2024-10-04,S,81,2200,Discovery,KRW,111000,111000.0,KRW,,,,101222.0,,(주)에프앤에프 디스커버리 신세계 파주점,1118512782.0,2000.0,,ZX8160,DX_신세계아울렛파주(직),ZX8160,XXXS032,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,매장
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105812397,6,2024-10-05,2024-10-04,2024-10-04,S,81,2200,Discovery,KRW,194000,194000.0,KRW,,,,101222.0,,(주)에프앤에프 디스커버리 신세계 파주점,1118512782.0,2000.0,,ZX8160,DX_신세계아울렛파주(직),ZX8160,XXXS033,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,매장
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105812398,2,2024-10-05,2024-10-04,2024-10-04,S,81,2200,Discovery,KRW,39600,39600.0,KRW,,,,101278.0,,(주)에프앤에프 현대아울렛 가산점,1548501638.0,2000.0,,ZX8220,DX_현대아울렛가산(직),ZX8220,XXXS030,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,매장
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105812399,2,2024-10-05,2024-10-04,2024-10-04,S,81,2200,Discovery,KRW,19800,19800.0,KRW,,,,101308.0,,(주)에프앤에프 디스커버리 현대아울렛,7238501619.0,2000.0,,ZX8240,DX_현대아울렛김포(직),ZX8240,XXXS030,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,매장
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105812399,4,2024-10-05,2024-10-04,2024-10-04,S,81,2200,Discovery,KRW,48000,48000.0,KRW,,,,101308.0,,(주)에프앤에프 디스커버리 현대아울렛,7238501619.0,2000.0,,ZX8240,DX_현대아울렛김포(직),ZX8240,XXXS031,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,매장
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105812400,2,2024-10-05,2024-10-04,2024-10-04,S,81,2200,Discovery,KRW,19800,19800.0,KRW,,,,101183.0,,(주)에프앤에프 디스커버리 롯데아울렛 율하,8408501739.0,2000.0,,ZX8100,DX_롯데아울렛율하(직),ZX8100,XXXS030,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,매장
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105812400,4,2024-10-05,2024-10-04,2024-10-04,S,81,2200,Discovery,KRW,48000,48000.0,KRW,,,,101183.0,,(주)에프앤에프 디스커버리 롯데아울렛 율하,8408501739.0,2000.0,,ZX8100,DX_롯데아울렛율하(직),ZX8100,XXXS031,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,매장
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105812401,2,2024-10-05,2024-10-04,2024-10-04,S,81,2200,Discovery,KRW,19800,19800.0,KRW,,,,101233.0,,(주)에프앤에프 디스커버리 롯데아울렛 기흥,7568501526.0,2000.0,,ZX8170,DX_롯데아울렛기흥(직),ZX8170,XXXS030,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,매장
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105812401,4,2024-10-05,2024-10-04,2024-10-04,S,81,2200,Discovery,KRW,48000,48000.0,KRW,,,,101233.0,,(주)에프앤에프 디스커버리 롯데아울렛 기흥,7568501526.0,2000.0,,ZX8170,DX_롯데아울렛기흥(직),ZX8170,XXXS031,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,매장
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105812401,6,2024-10-05,2024-10-04,2024-10-04,S,81,2200,Discovery,KRW,83250,83250.0,KRW,,,,101233.0,,(주)에프앤에프 디스커버리 롯데아울렛 기흥,7568501526.0,2000.0,,ZX8170,DX_롯데아울렛기흥(직),ZX8170,XXXS032,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,매장
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105812401,8,2024-10-05,2024-10-04,2024-10-04,S,81,2200,Discovery,KRW,145500,145500.0,KRW,,,,101233.0,,(주)에프앤에프 디스커버리 롯데아울렛 기흥,7568501526.0,2000.0,,ZX8170,DX_롯데아울렛기흥(직),ZX8170,XXXS033,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,매장
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105812433,2,2024-10-05,2024-10-04,2024-10-04,S,81,2200,Discovery,KRW,48000,48000.0,KRW,,,,101014.0,,에이케이에스앤디(주)AK플라자,1298542346.0,2000.0,,ZX0050,DX_AK분당(백),ZX0050,XXXS031,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,매장
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105812433,4,2024-10-05,2024-10-04,2024-10-04,S,81,2200,Discovery,KRW,27750,27750.0,KRW,,,,101014.0,,에이케이에스앤디(주)AK플라자,1298542346.0,2000.0,,ZX0050,DX_AK분당(백),ZX0050,XXXS032,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,매장
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105812434,4,2024-10-05,2024-10-04,2024-10-04,S,81,2200,Discovery,KRW,27750,27750.0,KRW,,,,101158.0,,롯데쇼핑(주)스타시티점,2068525872.0,2000.0,,ZX0490,DX_롯데건대(백),ZX0490,XXXS032,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,매장
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105812437,2,2024-10-05,2024-10-04,2024-10-04,S,81,2200,Discovery,KRW,27750,27750.0,KRW,,,,101017.0,,(주)아라리오,3128104553.0,2000.0,,ZX0070,DX_신세계충청(백),ZX0070,XXXS032,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,매장
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105812440,2,2024-10-05,2024-10-04,2024-10-04,S,81,2200,Discovery,KRW,39600,39600.0,KRW,,,,101015.0,,롯데쇼핑(주)수원점,1248582187.0,2000.0,,ZX0060,DX_롯데수원(백),ZX0060,XXXS030,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,매장
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105812444,2,2024-10-05,2024-10-04,2024-10-04,S,81,2200,Discovery,KRW,19800,19800.0,KRW,,,,101242.0,,마리오아울렛 주식회사,1128115877.0,2000.0,,ZX0660,DX_마리오구로(백),ZX0660,XXXS030,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,매장
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105812444,4,2024-10-05,2024-10-04,2024-10-04,S,81,2200,Discovery,KRW,55500,55500.0,KRW,,,,101242.0,,마리오아울렛 주식회사,1128115877.0,2000.0,,ZX0660,DX_마리오구로(백),ZX0660,XXXS032,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,매장
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105812444,6,2024-10-05,2024-10-04,2024-10-04,S,81,2200,Discovery,KRW,48500,48500.0,KRW,,,,101242.0,,마리오아울렛 주식회사,1128115877.0,2000.0,,ZX0660,DX_마리오구로(백),ZX0660,XXXS033,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,매장
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105812444,8,2024-10-05,2024-10-04,2024-10-04,S,81,2200,Discovery,KRW,31335,31335.0,KRW,,,,101242.0,,마리오아울렛 주식회사,1128115877.0,2000.0,,ZX0660,DX_마리오구로(백),ZX0660,XXXS029,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,매장
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105812447,2,2024-10-05,2024-10-04,2024-10-04,S,81,2200,Discovery,KRW,19800,19800.0,KRW,,,,101108.0,,주식회사현대백화점동구점,6108525955.0,2000.0,,ZX0210,DX_현대울산동구(백),ZX0210,XXXS030,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,매장
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105812451,2,2024-10-05,2024-10-04,2024-10-04,S,81,2200,Discovery,KRW,96000,96000.0,KRW,,,,103767.0,,주식쇠사 이랜드리테일,1148101855.0,2000.0,,ZX0770,DX_NC강남(백),ZX0770,XXXS031,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,매장
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105812451,4,2024-10-05,2024-10-04,2024-10-04,S,81,2200,Discovery,KRW,55500,55500.0,KRW,,,,103767.0,,주식쇠사 이랜드리테일,1148101855.0,2000.0,,ZX0770,DX_NC강남(백),ZX0770,XXXS032,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,매장
