반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55110111,소모품비_옷걸이사용,WA,6104978372,8,2025-10-15,2025-10-14,2025-10-14,S,81,2200,Discovery,KRW,352500,352500.0,KRW,,,,101155.0,,(주)신세계백화점마산점,2018132195.0,2000.0,,ZX0460,DX_신세계마산(백),ZX0460,XXXH018,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_옷걸이사용,202510,매장
,2025/10,,55110111,소모품비_옷걸이사용,WA,6104978372,10,2025-10-15,2025-10-14,2025-10-14,S,81,2200,Discovery,KRW,352500,352500.0,KRW,,,,101155.0,,(주)신세계백화점마산점,2018132195.0,2000.0,,ZX0460,DX_신세계마산(백),ZX0460,XXXH019,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_옷걸이사용,202510,매장
,2025/10,,55110111,소모품비_옷걸이사용,WA,6104978372,12,2025-10-15,2025-10-14,2025-10-14,S,81,2200,Discovery,KRW,245000,245000.0,KRW,,,,101155.0,,(주)신세계백화점마산점,2018132195.0,2000.0,,ZX0460,DX_신세계마산(백),ZX0460,XXXH020,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_옷걸이사용,202510,매장
,2025/10,,55110111,소모품비_옷걸이사용,WA,6105014310,2,2025-10-17,2025-10-16,2025-10-16,S,81,2200,Discovery,KRW,117500,117500.0,KRW,,,,101155.0,,(주)신세계백화점마산점,2018132195.0,2000.0,,ZX0460,DX_신세계마산(백),ZX0460,XXXH018,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_옷걸이사용,202510,매장
,2025/10,,55110111,소모품비_옷걸이사용,WA,6105014310,4,2025-10-17,2025-10-16,2025-10-16,S,81,2200,Discovery,KRW,117500,117500.0,KRW,,,,101155.0,,(주)신세계백화점마산점,2018132195.0,2000.0,,ZX0460,DX_신세계마산(백),ZX0460,XXXH019,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_옷걸이사용,202510,매장
,2025/10,,55110111,소모품비_옷걸이사용,WA,6105109994,2,2025-10-22,2025-10-21,2025-10-21,S,81,2200,Discovery,KRW,117500,117500.0,KRW,,,,101155.0,,(주)신세계백화점마산점,2018132195.0,2000.0,,ZX0460,DX_신세계마산(백),ZX0460,XXXH018,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_옷걸이사용,202510,매장
,2025/10,,55110111,소모품비_옷걸이사용,WA,6105436740,2,2025-11-06,2025-10-31,2025-10-31,H,91,2200,Discovery,KRW,-587500,-587500.0,KRW,,,,101155.0,,(주)신세계백화점마산점,2018132195.0,2000.0,,ZX0460,DX_신세계마산(백),ZX0460,XXXH018,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_옷걸이사용,202510,매장
,2025/10,,55110111,소모품비_옷걸이사용,WA,6105436740,4,2025-11-06,2025-10-31,2025-10-31,H,91,2200,Discovery,KRW,-470000,-470000.0,KRW,,,,101155.0,,(주)신세계백화점마산점,2018132195.0,2000.0,,ZX0460,DX_신세계마산(백),ZX0460,XXXH019,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_옷걸이사용,202510,매장
,2025/10,,55110111,소모품비_옷걸이사용,WA,6105436740,6,2025-11-06,2025-10-31,2025-10-31,H,91,2200,Discovery,KRW,-245000,-245000.0,KRW,,,,101155.0,,(주)신세계백화점마산점,2018132195.0,2000.0,,ZX0460,DX_신세계마산(백),ZX0460,XXXH020,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_옷걸이사용,202510,매장
,2025/10,,55110111,소모품비_옷걸이사용,WA,6105436741,2,2025-11-06,2025-10-31,2025-10-31,S,81,2200,Discovery,KRW,587500,587500.0,KRW,,,,101993.0,,디스커버리 롯데마산점,5081794709.0,2000.0,,FX0000,DISCOVERY_공통,FX0000,XXXH018,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_옷걸이사용,202510,부서
,2025/10,,55110111,소모품비_옷걸이사용,WA,6105436741,4,2025-11-06,2025-10-31,2025-10-31,S,81,2200,Discovery,KRW,470000,470000.0,KRW,,,,101993.0,,디스커버리 롯데마산점,5081794709.0,2000.0,,FX0000,DISCOVERY_공통,FX0000,XXXH019,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_옷걸이사용,202510,부서
,2025/10,,55110111,소모품비_옷걸이사용,WA,6105436741,6,2025-11-06,2025-10-31,2025-10-31,S,81,2200,Discovery,KRW,245000,245000.0,KRW,,,,101993.0,,디스커버리 롯데마산점,5081794709.0,2000.0,,FX0000,DISCOVERY_공통,FX0000,XXXH020,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_옷걸이사용,202510,부서
