반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55090101,수도광열비,K3,3200005888,1,2025-10-02,2025-10-01,2025-10-01,S,40,2200,Discovery,KRW,5299864,5299864.0,KRW,V1,1290.0,DX 팩토리이천 9월 전기료,,,,,2000.0,,ZX7050,DX_팩토리이천(직),한국전력공사,,,,,,기타영업비,기타비용,수도광열비,202510,매장
,2025/10,,55090101,수도광열비,K3,3200005888,2,2025-10-02,2025-10-01,2025-10-01,S,40,2200,Discovery,KRW,143090,143090.0,KRW,VZ,1290.0,DX 팩토리이천 9월 전기료,,,,,2000.0,,ZX7050,DX_팩토리이천(직),한국전력공사,,,,,,기타영업비,기타비용,수도광열비,202510,매장
,2025/10,,55090101,수도광열비,K3,3200006230,1,2025-10-20,2025-10-13,2025-10-13,S,40,2200,Discovery,KRW,31220,31220.0,KRW,VZ,1850.0,DX 명동중앙 10월 수도요금,,,,,2000.0,,ZX7060,DX_명동중앙(직),중부 수도사업소장,,,,,,기타영업비,기타비용,수도광열비,202510,매장
,2025/10,,55090101,수도광열비,K3,3200006235,1,2025-10-20,2025-10-15,2025-10-15,S,40,2200,Discovery,KRW,683647,683647.0,KRW,V1,1850.0,DX 명동점 10월 전기요금(1층),,,,,2000.0,,ZX7060,DX_명동중앙(직),한국전력공사,,,,,,기타영업비,기타비용,수도광열비,202510,매장
,2025/10,,55090101,수도광열비,K3,3200006235,2,2025-10-20,2025-10-15,2025-10-15,S,40,2200,Discovery,KRW,18450,18450.0,KRW,VZ,1850.0,DX 명동점 10월 전기요금(1층),,,,,2000.0,,ZX7060,DX_명동중앙(직),한국전력공사,,,,,,기타영업비,기타비용,수도광열비,202510,매장
,2025/10,,55090101,수도광열비,K3,3200006241,1,2025-10-20,2025-10-15,2025-10-15,S,40,2200,Discovery,KRW,621562,621562.0,KRW,V1,1850.0,DX 명동점 10월 전기요금(2층),,,,,2000.0,,ZX7060,DX_명동중앙(직),한국전력공사,,,,,,기타영업비,기타비용,수도광열비,202510,매장
,2025/10,,55090101,수도광열비,K3,3200006241,2,2025-10-20,2025-10-15,2025-10-15,S,40,2200,Discovery,KRW,16780,16780.0,KRW,VZ,1850.0,DX 명동점 10월 전기요금(2층),,,,,2000.0,,ZX7060,DX_명동중앙(직),한국전력공사,,,,,,기타영업비,기타비용,수도광열비,202510,매장
,2025/10,,55090101,수도광열비,K3,3200006244,1,2025-10-20,2025-10-15,2025-10-15,S,40,2200,Discovery,KRW,214642,214642.0,KRW,V1,1850.0,DX 명동점 10월 전기요금(3층),,,,,2000.0,,ZX7060,DX_명동중앙(직),한국전력공사,,,,,,기타영업비,기타비용,수도광열비,202510,매장
,2025/10,,55090101,수도광열비,K3,3200006244,2,2025-10-20,2025-10-15,2025-10-15,S,40,2200,Discovery,KRW,5790,5790.0,KRW,VZ,1850.0,DX 명동점 10월 전기요금(3층),,,,,2000.0,,ZX7060,DX_명동중앙(직),한국전력공사,,,,,,기타영업비,기타비용,수도광열비,202510,매장
,2025/10,,55090101,수도광열비,K3,3200006245,1,2025-10-20,2025-10-15,2025-10-15,S,40,2200,Discovery,KRW,81208,81208.0,KRW,V1,1850.0,DX 명동점 10월 전기요금(공용),,,,,2000.0,,ZX7060,DX_명동중앙(직),한국전력공사,,,,,,기타영업비,기타비용,수도광열비,202510,매장
,2025/10,,55090101,수도광열비,K3,3200006245,2,2025-10-20,2025-10-15,2025-10-15,S,40,2200,Discovery,KRW,2190,2190.0,KRW,VZ,1850.0,DX 명동점 10월 전기요금(공용),,,,,2000.0,,ZX7060,DX_명동중앙(직),한국전력공사,,,,,,기타영업비,기타비용,수도광열비,202510,매장
,2025/10,,55090101,수도광열비,K3,3200006262,1,2025-10-21,2025-10-14,2025-10-14,S,40,2200,Discovery,KRW,291403,291403.0,KRW,V1,1480.0,DX 광주상무 10월 전기료(1),,,,,2000.0,,ZX7040,DX_광주상무(직),한국전력공사,,,,,,기타영업비,기타비용,수도광열비,202510,매장
,2025/10,,55090101,수도광열비,K3,3200006262,2,2025-10-21,2025-10-14,2025-10-14,S,40,2200,Discovery,KRW,7860,7860.0,KRW,VZ,1480.0,DX 광주상무 10월 전기료(1),,,,,2000.0,,ZX7040,DX_광주상무(직),한국전력공사,,,,,,기타영업비,기타비용,수도광열비,202510,매장
,2025/10,,55090101,수도광열비,K3,3200006265,1,2025-10-21,2025-10-14,2025-10-14,S,40,2200,Discovery,KRW,234005,234005.0,KRW,V1,1480.0,DX 광주상무 10월 전기료(2),,,,,2000.0,,ZX7040,DX_광주상무(직),한국전력공사,,,,,,기타영업비,기타비용,수도광열비,202510,매장
,2025/10,,55090101,수도광열비,K3,3200006265,2,2025-10-21,2025-10-14,2025-10-14,S,40,2200,Discovery,KRW,6310,6310.0,KRW,VZ,1480.0,DX 광주상무 10월 전기료(2),,,,,2000.0,,ZX7040,DX_광주상무(직),한국전력공사,,,,,,기타영업비,기타비용,수도광열비,202510,매장
,2025/10,,55090101,수도광열비,K1,3400010937,1,2025-10-13,2025-10-10,2025-10-10,S,40,2200,Discovery,KRW,969641,969641.0,KRW,V1,1690.0,DX 타임스트림 9월 전기료 외,,,,,2000.0,,ZX8330,DX_타임스퀘어신림(직),202510101025101095,,2568501292,주식회사 코람코자산신탁,(주)코람코가치투자부동산제3의1호위탁,,기타영업비,기타비용,수도광열비,202510,매장
,2025/10,,55090101,수도광열비,K1,3400010939,1,2025-10-13,2025-10-10,2025-10-10,S,40,2200,Discovery,KRW,219181,219181.0,KRW,VA,1690.0,DX 타임스트림 9월 전기료 외,,,,,2000.0,,ZX8330,DX_타임스퀘어신림(직),202510101025101095,,2568501292,주식회사 코람코자산신탁,(주)코람코가치투자부동산제3의1호위탁,,기타영업비,기타비용,수도광열비,202510,매장
,2025/10,,55090101,수도광열비,K1,3400010995,1,2025-10-15,2025-10-02,2025-10-02,S,40,2200,Discovery,KRW,2533955,2533955.0,KRW,V1,1000.0,DX 가로수길 9월 전기료,,,,,2000.0,,ZX7020,DX_가로수길(직),202510021025100288,,2110427233,김성언,제이엔케이,,기타영업비,기타비용,수도광열비,202510,매장
