반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55210161,지급수수료_보안,K2,3300060846,1,2025-10-31,2025-10-15,2025-10-15,S,40,2200,Discovery,KRW,77000,77000.0,KRW,VZ,1000.0,25.10월 DX 스타필드안성 보안비,,,,,2000.0,,ZX8270,DX_스타필드안성(직),9410499196121890,,2208182546,30131005,"X202101002, 영업관리팀00",,지급수수료,지급수수료,지급수수료_보안,202510,매장
,2025/10,,55210161,지급수수료_보안,K2,3300060852,1,2025-10-31,2025-10-15,2025-10-15,S,40,2200,Discovery,KRW,104500,104500.0,KRW,VZ,1000.0,25.10월 DX 스타필드하남 보안비,,,,,2000.0,,ZX8340,DX_스타필드하남(직),9410499196121890,,2208182546,30131016,"X202101002, 영업관리팀00",,지급수수료,지급수수료,지급수수료_보안,202510,매장
,2025/10,,55210161,지급수수료_보안,K1,3400011024,1,2025-10-17,2025-10-15,2025-10-15,S,40,2200,Discovery,KRW,450000,450000.0,KRW,V1,1290.0,DX 팩토리이천 10월 에스원비용,,,,,2000.0,,ZX7050,DX_팩토리이천(직),20251015410000080a,,2088113302,남궁범외 1인,(주)에스원 이천,,지급수수료,지급수수료,지급수수료_보안,202510,매장
,2025/10,,55210161,지급수수료_보안,K1,3400011026,1,2025-10-17,2025-10-15,2025-10-15,S,40,2200,Discovery,KRW,100000,100000.0,KRW,V1,1450.0,DX 스타필드고양 10월 에스원비용,,,,,2000.0,,ZX8130,DX_스타필드고양(직),20251015410000080a,,2088113302,남궁범외 1인,(주)에스원 고양,,지급수수료,지급수수료,지급수수료_보안,202510,매장
,2025/10,,55210161,지급수수료_보안,K1,3400011027,1,2025-10-17,2025-10-15,2025-10-15,S,40,2200,Discovery,KRW,78000,78000.0,KRW,V1,1690.0,DX 타임스트림 10월 에스원비용,,,,,2000.0,,ZX8330,DX_타임스퀘어신림(직),20251015410000080a,,2088113302,남궁범외 1인,(주)에스원 관악,,지급수수료,지급수수료,지급수수료_보안,202510,매장
,2025/10,,55210161,지급수수료_보안,K1,3400011028,1,2025-10-17,2025-10-15,2025-10-15,S,40,2200,Discovery,KRW,70000,70000.0,KRW,V1,1140.0,DX 타임스퀘어 10월 에스원비용,,,,,2000.0,,ZX7010,DX_타임스퀘어(직),20251015410000080a,,2088113302,남궁범외 1인,(주)에스원 구로,,지급수수료,지급수수료,지급수수료_보안,202510,매장
,2025/10,,55210161,지급수수료_보안,K1,3400011029,1,2025-10-17,2025-10-15,2025-10-15,S,40,2200,Discovery,KRW,405000,405000.0,KRW,V1,1350.0,DX 가로수길 10월 에스원 비용,,,,,2000.0,,ZX7020,DX_가로수길(직),20251015410000080a,,2088113302,남궁범외 1인,(주)에스원 강남,,지급수수료,지급수수료,지급수수료_보안,202510,매장
,2025/10,,55210161,지급수수료_보안,K1,3400011030,1,2025-10-17,2025-10-15,2025-10-15,S,40,2200,Discovery,KRW,65000,65000.0,KRW,V1,1480.0,DX 광주상무 10월 에스원비용,,,,,2000.0,,ZX7040,DX_광주상무(직),20251015410000080a,,2088113302,남궁범외 1인,(주)에스원 서광주,,지급수수료,지급수수료,지급수수료_보안,202510,매장
,2025/10,,55210161,지급수수료_보안,K1,3400011031,1,2025-10-17,2025-10-15,2025-10-15,S,40,2200,Discovery,KRW,100000,100000.0,KRW,V1,1920.0,DX 스타필드수원 10월 에스원비용,,,,,2000.0,,ZX8380,DX_스타필드수원(직),20251015410000080a,,2088113302,남궁범외 1인,(주)에스원 동수원,,지급수수료,지급수수료,지급수수료_보안,202510,매장
,2025/10,,55210161,지급수수료_보안,K1,3400011032,1,2025-10-17,2025-10-15,2025-10-15,S,40,2200,Discovery,KRW,300000,300000.0,KRW,V1,1850.0,DX 명동점 10월 에스원 비용,,,,,2000.0,,ZX7060,DX_명동중앙(직),20251015410000080a,,2088113302,남궁범외 1인,(주)에스원 서울중앙,,지급수수료,지급수수료,지급수수료_보안,202510,매장
