반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55170101,광고선전비_매체집행_온라인,K1,3400011684,1,2025-11-05,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,9887704,9887704.0,KRW,V1,1000.0,25년 10월 듀베티카 퍼포먼스 마케팅_SA,,,,,2000.0,,FV0000,DUVETICA_공통,202510314100009608,,5818100925,백승록,(주)디엑스이,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,부서
,2025/10,,55170101,광고선전비_매체집행_온라인,K1,3400011685,1,2025-11-05,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,114983498,114983498.0,KRW,V1,1000.0,25년 10월 듀베티카 퍼포먼스 마케팅_DA,,,,,2000.0,,FV0000,DUVETICA_공통,202510314100009608,,5818100925,백승록,(주)디엑스이,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,부서
,2025/10,,55170101,광고선전비_매체집행_온라인,K1,3400012051,1,2025-11-06,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,4100000,4100000.0,KRW,V1,1000.0,[DV] 25.10 온라인 바이럴 정산_무드컴,,,,,2000.0,,FV0600,DUVETICA_마케팅팀,202510311025110428,,4588702950,유새별,주식회사 무드컴,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,부서
,2025/10,,55170101,광고선전비_매체집행_온라인,K1,3400012052,1,2025-11-06,2025-10-20,2025-10-20,S,40,2400,Duvetica,KRW,10500000,10500000.0,KRW,V1,1000.0,[DV] 온라인 바이럴 정산_데패뉴 패키지,,,,,2000.0,,FV0600,DUVETICA_마케팅팀,202510201025102013,,2168802519,이혜영,주식회사 데패뉴,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,부서
,2025/10,,55170101,광고선전비_매체집행_온라인,K1,3400012054,1,2025-11-06,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,3290000,3290000.0,KRW,V1,1000.0,[DV]25.10 온라인 바이럴 정산_더바이럴,,,,,2000.0,,FV0600,DUVETICA_마케팅팀,202510311025103123,,3098800400,이신행,주식회사 더바이럴,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,부서
,2025/10,,55170101,광고선전비_매체집행_온라인,K1,3400012055,1,2025-11-06,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,26360000,26360000.0,KRW,V1,1000.0,[DV] 25.10 온라인 바이럴 정산_디마코,,,,,2000.0,,FV0600,DUVETICA_마케팅팀,202510311025103123,,1388800069,진도윤,(주)디마코코리아,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,부서
,2025/10,,55170101,광고선전비_매체집행_온라인,CO,8000201084,0,2025-11-10,2025-10-31,2025-10-31,H,50,2400,Duvetica,KRW,-106042041,-106042041.0,KRW,,,[CC대체]25.10월 DV 공식몰 전환 광고비 정산의 건,,,,,2000.0,,FV0000,DUVETICA_공통,,,,,,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,부서
,2025/10,,55170101,광고선전비_매체집행_온라인,CO,8000201084,0,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,106042041,106042041.0,KRW,,,[CC대체]25.10월 DV 공식몰 전환 광고비 정산의 건,,,,,2000.0,,ZV9000,DV_온라인(자사몰),,,,,,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,매장
,2025/10,,55170101,광고선전비_매체집행_온라인,CO,8000201084,0,2025-11-10,2025-10-31,2025-10-31,H,50,2400,Duvetica,KRW,-13674794,-13674794.0,KRW,,,[CC대체]25.10월 DV 네이버브랜드스토어 전환 광고비 정산의 건,,,,,2000.0,,FV0000,DUVETICA_공통,,,,,,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,부서
,2025/10,,55170101,광고선전비_매체집행_온라인,CO,8000201084,0,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,13674794,13674794.0,KRW,,,[CC대체]25.10월 DV 네이버브랜드스토어 전환 광고비 정산의 건,,,,,2000.0,,ZV9010,DV_네이버(제휴몰),,,,,,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,매장
,2025/10,,55170101,광고선전비_매체집행_온라인,CO,8000201084,0,2025-11-10,2025-10-31,2025-10-31,H,50,2400,Duvetica,KRW,-5154367,-5154367.0,KRW,,,[CC대체]25.10월 DV SSG 전환 광고비 정산의 건,,,,,2000.0,,FV0000,DUVETICA_공통,,,,,,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,부서
,2025/10,,55170101,광고선전비_매체집행_온라인,CO,8000201084,0,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,5154367,5154367.0,KRW,,,[CC대체]25.10월 DV SSG 전환 광고비 정산의 건,,,,,2000.0,,ZV9030,DV_SSG닷컴(제휴몰),,,,,,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,매장
