반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,53010101,급료와임금,HR,8100000012,175,2024-10-25,2024-10-28,2024-10-28,S,40,2400,Duvetica,KRW,3501373,3501373.0,KRW,,1000.0,24.10월_DUVETICA_MD팀_잡급(급여),,,,,2000.0,,FV0900,DUVETICA_기획팀,FV0900,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000012,181,2024-10-25,2024-10-28,2024-10-28,S,40,2400,Duvetica,KRW,998628,998628.0,KRW,,1000.0,24.10월_DUVETICA_MD팀_잡급(제수당),,,,,2000.0,,FV0900,DUVETICA_기획팀,FV0900,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000012,231,2024-10-25,2024-10-28,2024-10-28,S,40,2400,Duvetica,KRW,18394071,18394071.0,KRW,,1000.0,24.10월_DUVETICA_MD팀_급여,,,,,2000.0,,FV0900,DUVETICA_기획팀,FV0900,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000012,278,2024-10-25,2024-10-28,2024-10-28,S,40,2400,Duvetica,KRW,15712703,15712703.0,KRW,,1000.0,24.10월_DUVETICA_TD팀_급여,,,,,2000.0,,FV0200,DUVETICA_TD팀,FV0200,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000012,292,2024-10-25,2024-10-28,2024-10-28,S,40,2400,Duvetica,KRW,10231467,10231467.0,KRW,,1000.0,24.10월_DUVETICA_MD팀_제수당,,,,,2000.0,,FV0900,DUVETICA_기획팀,FV0900,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000012,299,2024-10-25,2024-10-28,2024-10-28,S,40,2400,Duvetica,KRW,13468750,13468750.0,KRW,,1000.0,24.10월_DUVETICA_공통_급여,,,,,2000.0,,FV0900,DUVETICA_기획팀,FV0900,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000012,306,2024-10-25,2024-10-28,2024-10-28,S,40,2400,Duvetica,KRW,7826807,7826807.0,KRW,,1000.0,24.10월_DUVETICA_TD팀_제수당,,,,,2000.0,,FV0200,DUVETICA_TD팀,FV0200,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000016,9,2024-10-29,2024-10-28,2024-10-28,S,40,2400,Duvetica,KRW,13468750,13468750.0,KRW,,1000.0,24.10월_DUVETICA_공통_급여,,,,,2000.0,,FV0900,DUVETICA_기획팀,FV0900,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000016,22,2024-10-29,2024-10-28,2024-10-28,S,40,2400,Duvetica,KRW,52123175,52123175.0,KRW,,1000.0,24.10월_DUVETICA_디자인팀_급여,,,,,1000.0,,FV1100,DUVETICA_디자인팀,FV1100,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000016,58,2024-10-29,2024-10-28,2024-10-28,S,40,2400,Duvetica,KRW,18394071,18394071.0,KRW,,1000.0,24.10월_DUVETICA_MD팀_급여,,,,,2000.0,,FV0900,DUVETICA_기획팀,FV0900,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000016,63,2024-10-29,2024-10-28,2024-10-28,S,40,2400,Duvetica,KRW,15712703,15712703.0,KRW,,1000.0,24.10월_DUVETICA_TD팀_급여,,,,,2000.0,,FV0200,DUVETICA_TD팀,FV0200,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000016,109,2024-10-29,2024-10-28,2024-10-28,S,40,2400,Duvetica,KRW,38094293,38094293.0,KRW,,1000.0,24.10월_DUVETICA_소싱팀_급여,,,,,2000.0,,FV0400,[CLSD]DUVETICA_소싱팀,FV0400,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000016,115,2024-10-29,2024-10-28,2024-10-28,S,40,2400,Duvetica,KRW,14296178,14296178.0,KRW,,1000.0,24.10월_DUVETICA_소재소싱팀_급여,,,,,2000.0,,FV0700,DUVETICA_소재팀,FV0700,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000016,133,2024-10-29,2024-10-28,2024-10-28,S,40,2400,Duvetica,KRW,20991982,20991982.0,KRW,,1000.0,24.10월_DUVETICA_영업팀_급여,,,,,2000.0,,FV0800,[CLSD]DUVETICA_영업팀,FV0800,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000016,275,2024-10-29,2024-10-28,2024-10-28,H,50,2400,Duvetica,KRW,-15712703,-15712703.0,KRW,,1000.0,24.10월_DUVETICA_TD팀_급여,,,,,2000.0,,FV0200,DUVETICA_TD팀,FV0200,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000016,288,2024-10-29,2024-10-28,2024-10-28,H,50,2400,Duvetica,KRW,-10231467,-10231467.0,KRW,,1000.0,24.10월_DUVETICA_MD팀_제수당,,,,,2000.0,,FV0900,DUVETICA_기획팀,FV0900,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000016,324,2024-10-29,2024-10-28,2024-10-28,H,50,2400,Duvetica,KRW,-13468750,-13468750.0,KRW,,1000.0,24.10월_DUVETICA_공통_급여,,,,,2000.0,,FV0900,DUVETICA_기획팀,FV0900,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000016,329,2024-10-29,2024-10-28,2024-10-28,H,50,2400,Duvetica,KRW,-7826807,-7826807.0,KRW,,1000.0,24.10월_DUVETICA_TD팀_제수당,,,,,2000.0,,FV0200,DUVETICA_TD팀,FV0200,,,,,,인건비,인건비,급료와 임금,202410,부서
