반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104749309,2,2025-10-02,2025-10-01,2025-10-01,S,81,2400,Duvetica,KRW,9447,9447.0,KRW,,,,104591.0,,롯데역사(주)대구점,5048518111.0,2000.0,,ZV0300,DV_롯데대구(백),ZV0300,VXVC015,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104749321,2,2025-10-02,2025-10-01,2025-10-01,H,91,2400,Duvetica,KRW,-45200,-45200.0,KRW,,,,103575.0,,EC-온라인물류,0.0,2000.0,,FV0000,DUVETICA_공통,FV0000,VXVC011,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,부서
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104749322,2,2025-10-02,2025-10-01,2025-10-01,S,81,2400,Duvetica,KRW,22600,22600.0,KRW,,,,103532.0,,네이버파이낸셜 주식회사,5248601528.0,2000.0,,ZV9010,DV_네이버(제휴몰),ZV9010,VXVC011,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104749348,2,2025-10-02,2025-10-01,2025-10-01,S,81,2400,Duvetica,KRW,22600,22600.0,KRW,,,,103455.0,,온라인쇼핑몰(직),1538102451.0,2000.0,,ZV9000,DV_온라인(자사몰),ZV9000,VXVC011,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104773444,2,2025-10-03,2025-10-02,2025-10-02,S,81,2400,Duvetica,KRW,9447,9447.0,KRW,,,,104591.0,,롯데역사(주)대구점,5048518111.0,2000.0,,ZV0300,DV_롯데대구(백),ZV0300,VXVC015,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104773444,4,2025-10-03,2025-10-02,2025-10-02,S,81,2400,Duvetica,KRW,13947,13947.0,KRW,,,,104591.0,,롯데역사(주)대구점,5048518111.0,2000.0,,ZV0300,DV_롯데대구(백),ZV0300,VXVC014,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104773645,2,2025-10-03,2025-10-02,2025-10-02,H,91,2400,Duvetica,KRW,-22600,-22600.0,KRW,,,,103575.0,,EC-온라인물류,0.0,2000.0,,FV0000,DUVETICA_공통,FV0000,VXVC011,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,부서
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104773646,2,2025-10-03,2025-10-02,2025-10-02,S,81,2400,Duvetica,KRW,11300,11300.0,KRW,,,,105351.0,,"주식회사 무신사 (MUSINSA Co. , Ltd.)",2118879575.0,2000.0,,ZV9060,DV_무신사(제휴몰),ZV9060,VXVC011,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104773669,4,2025-10-03,2025-10-02,2025-10-02,S,81,2400,Duvetica,KRW,11300,11300.0,KRW,,,,103455.0,,온라인쇼핑몰(직),1538102451.0,2000.0,,ZV9000,DV_온라인(자사몰),ZV9000,VXVC011,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104908239,2,2025-10-11,2025-10-10,2025-10-10,S,81,2400,Duvetica,KRW,3079,3079.0,KRW,,,,106319.0,,(주)경방,1078105232.0,2000.0,,ZV0820,DV_타임스퀘어(백),ZV0820,VXVD001,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104908241,4,2025-10-11,2025-10-10,2025-10-10,S,81,2400,Duvetica,KRW,3848,3848.0,KRW,,,,104878.0,,(주)에프앤에프 듀베티카 롯데아울렛의왕,6538502357.0,2000.0,,ZV8071,DV_롯데아울렛의왕(직),ZV8071,VXVD001,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104908350,4,2025-10-11,2025-10-10,2025-10-10,S,81,2400,Duvetica,KRW,33900,33900.0,KRW,,,,105351.0,,"주식회사 무신사 (MUSINSA Co. , Ltd.)",2118879575.0,2000.0,,ZV9060,DV_무신사(제휴몰),ZV9060,VXVC011,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104908351,4,2025-10-11,2025-10-10,2025-10-10,H,91,2400,Duvetica,KRW,-146900,-146900.0,KRW,,,,103575.0,,EC-온라인물류,0.0,2000.0,,FV0000,DUVETICA_공통,FV0000,VXVC011,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,부서
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104908367,6,2025-10-11,2025-10-10,2025-10-10,S,81,2400,Duvetica,KRW,11300,11300.0,KRW,,,,103575.0,,EC-온라인물류,0.0,2000.0,,FV0000,DUVETICA_공통,FV0000,VXVC011,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,부서
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104908372,2,2025-10-11,2025-10-10,2025-10-10,S,81,2400,Duvetica,KRW,113000,113000.0,KRW,,,,103455.0,,온라인쇼핑몰(직),1538102451.0,2000.0,,ZV9000,DV_온라인(자사몰),ZV9000,VXVC011,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
