반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55110107,소모품비_사은품사용,WA,6104749321,8,2025-10-02,2025-10-01,2025-10-01,H,91,2400,Duvetica,KRW,-43500,-43500.0,KRW,,,,103575.0,,EC-온라인물류,0.0,2000.0,,FV0000,DUVETICA_공통,FV0000,VXVP014,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,부서
,2025/10,,55110107,소모품비_사은품사용,WA,6104749325,2,2025-10-02,2025-10-01,2025-10-01,S,81,2400,Duvetica,KRW,14500,14500.0,KRW,,,,105310.0,,(주)신세계인터내셔날,2018153657.0,2000.0,,ZV9040,DV_SI빌리지(제휴몰),ZV9040,VXVP014,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,매장
,2025/10,,55110107,소모품비_사은품사용,WA,6104749348,6,2025-10-02,2025-10-01,2025-10-01,S,81,2400,Duvetica,KRW,29000,29000.0,KRW,,,,103455.0,,온라인쇼핑몰(직),1538102451.0,2000.0,,ZV9000,DV_온라인(자사몰),ZV9000,VXVP014,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,매장
,2025/10,,55110107,소모품비_사은품사용,WA,6104749356,2,2025-10-02,2025-10-01,2025-10-01,S,81,2400,Duvetica,KRW,14500,14500.0,KRW,,,,103575.0,,EC-온라인물류,0.0,2000.0,,FV0000,DUVETICA_공통,FV0000,VXVP014,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,부서
,2025/10,,55110107,소모품비_사은품사용,WA,6104749357,2,2025-10-02,2025-10-01,2025-10-01,H,91,2400,Duvetica,KRW,-14500,-14500.0,KRW,,,,103455.0,,온라인쇼핑몰(직),1538102451.0,2000.0,,ZV9000,DV_온라인(자사몰),ZV9000,VXVP014,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,매장
,2025/10,,55110107,소모품비_사은품사용,WA,6104773446,2,2025-10-03,2025-10-02,2025-10-02,S,81,2400,Duvetica,KRW,435000,435000.0,KRW,,,,105215.0,,주식회사 현대백화점 THE HYUNDAI SEOUL,1248586989.0,2000.0,,ZV0600,DV_더현대서울(백),ZV0600,VXVP014,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,매장
,2025/10,,55110107,소모품비_사은품사용,WA,6104773447,2,2025-10-03,2025-10-02,2025-10-02,S,81,2400,Duvetica,KRW,725000,725000.0,KRW,,,,103714.0,,스타필드 듀베티카,8398501684.0,2000.0,,ZV8010,DV_스타필드하남(직),ZV8010,VXVP014,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,매장
,2025/10,,55110107,소모품비_사은품사용,WA,6104908351,10,2025-10-11,2025-10-10,2025-10-10,H,91,2400,Duvetica,KRW,-43500,-43500.0,KRW,,,,103575.0,,EC-온라인물류,0.0,2000.0,,FV0000,DUVETICA_공통,FV0000,VXVP014,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,부서
,2025/10,,55110107,소모품비_사은품사용,WA,6104908366,2,2025-10-11,2025-10-10,2025-10-10,H,91,2400,Duvetica,KRW,-14500,-14500.0,KRW,,,,104332.0,,주식회사 에스에스지닷컴,8708801143.0,2000.0,,ZV9030,DV_SSG닷컴(제휴몰),ZV9030,VXVP014,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,매장
,2025/10,,55110107,소모품비_사은품사용,WA,6104908367,2,2025-10-11,2025-10-10,2025-10-10,S,81,2400,Duvetica,KRW,14500,14500.0,KRW,,,,103575.0,,EC-온라인물류,0.0,2000.0,,FV0000,DUVETICA_공통,FV0000,VXVP014,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,부서
,2025/10,,55110107,소모품비_사은품사용,WA,6104908372,10,2025-10-11,2025-10-10,2025-10-10,S,81,2400,Duvetica,KRW,43500,43500.0,KRW,,,,103455.0,,온라인쇼핑몰(직),1538102451.0,2000.0,,ZV9000,DV_온라인(자사몰),ZV9000,VXVP014,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,매장
,2025/10,,55110107,소모품비_사은품사용,WA,6104926305,2,2025-10-12,2025-10-11,2025-10-11,S,81,2400,Duvetica,KRW,14500,14500.0,KRW,,,,103532.0,,네이버파이낸셜 주식회사,5248601528.0,2000.0,,ZV9010,DV_네이버(제휴몰),ZV9010,VXVP014,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,매장
,2025/10,,55110107,소모품비_사은품사용,WA,6104926306,2,2025-10-12,2025-10-11,2025-10-11,H,91,2400,Duvetica,KRW,-58000,-58000.0,KRW,,,,103575.0,,EC-온라인물류,0.0,2000.0,,FV0000,DUVETICA_공통,FV0000,VXVP014,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,부서
,2025/10,,55110107,소모품비_사은품사용,WA,6104926307,2,2025-10-12,2025-10-11,2025-10-11,S,81,2400,Duvetica,KRW,14500,14500.0,KRW,,,,104593.0,,삼성물산(주)패션부문,1018543600.0,2000.0,,ZV9050,DV_SSF샵(제휴몰),ZV9050,VXVP014,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,매장
,2025/10,,55110107,소모품비_사은품사용,WA,6104926308,2,2025-10-12,2025-10-11,2025-10-11,S,81,2400,Duvetica,KRW,14500,14500.0,KRW,,,,104183.0,,코오롱인더스트리(주)Fnc부문,1388519612.0,2000.0,,ZV9020,DV_더카트골프(제휴몰),ZV9020,VXVP014,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,매장
,2025/10,,55110107,소모품비_사은품사용,WA,6104926314,6,2025-10-12,2025-10-11,2025-10-11,S,81,2400,Duvetica,KRW,14500,14500.0,KRW,,,,103455.0,,온라인쇼핑몰(직),1538102451.0,2000.0,,ZV9000,DV_온라인(자사몰),ZV9000,VXVP014,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,매장
,2025/10,,55110107,소모품비_사은품사용,WA,6104945844,4,2025-10-13,2025-10-12,2025-10-12,H,91,2400,Duvetica,KRW,-14500,-14500.0,KRW,,,,103575.0,,EC-온라인물류,0.0,2000.0,,FV0000,DUVETICA_공통,FV0000,VXVP014,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,부서
,2025/10,,55110107,소모품비_사은품사용,WA,6104945845,4,2025-10-13,2025-10-12,2025-10-12,S,81,2400,Duvetica,KRW,14500,14500.0,KRW,,,,103455.0,,온라인쇼핑몰(직),1538102451.0,2000.0,,ZV9000,DV_온라인(자사몰),ZV9000,VXVP014,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,매장
,2025/10,,55110107,소모품비_사은품사용,WA,6104964019,6,2025-10-14,2025-10-13,2025-10-13,S,81,2400,Duvetica,KRW,1450000,1450000.0,KRW,,,,103714.0,,스타필드 듀베티카,8398501684.0,2000.0,,ZV8010,DV_스타필드하남(직),ZV8010,VXVP014,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,매장
,2025/10,,55110107,소모품비_사은품사용,WA,6104964052,2,2025-10-14,2025-10-13,2025-10-13,H,91,2400,Duvetica,KRW,-87000,-87000.0,KRW,,,,103575.0,,EC-온라인물류,0.0,2000.0,,FV0000,DUVETICA_공통,FV0000,VXVP014,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,부서
