반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55110109,소모품비_쇼핑백사용,WA,6104749310,2,2025-10-02,2025-10-01,2025-10-01,S,81,2400,Duvetica,KRW,207500,207500.0,KRW,,,,105567.0,,한무쇼핑(주)목동점,1178509271.0,2000.0,,ZV0650,DV_현대목동(백),ZV0650,VXVS011,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202510,매장
,2025/10,,55110109,소모품비_쇼핑백사용,WA,6104749321,4,2025-10-02,2025-10-01,2025-10-01,H,91,2400,Duvetica,KRW,-6500,-6500.0,KRW,,,,103575.0,,EC-온라인물류,0.0,2000.0,,FV0000,DUVETICA_공통,FV0000,VXVS010,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202510,부서
,2025/10,,55110109,소모품비_쇼핑백사용,WA,6104749321,6,2025-10-02,2025-10-01,2025-10-01,H,91,2400,Duvetica,KRW,-8300,-8300.0,KRW,,,,103575.0,,EC-온라인물류,0.0,2000.0,,FV0000,DUVETICA_공통,FV0000,VXVS011,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202510,부서
,2025/10,,55110109,소모품비_쇼핑백사용,WA,6104749322,4,2025-10-02,2025-10-01,2025-10-01,S,81,2400,Duvetica,KRW,3250,3250.0,KRW,,,,103532.0,,네이버파이낸셜 주식회사,5248601528.0,2000.0,,ZV9010,DV_네이버(제휴몰),ZV9010,VXVS010,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202510,매장
,2025/10,,55110109,소모품비_쇼핑백사용,WA,6104749322,6,2025-10-02,2025-10-01,2025-10-01,S,81,2400,Duvetica,KRW,4150,4150.0,KRW,,,,103532.0,,네이버파이낸셜 주식회사,5248601528.0,2000.0,,ZV9010,DV_네이버(제휴몰),ZV9010,VXVS011,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202510,매장
,2025/10,,55110109,소모품비_쇼핑백사용,WA,6104749348,4,2025-10-02,2025-10-01,2025-10-01,S,81,2400,Duvetica,KRW,4150,4150.0,KRW,,,,103455.0,,온라인쇼핑몰(직),1538102451.0,2000.0,,ZV9000,DV_온라인(자사몰),ZV9000,VXVS011,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202510,매장
,2025/10,,55110109,소모품비_쇼핑백사용,WA,6104749348,8,2025-10-02,2025-10-01,2025-10-01,S,81,2400,Duvetica,KRW,3250,3250.0,KRW,,,,103455.0,,온라인쇼핑몰(직),1538102451.0,2000.0,,ZV9000,DV_온라인(자사몰),ZV9000,VXVS010,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202510,매장
,2025/10,,55110109,소모품비_쇼핑백사용,WA,6104773645,4,2025-10-03,2025-10-02,2025-10-02,H,91,2400,Duvetica,KRW,-4150,-4150.0,KRW,,,,103575.0,,EC-온라인물류,0.0,2000.0,,FV0000,DUVETICA_공통,FV0000,VXVS011,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202510,부서
,2025/10,,55110109,소모품비_쇼핑백사용,WA,6104773645,6,2025-10-03,2025-10-02,2025-10-02,H,91,2400,Duvetica,KRW,-3250,-3250.0,KRW,,,,103575.0,,EC-온라인물류,0.0,2000.0,,FV0000,DUVETICA_공통,FV0000,VXVS010,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202510,부서
,2025/10,,55110109,소모품비_쇼핑백사용,WA,6104773646,4,2025-10-03,2025-10-02,2025-10-02,S,81,2400,Duvetica,KRW,4150,4150.0,KRW,,,,105351.0,,"주식회사 무신사 (MUSINSA Co. , Ltd.)",2118879575.0,2000.0,,ZV9060,DV_무신사(제휴몰),ZV9060,VXVS011,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202510,매장
