반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55110111,소모품비_옷걸이사용,WA,6104749310,4,2025-10-02,2025-10-01,2025-10-01,S,81,2400,Duvetica,KRW,436800,436800.0,KRW,,,,105567.0,,한무쇼핑(주)목동점,1178509271.0,2000.0,,ZV0650,DV_현대목동(백),ZV0650,VXVH005,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_옷걸이사용,202510,매장
,2025/10,,55110111,소모품비_옷걸이사용,WA,6104749310,6,2025-10-02,2025-10-01,2025-10-01,S,81,2400,Duvetica,KRW,420000,420000.0,KRW,,,,105567.0,,한무쇼핑(주)목동점,1178509271.0,2000.0,,ZV0650,DV_현대목동(백),ZV0650,VXVH004,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_옷걸이사용,202510,매장
,2025/10,,55110111,소모품비_옷걸이사용,WA,6104749310,8,2025-10-02,2025-10-01,2025-10-01,S,81,2400,Duvetica,KRW,280000,280000.0,KRW,,,,105567.0,,한무쇼핑(주)목동점,1178509271.0,2000.0,,ZV0650,DV_현대목동(백),ZV0650,VXVH002,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_옷걸이사용,202510,매장
,2025/10,,55110111,소모품비_옷걸이사용,WA,6104773445,2,2025-10-03,2025-10-02,2025-10-02,S,81,2400,Duvetica,KRW,150000,150000.0,KRW,,,,106029.0,,(주)에프앤에프 강남사옥점,2848501531.0,2000.0,,ZV7000,DV_강남사옥(직),ZV7000,VXVH009,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_옷걸이사용,202510,매장
,2025/10,,55110111,소모품비_옷걸이사용,WA,6104908244,2,2025-10-11,2025-10-10,2025-10-10,S,81,2400,Duvetica,KRW,140000,140000.0,KRW,,,,105868.0,,(주)에프앤에프 듀베티카 현대아울렛김포,1058544412.0,2000.0,,ZV8110,DV_현대아울렛김포(직),ZV8110,VXVH007,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_옷걸이사용,202510,매장
,2025/10,,55110111,소모품비_옷걸이사용,WA,6105092441,6,2025-10-21,2025-10-20,2025-10-20,S,81,2400,Duvetica,KRW,140000,140000.0,KRW,,,,101358.0,,롯데쇼핑(주)에비뉴엘월드타워점,2308502381.0,2000.0,,ZV0010,DV_롯데잠실(백),ZV0010,VXVH008,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_옷걸이사용,202510,매장
,2025/10,,55110111,소모품비_옷걸이사용,WA,6105151120,4,2025-10-24,2025-10-23,2025-10-23,S,81,2400,Duvetica,KRW,140000,140000.0,KRW,,,,106372.0,,(주)신세계백화점경기점,2018132195.0,2000.0,,FV0000,DUVETICA_공통,FV0000,VXVH007,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_옷걸이사용,202510,부서
,2025/10,,55110111,소모품비_옷걸이사용,WA,6105151120,6,2025-10-24,2025-10-23,2025-10-23,S,81,2400,Duvetica,KRW,150000,150000.0,KRW,,,,106372.0,,(주)신세계백화점경기점,2018132195.0,2000.0,,FV0000,DUVETICA_공통,FV0000,VXVH009,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_옷걸이사용,202510,부서
,2025/10,,55110111,소모품비_옷걸이사용,WA,6105151120,14,2025-10-24,2025-10-23,2025-10-23,S,81,2400,Duvetica,KRW,280000,280000.0,KRW,,,,106372.0,,(주)신세계백화점경기점,2018132195.0,2000.0,,FV0000,DUVETICA_공통,FV0000,VXVH008,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_옷걸이사용,202510,부서
,2025/10,,55110111,소모품비_옷걸이사용,WA,6105170182,2,2025-10-25,2025-10-24,2025-10-24,S,81,2400,Duvetica,KRW,140000,140000.0,KRW,,,,106372.0,,(주)신세계백화점경기점,2018132195.0,2000.0,,FV0000,DUVETICA_공통,FV0000,VXVH008,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_옷걸이사용,202510,부서
