반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,55110127,소모품비_유니폼사용,DA,2000141811,1,2024-10-23,2024-10-22,2024-10-22,S,40,2400,Duvetica,KRW,16364,16364.0,KRW,,1000.0,V24SVDTS30143,,,,,2000.0,,FV0000,DUVETICA_공통,0000105214,,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용,202410,부서
,2024/10,,55110127,소모품비_유니폼사용,DA,2000141812,1,2024-10-23,2024-10-22,2024-10-22,S,40,2400,Duvetica,KRW,23636,23636.0,KRW,,1000.0,V24FVDMT10544,,,,,2000.0,,FV0000,DUVETICA_공통,0000105214,,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용,202410,부서
,2024/10,,55110127,소모품비_유니폼사용,DA,2000141813,1,2024-10-23,2024-10-22,2024-10-22,S,40,2400,Duvetica,KRW,11818,11818.0,KRW,,1000.0,V24FVDRS35244,,,,,2000.0,,FV0000,DUVETICA_공통,0000105214,,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용,202410,부서
,2024/10,,55110127,소모품비_유니폼사용,DA,2000141814,1,2024-10-23,2024-10-22,2024-10-22,S,40,2400,Duvetica,KRW,23636,23636.0,KRW,,1000.0,V24FVUMT10544,,,,,2000.0,,FV0000,DUVETICA_공통,0000105214,,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용,202410,부서
,2024/10,,55110127,소모품비_유니폼사용,DA,2000141815,1,2024-10-23,2024-10-22,2024-10-22,S,40,2400,Duvetica,KRW,13636,13636.0,KRW,,1000.0,V24FVURS15144,,,,,2000.0,,FV0000,DUVETICA_공통,0000105214,,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용,202410,부서
,2024/10,,55110127,소모품비_유니폼사용,DA,2000141816,1,2024-10-23,2024-10-22,2024-10-22,S,40,2400,Duvetica,KRW,13636,13636.0,KRW,,1000.0,V24FVURS35144,,,,,2000.0,,FV0000,DUVETICA_공통,0000105214,,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용,202410,부서
,2024/10,,55110127,소모품비_유니폼사용,DA,2000141817,1,2024-10-23,2024-10-22,2024-10-22,S,40,2400,Duvetica,KRW,3636,3636.0,KRW,,1000.0,V23FVXSO10135,,,,,2000.0,,FV0000,DUVETICA_공통,0000105214,,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용,202410,부서
,2024/10,,55110127,소모품비_유니폼사용,DA,2000143603,1,2024-10-30,2024-10-29,2024-10-29,S,40,2400,Duvetica,KRW,76365,76365.0,KRW,,1000.0,V24SVUTR10541,,,,,2000.0,,FV0000,DUVETICA_공통,0000105215,,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용,202410,부서
,2024/10,,55110127,소모품비_유니폼사용,DA,2000143604,1,2024-10-30,2024-10-29,2024-10-29,S,40,2400,Duvetica,KRW,50910,50910.0,KRW,,1000.0,V24SVUTR10541,,,,,2000.0,,FV0000,DUVETICA_공통,0000104591,,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용,202410,부서
,2024/10,,55110127,소모품비_유니폼사용,DA,2000143605,1,2024-10-30,2024-10-29,2024-10-29,S,40,2400,Duvetica,KRW,50910,50910.0,KRW,,1000.0,V24SVUTR10541,,,,,2000.0,,FV0000,DUVETICA_공통,0000104478,,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용,202410,부서
