반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800819156,1,2024-11-08,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,191614,191614.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FV0000,DUVETICA_공통,FV0000,V22SVXMT00121,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202410,부서
,2024/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800819157,1,2024-11-08,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,52,52.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FV0000,DUVETICA_공통,FV0000,V23FVXSO10135,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202410,부서
,2024/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800819158,1,2024-11-08,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,3394,3394.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FV0000,DUVETICA_공통,FV0000,V24FVDMT10544,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202410,부서
,2024/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800819159,1,2024-11-08,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,3569,3569.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FV0000,DUVETICA_공통,FV0000,V24FVUMT10544,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202410,부서
,2024/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800819160,1,2024-11-08,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,235,235.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FV0000,DUVETICA_공통,FV0000,V24SVDTS30143,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202410,부서
,2024/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800847716,1,2024-11-12,2024-10-31,2024-10-31,H,50,2400,Duvetica,KRW,-191614,-191614.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FV0000,DUVETICA_공통,FV0000,V22SVXMT00121,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202410,부서
,2024/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800847717,1,2024-11-12,2024-10-31,2024-10-31,H,50,2400,Duvetica,KRW,-52,-52.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FV0000,DUVETICA_공통,FV0000,V23FVXSO10135,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202410,부서
,2024/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800847718,1,2024-11-12,2024-10-31,2024-10-31,H,50,2400,Duvetica,KRW,-3394,-3394.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FV0000,DUVETICA_공통,FV0000,V24FVDMT10544,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202410,부서
,2024/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800847719,1,2024-11-12,2024-10-31,2024-10-31,H,50,2400,Duvetica,KRW,-3569,-3569.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FV0000,DUVETICA_공통,FV0000,V24FVUMT10544,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202410,부서
,2024/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800847720,1,2024-11-12,2024-10-31,2024-10-31,H,50,2400,Duvetica,KRW,-235,-235.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FV0000,DUVETICA_공통,FV0000,V24SVDTS30143,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202410,부서
,2024/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800848397,1,2024-11-13,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,191614,191614.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FV0000,DUVETICA_공통,FV0000,V22SVXMT00121,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202410,부서
,2024/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800848398,1,2024-11-13,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,52,52.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FV0000,DUVETICA_공통,FV0000,V23FVXSO10135,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202410,부서
,2024/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800848399,1,2024-11-13,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,3394,3394.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FV0000,DUVETICA_공통,FV0000,V24FVDMT10544,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202410,부서
,2024/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800848400,1,2024-11-13,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,3569,3569.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FV0000,DUVETICA_공통,FV0000,V24FVUMT10544,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202410,부서
,2024/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800848401,1,2024-11-13,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,235,235.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FV0000,DUVETICA_공통,FV0000,V24SVDTS30143,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202410,부서
,2024/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800849080,1,2024-11-13,2024-10-31,2024-10-31,H,50,2400,Duvetica,KRW,-191614,-191614.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FV0000,DUVETICA_공통,FV0000,V22SVXMT00121,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202410,부서
