반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,53010105,잡급,K3,3200007610,1,2024-11-04,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,1036800,1036800.0,KRW,VZ,1000.0,24.10월 DV영업팀 VMD 아르바이트 비용(9일),,,,,2000.0,,FV0800,[CLSD]DUVETICA_영업팀,민지영,,,,,,인건비,인건비,잡급,202410,부서
,2024/10,,53010105,잡급,HR,8100000012,106,2024-10-25,2024-10-28,2024-10-28,S,40,2400,Duvetica,KRW,20991982,20991982.0,KRW,,1000.0,24.10월_DUVETICA_영업팀_급여,,,,,2000.0,,FV0800,[CLSD]DUVETICA_영업팀,FV0800,,,,,,인건비,인건비,잡급,202410,부서
,2024/10,,53010105,잡급,HR,8100000012,107,2024-10-25,2024-10-28,2024-10-28,S,40,2400,Duvetica,KRW,2100000,2100000.0,KRW,,1000.0,24.10월_DUVETICA_영업팀_잡급(급여),,,,,2000.0,,FV0800,[CLSD]DUVETICA_영업팀,FV0800,,,,,,인건비,인건비,잡급,202410,부서
,2024/10,,53010105,잡급,HR,8100000012,121,2024-10-25,2024-10-28,2024-10-28,S,40,2400,Duvetica,KRW,200000,200000.0,KRW,,1000.0,24.10월_DUVETICA_영업팀_잡급(제수당),,,,,2000.0,,FV0800,[CLSD]DUVETICA_영업팀,FV0800,,,,,,인건비,인건비,잡급,202410,부서
,2024/10,,53010105,잡급,HR,8100000012,122,2024-10-25,2024-10-28,2024-10-28,S,40,2400,Duvetica,KRW,14062079,14062079.0,KRW,,1000.0,24.10월_DUVETICA_영업팀_제수당,,,,,2000.0,,FV0800,[CLSD]DUVETICA_영업팀,FV0800,,,,,,인건비,인건비,잡급,202410,부서
,2024/10,,53010105,잡급,HR,8100000012,147,2024-10-25,2024-10-28,2024-10-28,S,40,2400,Duvetica,KRW,6738608,6738608.0,KRW,,1000.0,24.10월_DUVETICA_소재소싱팀_제수당,,,,,2000.0,,FV0700,DUVETICA_소재팀,FV0700,,,,,,인건비,인건비,잡급,202410,부서
,2024/10,,53010105,잡급,HR,8100000016,172,2024-10-29,2024-10-28,2024-10-28,S,40,2400,Duvetica,KRW,998628,998628.0,KRW,,1000.0,24.10월_DUVETICA_MD팀_잡급(제수당),,,,,2000.0,,FV0900,DUVETICA_기획팀,FV0900,,,,,,인건비,인건비,잡급,202410,부서
,2024/10,,53010105,잡급,HR,8100000016,173,2024-10-29,2024-10-28,2024-10-28,S,40,2400,Duvetica,KRW,200000,200000.0,KRW,,1000.0,24.10월_DUVETICA_영업팀_잡급(제수당),,,,,2000.0,,FV0800,[CLSD]DUVETICA_영업팀,FV0800,,,,,,인건비,인건비,잡급,202410,부서
,2024/10,,53010105,잡급,HR,8100000016,187,2024-10-29,2024-10-28,2024-10-28,S,40,2400,Duvetica,KRW,3501373,3501373.0,KRW,,1000.0,24.10월_DUVETICA_MD팀_잡급(급여),,,,,2000.0,,FV0900,DUVETICA_기획팀,FV0900,,,,,,인건비,인건비,잡급,202410,부서
,2024/10,,53010105,잡급,HR,8100000016,188,2024-10-29,2024-10-28,2024-10-28,S,40,2400,Duvetica,KRW,2100000,2100000.0,KRW,,1000.0,24.10월_DUVETICA_영업팀_잡급(급여),,,,,2000.0,,FV0800,[CLSD]DUVETICA_영업팀,FV0800,,,,,,인건비,인건비,잡급,202410,부서
,2024/10,,53010105,잡급,HR,8100000016,407,2024-10-29,2024-10-28,2024-10-28,H,50,2400,Duvetica,KRW,-6738608,-6738608.0,KRW,,1000.0,24.10월_DUVETICA_소재소싱팀_제수당,,,,,2000.0,,FV0700,DUVETICA_소재팀,FV0700,,,,,,인건비,인건비,잡급,202410,부서
,2024/10,,53010105,잡급,HR,8100000016,438,2024-10-29,2024-10-28,2024-10-28,H,50,2400,Duvetica,KRW,-14062079,-14062079.0,KRW,,1000.0,24.10월_DUVETICA_영업팀_제수당,,,,,2000.0,,FV0800,[CLSD]DUVETICA_영업팀,FV0800,,,,,,인건비,인건비,잡급,202410,부서
,2024/10,,53010105,잡급,HR,8100000016,439,2024-10-29,2024-10-28,2024-10-28,H,50,2400,Duvetica,KRW,-200000,-200000.0,KRW,,1000.0,24.10월_DUVETICA_영업팀_잡급(제수당),,,,,2000.0,,FV0800,[CLSD]DUVETICA_영업팀,FV0800,,,,,,인건비,인건비,잡급,202410,부서
,2024/10,,53010105,잡급,HR,8100000016,453,2024-10-29,2024-10-28,2024-10-28,H,50,2400,Duvetica,KRW,-2100000,-2100000.0,KRW,,1000.0,24.10월_DUVETICA_영업팀_잡급(급여),,,,,2000.0,,FV0800,[CLSD]DUVETICA_영업팀,FV0800,,,,,,인건비,인건비,잡급,202410,부서
,2024/10,,53010105,잡급,HR,8100000016,454,2024-10-29,2024-10-28,2024-10-28,H,50,2400,Duvetica,KRW,-20991982,-20991982.0,KRW,,1000.0,24.10월_DUVETICA_영업팀_급여,,,,,2000.0,,FV0800,[CLSD]DUVETICA_영업팀,FV0800,,,,,,인건비,인건비,잡급,202410,부서
