반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55170101,광고선전비_매체집행_온라인,K1,3400011272,1,2025-11-03,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,160000,160000.0,KRW,V1,1000.0,[MLB KIDS] 25년 10월 카페바이럴_모자꾸미기 프로모션,,,,,2000.0,,FI0300,MLB KIDS_마케팅팀,202510311025103122,,5428701881,조은샘,주식회사 킨다그로스,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,부서
,2025/10,,55170101,광고선전비_매체집행_온라인,K1,3400011272,2,2025-11-03,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,910000,910000.0,KRW,V1,1000.0,[MLB KIDS] 25년 10월 카페바이럴_네이버 라방,,,,,2000.0,,FI0300,MLB KIDS_마케팅팀,202510311025103122,,5428701881,조은샘,주식회사 킨다그로스,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,부서
,2025/10,,55170101,광고선전비_매체집행_온라인,K1,3400011272,3,2025-11-03,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,925000,925000.0,KRW,V1,1000.0,[MLB KIDS] 25년 10월 카페바이럴_공식몰 프로모션,,,,,2000.0,,FI0300,MLB KIDS_마케팅팀,202510311025103122,,5428701881,조은샘,주식회사 킨다그로스,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,부서
,2025/10,,55170101,광고선전비_매체집행_온라인,K1,3400011496,1,2025-11-04,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,750000,750000.0,KRW,V1,1000.0,[MLB KIDS] 25년 10월 바이럴_점퍼,,,,,2000.0,,FI0300,MLB KIDS_마케팅팀,202510311025110326,,4568801137,조현희,주식회사 피우컴퍼니,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,부서
,2025/10,,55170101,광고선전비_매체집행_온라인,K1,3400011496,2,2025-11-04,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,1500000,1500000.0,KRW,V1,1000.0,[MLB KIDS] 25년 10월 바이럴_다운,,,,,2000.0,,FI0300,MLB KIDS_마케팅팀,202510311025110326,,4568801137,조현희,주식회사 피우컴퍼니,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,부서
,2025/10,,55170101,광고선전비_매체집행_온라인,K1,3400011496,3,2025-11-04,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,1200000,1200000.0,KRW,V1,1000.0,[MLB KIDS] 25년 10월 바이럴_이너,,,,,2000.0,,FI0300,MLB KIDS_마케팅팀,202510311025110326,,4568801137,조현희,주식회사 피우컴퍼니,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,부서
,2025/10,,55170101,광고선전비_매체집행_온라인,K1,3400011496,4,2025-11-04,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,2250000,2250000.0,KRW,V1,1000.0,[MLB KIDS] 25년 10월 바이럴_모자,,,,,2000.0,,FI0300,MLB KIDS_마케팅팀,202510311025110326,,4568801137,조현희,주식회사 피우컴퍼니,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,부서
,2025/10,,55170101,광고선전비_매체집행_온라인,K1,3400011496,5,2025-11-04,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,1500000,1500000.0,KRW,V1,1000.0,[MLB KIDS] 25년 10월 바이럴_신발,,,,,2000.0,,FI0300,MLB KIDS_마케팅팀,202510311025110326,,4568801137,조현희,주식회사 피우컴퍼니,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,부서
,2025/10,,55170101,광고선전비_매체집행_온라인,K1,3400011740,1,2025-11-04,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,143181788,143181788.0,KRW,V1,1000.0,25.10월 퍼포먼스팀 MLB 키즈 광고비용,,,,,2000.0,,FI0000,MLB KIDS_공통,202510314100009608,,1198706634,"이주민, 이동호",(주)매드업,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,부서
,2025/10,,55170101,광고선전비_매체집행_온라인,K1,3400011884,2,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,1250000,1250000.0,KRW,V1,1000.0,[퍼포먼스마케팅팀]10월 MLB 카카오 광고,,,,,2000.0,,FI0000,MLB KIDS_공통,2025103142000172df,,1208147521,정신아,주식회사 카카오,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,부서
,2025/10,,55170101,광고선전비_매체집행_온라인,CO,8000201084,0,2025-11-10,2025-10-31,2025-10-31,H,50,2110,MLB KIDS,KRW,-4975933,-4975933.0,KRW,,,[CC대체]25.10월 MK 공식몰 트래픽 광고비 정산의 건,,,,,2000.0,,FI0000,MLB KIDS_공통,,,,,,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,부서
,2025/10,,55170101,광고선전비_매체집행_온라인,CO,8000201084,0,2025-11-10,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,4975933,4975933.0,KRW,,,[CC대체]25.10월 MK 공식몰 트래픽 광고비 정산의 건,,,,,2000.0,,ZI9000,MK_온라인(자사몰),,,,,,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,매장
,2025/10,,55170101,광고선전비_매체집행_온라인,CO,8000201084,0,2025-11-10,2025-10-31,2025-10-31,H,50,2110,MLB KIDS,KRW,-86979180,-86979180.0,KRW,,,[CC대체]25.10월 MK 공식몰 전환 광고비 정산의 건,,,,,2000.0,,FI0000,MLB KIDS_공통,,,,,,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,부서
,2025/10,,55170101,광고선전비_매체집행_온라인,CO,8000201084,0,2025-11-10,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,86979180,86979180.0,KRW,,,[CC대체]25.10월 MK 공식몰 전환 광고비 정산의 건,,,,,2000.0,,ZI9000,MK_온라인(자사몰),,,,,,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,매장
,2025/10,,55170101,광고선전비_매체집행_온라인,CO,8000201084,0,2025-11-10,2025-10-31,2025-10-31,H,50,2110,MLB KIDS,KRW,-51226675,-51226675.0,KRW,,,[CC대체]25.10월 MK 네이버 브랜드스토어 전환 광고비 정산의 건,,,,,2000.0,,FI0000,MLB KIDS_공통,,,,,,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,부서
,2025/10,,55170101,광고선전비_매체집행_온라인,CO,8000201084,0,2025-11-10,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,51226675,51226675.0,KRW,,,[CC대체]25.10월 MK 네이버 브랜드스토어 전환 광고비 정산의 건,,,,,2000.0,,ZI9030,MK_네이버(제휴몰),,,,,,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,매장
,2025/10,,55170101,광고선전비_매체집행_온라인,CO,8000201084,0,2025-11-10,2025-10-31,2025-10-31,H,50,2110,MLB KIDS,KRW,-1250000,-1250000.0,KRW,,,[CC대체]25.10월 MK 카카오선물하기 충전 광고비 정산의 건,,,,,2000.0,,FI0000,MLB KIDS_공통,,,,,,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,부서
,2025/10,,55170101,광고선전비_매체집행_온라인,CO,8000201084,0,2025-11-10,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,1250000,1250000.0,KRW,,,[CC대체]25.10월 MK 카카오선물하기 충전 광고비 정산의 건,,,,,2000.0,,ZI9093,MK_카카오쇼핑하기(제휴몰),,,,,,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,매장
