반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,53010101,급료와임금,CO,8000201079,0,2025-11-10,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,10406667,10406667.0,KRW,,,[CC대체]25.10월 슈즈팀 임원급여 안분(MLB슈즈->MK슈즈),,,,,1000.0,,FI2000,MLB KIDS_슈즈팀,,,,,,,인건비,인건비,급료와 임금,202510,부서
,2025/10,,53010101,급료와임금,HR,8100000011,142,2025-10-27,2025-10-28,2025-10-28,S,40,2110,MLB KIDS,KRW,16932318,16932318.0,KRW,,1000.0,25.10월_MLB KIDS_마케팅팀_급여,,,,,2000.0,,FI0300,MLB KIDS_마케팅팀,FI0300,,,,,,인건비,인건비,급료와 임금,202510,부서
,2025/10,,53010101,급료와임금,HR,8100000011,160,2025-10-27,2025-10-28,2025-10-28,S,40,2110,MLB KIDS,KRW,23694531,23694531.0,KRW,,1000.0,25.10월_MLB KIDS_영업팀_급여,,,,,2000.0,,FI0800,MLB KIDS_영업팀,FI0800,,,,,,인건비,인건비,급료와 임금,202510,부서
,2025/10,,53010101,급료와임금,HR,8100000011,161,2025-10-27,2025-10-28,2025-10-28,S,40,2110,MLB KIDS,KRW,16769321,16769321.0,KRW,,1000.0,25.10월_MLB KIDS_카테고리운영팀_급여,,,,,2000.0,,FI1000,MLB KIDS_카테고리운영팀,FI1000,,,,,,인건비,인건비,급료와 임금,202510,부서
,2025/10,,53010101,급료와임금,HR,8100000011,184,2025-10-27,2025-10-28,2025-10-28,S,40,2110,MLB KIDS,KRW,7501061,7501061.0,KRW,,1000.0,25.10월_MLB KIDS_VMD팀_급여,,,,,2000.0,,FI0400,MLB KIDS_VMD팀,FI0400,,,,,,인건비,인건비,급료와 임금,202510,부서
,2025/10,,53010101,급료와임금,HR,8100000011,194,2025-10-27,2025-10-28,2025-10-28,S,40,2110,MLB KIDS,KRW,6218741,6218741.0,KRW,,1000.0,25.10월_MLBKIDS 디자인연구실_그래픽디자인팀_급여,,,,,1000.0,,FI0600,MLB KIDS_디자인팀,FI0600,,,,,,인건비,인건비,급료와 임금,202510,부서
,2025/10,,53010101,급료와임금,HR,8100000011,195,2025-10-27,2025-10-28,2025-10-28,S,40,2110,MLB KIDS,KRW,12569086,12569086.0,KRW,,1000.0,25.10월_MLBKIDS 디자인연구실_소재디자인팀_급여,,,,,1000.0,,FI0600,MLB KIDS_디자인팀,FI0600,,,,,,인건비,인건비,급료와 임금,202510,부서
,2025/10,,53010101,급료와임금,HR,8100000011,196,2025-10-27,2025-10-28,2025-10-28,S,40,2110,MLB KIDS,KRW,7052360,7052360.0,KRW,,1000.0,25.10월_MLB KIDS_사업담당_급여,,,,,1000.0,,FI0500,MLB KIDS_기획팀,FI0500,,,,,,인건비,인건비,급료와 임금,202510,부서
,2025/10,,53010101,급료와임금,HR,8100000011,213,2025-10-27,2025-10-28,2025-10-28,S,40,2110,MLB KIDS,KRW,5048889,5048889.0,KRW,,1000.0,25.10월_MLB KIDS_슈즈팀_급여,,,,,1000.0,,FI2000,MLB KIDS_슈즈팀,FI2000,,,,,,인건비,인건비,급료와 임금,202510,부서
,2025/10,,53010101,급료와임금,HR,8100000011,224,2025-10-27,2025-10-28,2025-10-28,S,40,2110,MLB KIDS,KRW,18189002,18189002.0,KRW,,1000.0,25.10월_MLBKIDS 디자인연구실_용품디자인팀_급여,,,,,1000.0,,FI0600,MLB KIDS_디자인팀,FI0600,,,,,,인건비,인건비,급료와 임금,202510,부서
,2025/10,,53010101,급료와임금,HR,8100000011,236,2025-10-27,2025-10-28,2025-10-28,S,40,2110,MLB KIDS,KRW,51325404,51325404.0,KRW,,1000.0,25.10월_MLB KIDS_소싱팀_급여,,,,,1000.0,,FI0700,MLB KIDS_소싱팀,FI0700,,,,,,인건비,인건비,급료와 임금,202510,부서
,2025/10,,53010101,급료와임금,HR,8100000011,237,2025-10-27,2025-10-28,2025-10-28,S,40,2110,MLB KIDS,KRW,22498646,22498646.0,KRW,,1000.0,25.10월_MLB KIDS_기획팀_급여,,,,,1000.0,,FI0500,MLB KIDS_기획팀,FI0500,,,,,,인건비,인건비,급료와 임금,202510,부서
,2025/10,,53010101,급료와임금,HR,8100000011,240,2025-10-27,2025-10-28,2025-10-28,S,40,2110,MLB KIDS,KRW,39952170,39952170.0,KRW,,1000.0,25.10월_MLBKIDS 디자인연구실_의류디자인팀_급여,,,,,1000.0,,FI0600,MLB KIDS_디자인팀,FI0600,,,,,,인건비,인건비,급료와 임금,202510,부서
,2025/10,,53010101,급료와임금,HR,8100000011,243,2025-10-27,2025-10-28,2025-10-28,S,40,2110,MLB KIDS,KRW,5857788,5857788.0,KRW,,1000.0,25.10월_MLBKIDS 디자인연구실_슈즈팀_급여,,,,,1000.0,,FI2000,MLB KIDS_슈즈팀,FI2000,,,,,,인건비,인건비,급료와 임금,202510,부서
