반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,43110101,매출원가_기타_저장품,WA,6104749246,58,2025-10-02,2025-10-01,2025-10-01,S,81,2110,MLB KIDS,KRW,32400,32400.0,KRW,,,,105260.0,,주식회사 윤스,1048646113.0,,,,,20251001,IXIS028,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202510,기타
,2025/10,,43110101,매출원가_기타_저장품,WA,6104749246,60,2025-10-02,2025-10-01,2025-10-01,S,81,2110,MLB KIDS,KRW,39982,39982.0,KRW,,,,105260.0,,주식회사 윤스,1048646113.0,,,,,20251001,IXIS029,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202510,기타
,2025/10,,43110101,매출원가_기타_저장품,WA,6104749246,62,2025-10-02,2025-10-01,2025-10-01,S,81,2110,MLB KIDS,KRW,95000,95000.0,KRW,,,,105260.0,,주식회사 윤스,1048646113.0,,,,,20251001,IXIS030,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202510,기타
,2025/10,,43110101,매출원가_기타_저장품,WA,6104749246,64,2025-10-02,2025-10-01,2025-10-01,S,81,2110,MLB KIDS,KRW,111000,111000.0,KRW,,,,105260.0,,주식회사 윤스,1048646113.0,,,,,20251001,IXIS031,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202510,기타
,2025/10,,43110101,매출원가_기타_저장품,WA,6104749246,66,2025-10-02,2025-10-01,2025-10-01,S,81,2110,MLB KIDS,KRW,7800,7800.0,KRW,,,,105260.0,,주식회사 윤스,1048646113.0,,,,,20251001,IXID047,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202510,기타
,2025/10,,43110101,매출원가_기타_저장품,WA,6104749302,2,2025-10-02,2025-10-01,2025-10-01,S,81,2110,MLB KIDS,KRW,3900,3900.0,KRW,,,,105513.0,,한티진앤 주식회사,1198618583.0,,,,,20251001,IXID047,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202510,기타
,2025/10,,43110101,매출원가_기타_저장품,WA,6104749302,4,2025-10-02,2025-10-01,2025-10-01,S,81,2110,MLB KIDS,KRW,32400,32400.0,KRW,,,,105513.0,,한티진앤 주식회사,1198618583.0,,,,,20251001,IXIS028,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202510,기타
,2025/10,,43110101,매출원가_기타_저장품,WA,6104749302,6,2025-10-02,2025-10-01,2025-10-01,S,81,2110,MLB KIDS,KRW,237500,237500.0,KRW,,,,105513.0,,한티진앤 주식회사,1198618583.0,,,,,20251001,IXIS030,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202510,기타
,2025/10,,43110101,매출원가_기타_저장품,WA,6104749305,2,2025-10-02,2025-10-01,2025-10-01,S,81,2110,MLB KIDS,KRW,24607,24607.0,KRW,,,,104914.0,,엠엘비 나주점,3885600848.0,,,,,20251001,IXIC031,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202510,기타
,2025/10,,43110101,매출원가_기타_저장품,WA,6104749306,2,2025-10-02,2025-10-01,2025-10-01,S,81,2110,MLB KIDS,KRW,11700,11700.0,KRW,,,,100613.0,,원찬유통,6020618986.0,,,,,20251001,IXID047,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202510,기타
