반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,55110113,소모품비_마네킨사용외,WA,6105767534,2,2024-10-03,2024-10-02,2024-10-02,S,81,2110,MLB KIDS,KRW,49000,49000.0,KRW,,,,100819.0,,롯데역사(주)대구점,5048518111.0,2000.0,,ZI0980,MK_롯데대구(백),ZI0980,IXIC030,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202410,매장
,2024/10,,55110113,소모품비_마네킨사용외,WA,6105893615,8,2024-10-08,2024-10-07,2024-10-07,S,81,2110,MLB KIDS,KRW,2340,2340.0,KRW,,,,100760.0,,(주)신세계백화점 센텀시티점,2018132195.0,2000.0,,ZI0650,MK_신세계센텀(백),ZI0650,IXID047,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202410,매장
,2024/10,,55110113,소모품비_마네킨사용외,WA,6105893630,2,2024-10-08,2024-10-07,2024-10-07,S,81,2110,MLB KIDS,KRW,7800,7800.0,KRW,,,,100777.0,,롯데쇼핑(주)동래점,6078519670.0,2000.0,,ZI0810,MK_롯데동래(백),ZI0810,IXID047,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202410,매장
,2024/10,,55110113,소모품비_마네킨사용외,WA,6105893633,2,2024-10-08,2024-10-07,2024-10-07,S,81,2110,MLB KIDS,KRW,3900,3900.0,KRW,,,,100804.0,,롯데쇼핑(주)상인점,5148514387.0,2000.0,,ZI0940,MK_롯데상인(백),ZI0940,IXID047,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202410,매장
,2024/10,,55110113,소모품비_마네킨사용외,WA,6105893634,2,2024-10-08,2024-10-07,2024-10-07,S,81,2110,MLB KIDS,KRW,4680,4680.0,KRW,,,,100757.0,,롯데쇼핑(주)평촌점,1388524115.0,2000.0,,ZI0620,MK_롯데평촌(백),ZI0620,IXID047,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202410,매장
,2024/10,,55110113,소모품비_마네킨사용외,WA,6105893637,2,2024-10-08,2024-10-07,2024-10-07,S,81,2110,MLB KIDS,KRW,7800,7800.0,KRW,,,,100782.0,,롯데쇼핑(주)부산점,6058509915.0,2000.0,,ZI0850,MK_롯데부산(백),ZI0850,IXID047,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202410,매장
,2024/10,,55110113,소모품비_마네킨사용외,WA,6105893641,2,2024-10-08,2024-10-07,2024-10-07,S,81,2110,MLB KIDS,KRW,49000,49000.0,KRW,,,,100807.0,,(주)신세계백화점 강남점,2018132195.0,2000.0,,ZI0960,MK_신세계강남(백),ZI0960,IXIC030,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202410,매장
,2024/10,,55110113,소모품비_마네킨사용외,WA,6105893642,4,2024-10-08,2024-10-07,2024-10-07,S,81,2110,MLB KIDS,KRW,3900,3900.0,KRW,,,,103191.0,,에이케이에스앤디(주)AK평택,3788501457.0,2000.0,,ZI0180,MK_AK평택(백),ZI0180,IXID047,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202410,매장
,2024/10,,55110113,소모품비_마네킨사용외,WA,6105893643,2,2024-10-08,2024-10-07,2024-10-07,S,81,2110,MLB KIDS,KRW,15600,15600.0,KRW,,,,100962.0,,주식회사 현대디에프,8508800325.0,2000.0,,ZI5100,MK_현대동대문(면),ZI5100,IXID047,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202410,매장
,2024/10,,55110113,소모품비_마네킨사용외,WA,6105974583,2,2024-10-12,2024-10-11,2024-10-11,S,81,2110,MLB KIDS,KRW,3900,3900.0,KRW,,,,100960.0,,한무쇼핑(주)킨텍스점,1288552730.0,2000.0,,ZI1200,MK_현대킨텍스(백),ZI1200,IXID047,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202410,매장
,2024/10,,55110113,소모품비_마네킨사용외,WA,6105974586,2,2024-10-12,2024-10-11,2024-10-11,S,81,2110,MLB KIDS,KRW,7800,7800.0,KRW,,,,100782.0,,롯데쇼핑(주)부산점,6058509915.0,2000.0,,ZI0850,MK_롯데부산(백),ZI0850,IXID047,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202410,매장
,2024/10,,55110113,소모품비_마네킨사용외,WA,6105974589,4,2024-10-12,2024-10-11,2024-10-11,S,81,2110,MLB KIDS,KRW,2340,2340.0,KRW,,,,105539.0,,에이케이플라자(주)AK플라자수원점,5848502240.0,2000.0,,ZI0260,MK_AK수원(백),ZI0260,IXID047,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202410,매장
,2024/10,,55110113,소모품비_마네킨사용외,WA,6105974592,2,2024-10-12,2024-10-11,2024-10-11,S,81,2110,MLB KIDS,KRW,7800,7800.0,KRW,,,,100734.0,,(주)아라리오,3128104553.0,2000.0,,ZI0400,MK_신세계천안아산(백),ZI0400,IXID047,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202410,매장
,2024/10,,55110113,소모품비_마네킨사용외,WA,6105974594,4,2024-10-12,2024-10-11,2024-10-11,S,81,2110,MLB KIDS,KRW,1560,1560.0,KRW,,,,104356.0,,롯데쇼핑(주)인천점,3838501861.0,2000.0,,ZI1100,MK_롯데인천터미널(백),ZI1100,IXID047,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202410,매장
,2024/10,,55110113,소모품비_마네킨사용외,WA,6105974595,2,2024-10-12,2024-10-11,2024-10-11,S,81,2110,MLB KIDS,KRW,2340,2340.0,KRW,,,,104037.0,,롯데쇼핑(주)동탄점,3508501712.0,2000.0,,ZI1250,MK_롯데동탄(백),ZI1250,IXID047,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202410,매장
,2024/10,,55110113,소모품비_마네킨사용외,WA,6105974596,6,2024-10-12,2024-10-11,2024-10-11,S,81,2110,MLB KIDS,KRW,2340,2340.0,KRW,,,,100959.0,,(주)에프앤에프 스타필드 하남점(MLB KIDS),8108501761.0,2000.0,,ZI8040,MK_스타필드하남(직),ZI8040,IXID047,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202410,매장
