반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,55110107,소모품비_사은품사용,WA,6105767627,2,2024-10-03,2024-10-02,2024-10-02,S,81,2110,MLB KIDS,KRW,132000,132000.0,KRW,,,,103631.0,,주식회사 카카오커머스,8918800985.0,2000.0,,ZI9050,MK_카카오톡(제휴몰),ZI9050,IXIP079,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202410,매장
,2024/10,,55110107,소모품비_사은품사용,WA,6105767631,2,2024-10-03,2024-10-02,2024-10-02,H,91,2110,MLB KIDS,KRW,-132000,-132000.0,KRW,,,,104335.0,,EC-온라인물류,0.0,2000.0,,FI0000,MLB KIDS_공통,FI0000,IXIP079,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202410,부서
,2024/10,,55110107,소모품비_사은품사용,WA,6105767631,4,2024-10-03,2024-10-02,2024-10-02,H,91,2110,MLB KIDS,KRW,-16500,-16500.0,KRW,,,,104335.0,,EC-온라인물류,0.0,2000.0,,FI0000,MLB KIDS_공통,FI0000,IXIP003,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202410,부서
,2024/10,,55110107,소모품비_사은품사용,WA,6105767631,6,2024-10-03,2024-10-02,2024-10-02,H,91,2110,MLB KIDS,KRW,-26950,-26950.0,KRW,,,,104335.0,,EC-온라인물류,0.0,2000.0,,FI0000,MLB KIDS_공통,FI0000,IXIP081,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202410,부서
,2024/10,,55110107,소모품비_사은품사용,WA,6105767634,2,2024-10-03,2024-10-02,2024-10-02,S,81,2110,MLB KIDS,KRW,16500,16500.0,KRW,,,,104419.0,,"주식회사 무신사 (MUSINSA Co. , Ltd.)",2118879575.0,2000.0,,ZI9040,MK_무신사(제휴몰),ZI9040,IXIP003,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202410,매장
,2024/10,,55110107,소모품비_사은품사용,WA,6105767641,2,2024-10-03,2024-10-02,2024-10-02,S,81,2110,MLB KIDS,KRW,26950,26950.0,KRW,,,,101376.0,,(주)에프앤에프,1538102451.0,2000.0,,ZI9000,MK_온라인(자사몰),ZI9000,IXIP081,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202410,매장
,2024/10,,55110107,소모품비_사은품사용,WA,6105812526,2,2024-10-05,2024-10-04,2024-10-04,S,81,2110,MLB KIDS,KRW,92400,92400.0,KRW,,,,103631.0,,주식회사 카카오커머스,8918800985.0,2000.0,,ZI9050,MK_카카오톡(제휴몰),ZI9050,IXIP079,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202410,매장
,2024/10,,55110107,소모품비_사은품사용,WA,6105812527,2,2024-10-05,2024-10-04,2024-10-04,H,91,2110,MLB KIDS,KRW,-92400,-92400.0,KRW,,,,104335.0,,EC-온라인물류,0.0,2000.0,,FI0000,MLB KIDS_공통,FI0000,IXIP079,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202410,부서
,2024/10,,55110107,소모품비_사은품사용,WA,6105812527,4,2024-10-05,2024-10-04,2024-10-04,H,91,2110,MLB KIDS,KRW,-16500,-16500.0,KRW,,,,104335.0,,EC-온라인물류,0.0,2000.0,,FI0000,MLB KIDS_공통,FI0000,IXIP003,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202410,부서
,2024/10,,55110107,소모품비_사은품사용,WA,6105812527,6,2024-10-05,2024-10-04,2024-10-04,H,91,2110,MLB KIDS,KRW,-42350,-42350.0,KRW,,,,104335.0,,EC-온라인물류,0.0,2000.0,,FI0000,MLB KIDS_공통,FI0000,IXIP081,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202410,부서
,2024/10,,55110107,소모품비_사은품사용,WA,6105812533,2,2024-10-05,2024-10-04,2024-10-04,S,81,2110,MLB KIDS,KRW,16500,16500.0,KRW,,,,104419.0,,"주식회사 무신사 (MUSINSA Co. , Ltd.)",2118879575.0,2000.0,,ZI9040,MK_무신사(제휴몰),ZI9040,IXIP003,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202410,매장
,2024/10,,55110107,소모품비_사은품사용,WA,6105812536,2,2024-10-05,2024-10-04,2024-10-04,S,81,2110,MLB KIDS,KRW,42350,42350.0,KRW,,,,101376.0,,(주)에프앤에프,1538102451.0,2000.0,,ZI9000,MK_온라인(자사몰),ZI9000,IXIP081,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202410,매장
,2024/10,,55110107,소모품비_사은품사용,WA,6105893611,2,2024-10-08,2024-10-07,2024-10-07,S,81,2110,MLB KIDS,KRW,72500,72500.0,KRW,,,,100842.0,,롯데쇼핑(주)전주점,4028519717.0,2000.0,,ZI1010,MK_롯데전주(백),ZI1010,IXIP069,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202410,매장
,2024/10,,55110107,소모품비_사은품사용,WA,6105893611,4,2024-10-08,2024-10-07,2024-10-07,S,81,2110,MLB KIDS,KRW,518000,518000.0,KRW,,,,100842.0,,롯데쇼핑(주)전주점,4028519717.0,2000.0,,ZI1010,MK_롯데전주(백),ZI1010,IXIP078,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202410,매장
,2024/10,,55110107,소모품비_사은품사용,WA,6105893612,2,2024-10-08,2024-10-07,2024-10-07,S,81,2110,MLB KIDS,KRW,518000,518000.0,KRW,,,,100748.0,,(주)현대백화점울산점,6108542406.0,2000.0,,ZI0530,MK_현대울산(백),ZI0530,IXIP078,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202410,매장
,2024/10,,55110107,소모품비_사은품사용,WA,6105893612,4,2024-10-08,2024-10-07,2024-10-07,S,81,2110,MLB KIDS,KRW,72500,72500.0,KRW,,,,100748.0,,(주)현대백화점울산점,6108542406.0,2000.0,,ZI0530,MK_현대울산(백),ZI0530,IXIP069,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202410,매장
,2024/10,,55110107,소모품비_사은품사용,WA,6105893612,6,2024-10-08,2024-10-07,2024-10-07,S,81,2110,MLB KIDS,KRW,231000,231000.0,KRW,,,,100748.0,,(주)현대백화점울산점,6108542406.0,2000.0,,ZI0530,MK_현대울산(백),ZI0530,IXIP081,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202410,매장
,2024/10,,55110107,소모품비_사은품사용,WA,6105893613,2,2024-10-08,2024-10-07,2024-10-07,S,81,2110,MLB KIDS,KRW,518000,518000.0,KRW,,,,100860.0,,주)현대백화점 대구점,5048534746.0,2000.0,,ZI1080,MK_현대대구(백),ZI1080,IXIP078,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202410,매장
,2024/10,,55110107,소모품비_사은품사용,WA,6105893613,4,2024-10-08,2024-10-07,2024-10-07,S,81,2110,MLB KIDS,KRW,72500,72500.0,KRW,,,,100860.0,,주)현대백화점 대구점,5048534746.0,2000.0,,ZI1080,MK_현대대구(백),ZI1080,IXIP069,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202410,매장
,2024/10,,55110107,소모품비_사은품사용,WA,6105893614,2,2024-10-08,2024-10-07,2024-10-07,S,81,2110,MLB KIDS,KRW,145000,145000.0,KRW,,,,100742.0,,한무쇼핑(주)충청점,3018540450.0,2000.0,,ZI0470,MK_현대충청(백),ZI0470,IXIP069,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202410,매장
,2024/10,,55110107,소모품비_사은품사용,WA,6105893614,4,2024-10-08,2024-10-07,2024-10-07,S,81,2110,MLB KIDS,KRW,148000,148000.0,KRW,,,,100742.0,,한무쇼핑(주)충청점,3018540450.0,2000.0,,ZI0470,MK_현대충청(백),ZI0470,IXIP078,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202410,매장
