반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55210173,지급수수료_기타,Z7,2000134830,2,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,55486,55486.0,KRW,V1,1000.0,25.10월 O2O 수수료 인식,,,,,2000.0,,FI0000,MLB KIDS_공통,FI0000,,,,,,지급수수료,지급수수료,지급수수료_기타,202510,부서
,2025/10,,55210173,지급수수료_기타,Z7,2000134831,2,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,19414,19414.0,KRW,V1,1000.0,25.10월 O2O 수수료 인식,,,,,2000.0,,FI0000,MLB KIDS_공통,FI0000,,,,,,지급수수료,지급수수료,지급수수료_기타,202510,부서
,2025/10,,55210173,지급수수료_기타,Z7,2000134832,2,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,29524,29524.0,KRW,V1,1000.0,25.10월 O2O 수수료 인식,,,,,2000.0,,FI0000,MLB KIDS_공통,FI0000,,,,,,지급수수료,지급수수료,지급수수료_기타,202510,부서
,2025/10,,55210173,지급수수료_기타,Z7,2000134833,2,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,5318,5318.0,KRW,V1,1000.0,25.10월 O2O 수수료 인식,,,,,2000.0,,FI0000,MLB KIDS_공통,FI0000,,,,,,지급수수료,지급수수료,지급수수료_기타,202510,부서
,2025/10,,55210173,지급수수료_기타,Z7,2000134834,2,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,18485,18485.0,KRW,V1,1000.0,25.10월 O2O 수수료 인식,,,,,2000.0,,FI0000,MLB KIDS_공통,FI0000,,,,,,지급수수료,지급수수료,지급수수료_기타,202510,부서
,2025/10,,55210173,지급수수료_기타,K1,3400011492,3,2025-11-04,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,122727,122727.0,KRW,V1,1000.0,25.10월 MK 심의비,,,,,2000.0,,FI0000,MLB KIDS_공통,202510311025110325,,1048201175,김천주,(사)한국여성소비자연합,,지급수수료,지급수수료,지급수수료_기타,202510,부서
,2025/10,,55210173,지급수수료_기타,K1,3400011699,1,2025-11-04,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,4806700,4806700.0,KRW,V1,1000.0,완제품검사비_카트리,,,,,1000.0,,FI0700,MLB KIDS_소싱팀,202510314100009608,,1238214064,신동준,(재)KATRI시험연구원 안양,,지급수수료,지급수수료,지급수수료_기타,202510,부서
,2025/10,,55210173,지급수수료_기타,K1,3400011840,1,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,4981410,4981410.0,KRW,V1,1000.0,25.10월 MK 용품 완제품 검사비,,,,,1000.0,,FI0700,MLB KIDS_소싱팀,202510314100009608,,1238214064,신동준,(재)KATRI시험연구원 안양,,지급수수료,지급수수료,지급수수료_기타,202510,부서
,2025/10,,55210173,지급수수료_기타,K1,3400011930,1,2025-11-05,2025-10-23,2025-10-23,S,40,2110,MLB KIDS,KRW,1095020,1095020.0,KRW,V1,1000.0,25.10월 MK 소싱팀 완제품 검사비,,,,,1000.0,,FI0700,MLB KIDS_소싱팀,202510234100009607,,1238214064,신동준,(재)KATRI시험연구원 안양,,지급수수료,지급수수료,지급수수료_기타,202510,부서
,2025/10,,55210173,지급수수료_기타,K1,3400011931,1,2025-11-05,2025-10-27,2025-10-27,S,40,2110,MLB KIDS,KRW,2380360,2380360.0,KRW,V1,1000.0,25.10월 MK 소싱팀 완제품 검사비,,,,,1000.0,,FI0700,MLB KIDS_소싱팀,2025102741000012tq,,2048200670,윤주경,(재)FITI시험연구원,,지급수수료,지급수수료,지급수수료_기타,202510,부서
,2025/10,,55210173,지급수수료_기타,K1,3400011932,1,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,3852200,3852200.0,KRW,V1,1000.0,25.10월 MK 소싱팀 완제품 검사비,,,,,1000.0,,FI0700,MLB KIDS_소싱팀,202510314200024000,,2208200707,김준,KOTITI 시험연구원,,지급수수료,지급수수료,지급수수료_기타,202510,부서
