반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55210127,지급수수료_매장보수대,K1,3400011369,1,2025-11-03,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,2260000,2260000.0,KRW,V1,1000.0,MK 10월_오픈폐점_롯데노원_인테리어파크,,,,,2000.0,,ZI1000,MK_롯데노원(백),202510311025103123,,5508802985,양선호,주식회사 인테리어파크,,VMD/ 매장보수대,VMD/ 매장보수대,지급수수료_매장보수대,202510,매장
,2025/10,,55210127,지급수수료_매장보수대,K1,3400011424,1,2025-11-04,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,535000,535000.0,KRW,V1,1000.0,MK_10월 개보수 전표_태양건설,,,,,2000.0,,ZI8040,MK_스타필드하남(직),202510311025110325,,4318801540,정경호,(주)태양건설,,VMD/ 매장보수대,VMD/ 매장보수대,지급수수료_매장보수대,202510,매장
,2025/10,,55210127,지급수수료_매장보수대,K1,3400011424,2,2025-11-04,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,225000,225000.0,KRW,V1,1000.0,MK_10월 개보수 전표_태양건설,,,,,2000.0,,ZI0550,MK_현대중동(백),202510311025110325,,4318801540,정경호,(주)태양건설,,VMD/ 매장보수대,VMD/ 매장보수대,지급수수료_매장보수대,202510,매장
,2025/10,,55210127,지급수수료_매장보수대,K1,3400011424,3,2025-11-04,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,300000,300000.0,KRW,V1,1000.0,MK_10월 개보수 전표_태양건설,,,,,2000.0,,ZI8020,MK_롯데월드(직),202510311025110325,,4318801540,정경호,(주)태양건설,,VMD/ 매장보수대,VMD/ 매장보수대,지급수수료_매장보수대,202510,매장
,2025/10,,55210127,지급수수료_매장보수대,K1,3400011424,4,2025-11-04,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,160000,160000.0,KRW,V1,1000.0,MK_10월 개보수 전표_태양건설,,,,,2000.0,,ZI8070,MK_스타필드수원(직),202510311025110325,,4318801540,정경호,(주)태양건설,,VMD/ 매장보수대,VMD/ 매장보수대,지급수수료_매장보수대,202510,매장
,2025/10,,55210127,지급수수료_매장보수대,K1,3400011424,5,2025-11-04,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,260000,260000.0,KRW,V1,1000.0,MK_10월 개보수 전표_태양건설,,,,,2000.0,,ZI0230,MK_신세계마산(백),202510311025110325,,4318801540,정경호,(주)태양건설,,VMD/ 매장보수대,VMD/ 매장보수대,지급수수료_매장보수대,202510,매장
,2025/10,,55210127,지급수수료_매장보수대,K1,3400011424,6,2025-11-04,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,205000,205000.0,KRW,V1,1000.0,MK_10월 개보수 전표_태양건설,,,,,2000.0,,ZI0750,MK_롯데중동(백),202510311025110325,,4318801540,정경호,(주)태양건설,,VMD/ 매장보수대,VMD/ 매장보수대,지급수수료_매장보수대,202510,매장
,2025/10,,55210127,지급수수료_매장보수대,K1,3400011424,7,2025-11-04,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,385000,385000.0,KRW,V1,1000.0,MK_10월 개보수 전표_태양건설,,,,,2000.0,,ZI1190,MK_갤러리아광교(백),202510311025110325,,4318801540,정경호,(주)태양건설,,VMD/ 매장보수대,VMD/ 매장보수대,지급수수료_매장보수대,202510,매장
,2025/10,,55210127,지급수수료_매장보수대,K1,3400011424,8,2025-11-04,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,610000,610000.0,KRW,V1,1000.0,MK_10월 개보수 전표_태양건설,,,,,2000.0,,ZI0660,MK_롯데창원(백),202510311025110325,,4318801540,정경호,(주)태양건설,,VMD/ 매장보수대,VMD/ 매장보수대,지급수수료_매장보수대,202510,매장
,2025/10,,55210127,지급수수료_매장보수대,K1,3400011456,1,2025-11-04,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,1990000,1990000.0,KRW,V1,1000.0,MK_10월 개보수 전표_디지쿼터스,,,,,2000.0,,ZI1250,MK_롯데동탄(백),20251031410000619s,,1298613718,오승혁,주식회사 디지쿼터스,,VMD/ 매장보수대,VMD/ 매장보수대,지급수수료_매장보수대,202510,매장
,2025/10,,55210127,지급수수료_매장보수대,K1,3400011457,1,2025-11-04,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,150000,150000.0,KRW,V1,1000.0,MK_10월 개보수 전표_설이기획,,,,,2000.0,,ZI1100,MK_롯데인천터미널(백),202510311025110325,,1288135335,박재홍,주식회사 설이기획,,VMD/ 매장보수대,VMD/ 매장보수대,지급수수료_매장보수대,202510,매장
,2025/10,,55210127,지급수수료_매장보수대,K1,3400011458,1,2025-11-04,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,254000,254000.0,KRW,V1,1000.0,MK_10월 개보수 전표_디엠라이팅,,,,,2000.0,,ZI1100,MK_롯데인천터미널(백),202510314100009608,,1018661186,허순영,(주)디엠라이팅,,VMD/ 매장보수대,VMD/ 매장보수대,지급수수료_매장보수대,202510,매장
,2025/10,,55210127,지급수수료_매장보수대,K1,3400011459,1,2025-11-04,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,444000,444000.0,KRW,V1,1000.0,MK_10월 개보수 전표_토브아이앤디,,,,,2000.0,,FI0000,MLB KIDS_공통,202510311025110325,,3038180654,이상아,주식회사 토브아이앤디,,VMD/ 매장보수대,VMD/ 매장보수대,지급수수료_매장보수대,202510,부서
,2025/10,,55210127,지급수수료_매장보수대,K1,3400011460,1,2025-11-04,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,800000,800000.0,KRW,V1,1000.0,MK_10월 개보수 전표_토브아이앤디,,,,,2000.0,,FI0000,MLB KIDS_공통,202510311025110325,,3038180654,이상아,주식회사 토브아이앤디,,VMD/ 매장보수대,VMD/ 매장보수대,지급수수료_매장보수대,202510,부서
