반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55170101,광고선전비_매체집행_온라인,K1,3400011199,1,2025-10-29,2025-10-20,2025-10-20,S,40,2100,MLB,KRW,33000000,33000000.0,KRW,V1,1000.0,25FW 데페뉴 통합 패키지(3회차) 정산 건,,,,,2000.0,,FM0300,MLB_마케팅팀,202510201025102013,,2168802519,이혜영,주식회사 데패뉴,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,부서
,2025/10,,55170101,광고선전비_매체집행_온라인,K1,3400011728,1,2025-11-04,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,368811261,368811261.0,KRW,V1,1000.0,[퍼포먼스마케팅팀] 10월 MLB 광고비 정산,,,,,2000.0,,FM0000,MLB_공통,202510314100009608,,1198706634,"이주민, 이동호",(주)매드업,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,부서
,2025/10,,55170101,광고선전비_매체집행_온라인,K1,3400011884,1,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,2500000,2500000.0,KRW,V1,1000.0,[퍼포먼스마케팅팀]10월 MLB 카카오 광고,,,,,2000.0,,FM0000,MLB_공통,2025103142000172df,,1208147521,정신아,주식회사 카카오,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,부서
,2025/10,,55170101,광고선전비_매체집행_온라인,K1,3400012124,1,2025-11-06,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,4543900,4543900.0,KRW,V1,1000.0,10월 MLB 광고 비용 정산_무신사,,,,,2000.0,,FM0000,MLB_공통,202510314100009609,,1198706634,"이주민, 이동호",(주)매드업,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,부서
,2025/10,,55170101,광고선전비_매체집행_온라인,K1,3400012154,1,2025-11-07,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,117500000,117500000.0,KRW,V1,1000.0,[MLB] 25년10월 바이럴광고비_피우컴퍼니,,,,,2000.0,,FM0300,MLB_마케팅팀,202510311025110428,,4568801137,조현희,주식회사 피우컴퍼니,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,부서
,2025/10,,55170101,광고선전비_매체집행_온라인,CO,8000201084,0,2025-11-10,2025-10-31,2025-10-31,H,50,2100,MLB,KRW,-10807465,-10807465.0,KRW,,,[CC대체]25.10월 MLB 공식몰 트래픽 광고비 정산의 건,,,,,2000.0,,FM0000,MLB_공통,,,,,,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,부서
,2025/10,,55170101,광고선전비_매체집행_온라인,CO,8000201084,0,2025-11-10,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,10807465,10807465.0,KRW,,,[CC대체]25.10월 MLB 공식몰 트래픽 광고비 정산의 건,,,,,2000.0,,ZM9000,M_온라인(자사몰),,,,,,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,매장
,2025/10,,55170101,광고선전비_매체집행_온라인,CO,8000201084,0,2025-11-10,2025-10-31,2025-10-31,H,50,2100,MLB,KRW,-15047343,-15047343.0,KRW,,,[CC대체]25.10월 MLB 무신사 트래픽 광고비 정산의 건,,,,,2000.0,,FM0000,MLB_공통,,,,,,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,부서
,2025/10,,55170101,광고선전비_매체집행_온라인,CO,8000201084,0,2025-11-10,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,15047343,15047343.0,KRW,,,[CC대체]25.10월 MLB 무신사 트래픽 광고비 정산의 건,,,,,2000.0,,ZM9020,M_무신사(제휴몰),,,,,,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,매장
,2025/10,,55170101,광고선전비_매체집행_온라인,CO,8000201084,0,2025-11-10,2025-10-31,2025-10-31,H,50,2100,MLB,KRW,-220485953,-220485953.0,KRW,,,[CC대체]25.10월 MLB 공식몰 전환 광고비 정산의 건,,,,,2000.0,,FM0000,MLB_공통,,,,,,,광고선전비,광고선전비,광고선전비_매체집행_온라인,202510,부서
