반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,53010101,급료와임금,CO,8000194756,0,2024-11-08,2024-10-31,2024-10-31,H,50,2100,MLB,KRW,-9990000,-9990000.0,KRW,,,[CC대체]24.10월 슈즈팀 임원급여 안분(MLB슈즈->MK슈즈),,,,,1000.0,,FM0800,MLB_슈즈팀,,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000012,160,2024-10-25,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,16282334,16282334.0,KRW,,1000.0,24.10월_MLB_영업담당_급여,,,,,2000.0,,FM1000,MLB_파트너채널팀,FM1000,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000012,161,2024-10-25,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,12183583,12183583.0,KRW,,1000.0,24.10월_MLB_영업3팀_급여,,,,,2000.0,,FM1100,MLB_면세점팀,FM1100,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000012,162,2024-10-25,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,20678381,20678381.0,KRW,,1000.0,24.10월_MLB_영업2팀_급여,,,,,2000.0,,FM1700,MLB_리테일채널팀,FM1700,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000012,164,2024-10-25,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,31237391,31237391.0,KRW,,1000.0,24.10월_MLB_영업1팀_급여,,,,,2000.0,,FM1000,MLB_파트너채널팀,FM1000,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000012,168,2024-10-25,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,44693857,44693857.0,KRW,,1000.0,24.10월_MLB 디자인연구실_아우터디자인팀_급여,,,,,1000.0,,FM0700,MLB_디자인팀,FM0700,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000012,172,2024-10-25,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,22034877,22034877.0,KRW,,1000.0,24.10월_MLB 디자인연구실_슈즈소싱팀_급여,,,,,1000.0,,FM0800,MLB_슈즈팀,FM0800,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000012,173,2024-10-25,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,14038531,14038531.0,KRW,,1000.0,24.10월_MLB 디자인연구실_슈즈디자인팀_급여,,,,,1000.0,,FM0800,MLB_슈즈팀,FM0800,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000012,174,2024-10-25,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,19980000,19980000.0,KRW,,1000.0,24.10월_MLB 디자인연구실_슈즈담당_급여,,,,,1000.0,,FM0800,MLB_슈즈팀,FM0800,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010101,급료와임금,HR,8100000012,178,2024-10-25,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,15452236,15452236.0,KRW,,1000.0,24.10월_MLB 디자인연구실_소재디자인팀_급여,,,,,1000.0,,FM0700,MLB_디자인팀,FM0700,,,,,,인건비,인건비,급료와 임금,202410,부서
