반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,43110101,매출원가_기타_저장품,WA,6105767492,64,2024-10-03,2024-10-02,2024-10-02,S,81,2100,MLB,KRW,7800,7800.0,KRW,,,,100524.0,,(주)코스타 컴퍼니,7758700177.0,,,,,20241002,MXMD359,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202410,기타
,2024/10,,43110101,매출원가_기타_저장품,WA,6105767492,66,2024-10-03,2024-10-02,2024-10-02,S,81,2100,MLB,KRW,60000,60000.0,KRW,,,,100524.0,,(주)코스타 컴퍼니,7758700177.0,,,,,20241002,MXMS074,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202410,기타
,2024/10,,43110101,매출원가_기타_저장품,WA,6105767492,68,2024-10-03,2024-10-02,2024-10-02,S,81,2100,MLB,KRW,142500,142500.0,KRW,,,,100524.0,,(주)코스타 컴퍼니,7758700177.0,,,,,20241002,MXMS075,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202410,기타
,2024/10,,43110101,매출원가_기타_저장품,WA,6105767494,46,2024-10-03,2024-10-02,2024-10-02,S,81,2100,MLB,KRW,55500,55500.0,KRW,,,,100261.0,,(주)엘엠케이,1418131370.0,,,,,20241002,MXMS076,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202410,기타
,2024/10,,43110101,매출원가_기타_저장품,WA,6105767495,50,2024-10-03,2024-10-02,2024-10-02,S,81,2100,MLB,KRW,15600,15600.0,KRW,,,,105402.0,,(주)선상,6138602002.0,,,,,20241002,MXMD359,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202410,기타
,2024/10,,43110101,매출원가_기타_저장품,WA,6105767578,2,2024-10-03,2024-10-02,2024-10-02,S,81,2100,MLB,KRW,43850,43850.0,KRW,,,,103400.0,,엠엘비(MLB)오산점,3230401782.0,,,,,20241002,MXMS077,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202410,기타
,2024/10,,43110101,매출원가_기타_저장품,WA,6105767579,2,2024-10-03,2024-10-02,2024-10-02,S,81,2100,MLB,KRW,15600,15600.0,KRW,,,,103561.0,,유한회사 비송,7948101840.0,,,,,20241002,MXMD359,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202410,기타
,2024/10,,43110101,매출원가_기타_저장품,WA,6105767580,2,2024-10-03,2024-10-02,2024-10-02,S,81,2100,MLB,KRW,49000,49000.0,KRW,,,,103708.0,,엠엘비(MLB) 대구성서,5031786053.0,,,,,20241002,MXMC060,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202410,기타
,2024/10,,43110101,매출원가_기타_저장품,WA,6105767581,2,2024-10-03,2024-10-02,2024-10-02,S,81,2100,MLB,KRW,23400,23400.0,KRW,,,,104009.0,,엠엘비 스퀘어원 인천점,1678501861.0,,,,,20241002,MXMD359,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202410,기타
,2024/10,,43110101,매출원가_기타_저장품,WA,6105767582,2,2024-10-03,2024-10-02,2024-10-02,S,81,2100,MLB,KRW,32400,32400.0,KRW,,,,104102.0,,엠엘비 상주,5131642360.0,,,,,20241002,MXMS073,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202410,기타
,2024/10,,43110101,매출원가_기타_저장품,WA,6105767582,4,2024-10-03,2024-10-02,2024-10-02,S,81,2100,MLB,KRW,20000,20000.0,KRW,,,,104102.0,,엠엘비 상주,5131642360.0,,,,,20241002,MXMS074,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202410,기타
,2024/10,,43110101,매출원가_기타_저장품,WA,6105767582,6,2024-10-03,2024-10-02,2024-10-02,S,81,2100,MLB,KRW,47500,47500.0,KRW,,,,104102.0,,엠엘비 상주,5131642360.0,,,,,20241002,MXMS075,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202410,기타
,2024/10,,43110101,매출원가_기타_저장품,WA,6105767583,2,2024-10-03,2024-10-02,2024-10-02,S,81,2100,MLB,KRW,7800,7800.0,KRW,,,,104106.0,,엠엘비,8550302239.0,,,,,20241002,MXMD359,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202410,기타
,2024/10,,43110101,매출원가_기타_저장품,WA,6105767584,2,2024-10-03,2024-10-02,2024-10-02,S,81,2100,MLB,KRW,3900,3900.0,KRW,,,,104423.0,,MLB 남양주삼패,4718502037.0,,,,,20241002,MXMD359,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202410,기타
,2024/10,,43110101,매출원가_기타_저장품,WA,6105767585,2,2024-10-03,2024-10-02,2024-10-02,S,81,2100,MLB,KRW,95000,95000.0,KRW,,,,104599.0,,MLB,4688501968.0,,,,,20241002,MXMS075,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202410,기타
,2024/10,,43110101,매출원가_기타_저장품,WA,6105767586,2,2024-10-03,2024-10-02,2024-10-02,S,81,2100,MLB,KRW,32400,32400.0,KRW,,,,104782.0,,엠엘비(MLB) 속초점,5882401596.0,,,,,20241002,MXMS073,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202410,기타
,2024/10,,43110101,매출원가_기타_저장품,WA,6105767586,4,2024-10-03,2024-10-02,2024-10-02,S,81,2100,MLB,KRW,55500,55500.0,KRW,,,,104782.0,,엠엘비(MLB) 속초점,5882401596.0,,,,,20241002,MXMS076,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202410,기타
,2024/10,,43110101,매출원가_기타_저장품,WA,6105767587,2,2024-10-03,2024-10-02,2024-10-02,S,81,2100,MLB,KRW,47500,47500.0,KRW,,,,104900.0,,엠엘비(MLB)당진점,7138502324.0,,,,,20241002,MXMS075,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202410,기타
,2024/10,,43110101,매출원가_기타_저장품,WA,6105767588,2,2024-10-03,2024-10-02,2024-10-02,S,81,2100,MLB,KRW,20000,20000.0,KRW,,,,100184.0,,티니위니,6161356667.0,,,,,20241002,MXMS074,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용(조정값),202410,기타
