반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55010127,복리후생비_직원구매,K3,3200006122,31,2025-10-13,2025-10-01,2025-10-01,H,50,2100,MLB,KRW,-848000,-848000.0,KRW,VZ,1000.0,25.09월 임직원 직원구매_MLB_QM팀||,,,,,1000.0,,FM1400,MLB_QM팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202510,부서
,2025/10,,55010127,복리후생비_직원구매,K3,3200006122,32,2025-10-13,2025-10-01,2025-10-01,H,50,2100,MLB,KRW,-127000,-127000.0,KRW,VZ,1000.0,25.09월 임직원 직원구매_MLB_VMD팀||,,,,,2000.0,,FM0500,MLB_VMD팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202510,부서
,2025/10,,55010127,복리후생비_직원구매,K3,3200006122,33,2025-10-13,2025-10-01,2025-10-01,H,50,2100,MLB,KRW,-444470,-444470.0,KRW,VZ,1000.0,25.09월 임직원 직원구매_MLB_직영팀||,,,,,2000.0,,FM1700,MLB_리테일채널팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202510,부서
,2025/10,,55010127,복리후생비_직원구매,K3,3200006122,34,2025-10-13,2025-10-01,2025-10-01,H,50,2100,MLB,KRW,-19500,-19500.0,KRW,VZ,1000.0,25.09월 임직원 직원구매_MLB_마케팅팀||,,,,,2000.0,,FM0300,MLB_마케팅팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202510,부서
,2025/10,,55010127,복리후생비_직원구매,K3,3200006122,35,2025-10-13,2025-10-01,2025-10-01,H,50,2100,MLB,KRW,-64500,-64500.0,KRW,VZ,1000.0,25.09월 임직원 직원구매_MLB_사업담당||,,,,,1000.0,,FM0100,MLB_사업담당,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202510,부서
,2025/10,,55010127,복리후생비_직원구매,K3,3200006122,36,2025-10-13,2025-10-01,2025-10-01,H,50,2100,MLB,KRW,-135000,-135000.0,KRW,VZ,1000.0,25.09월 임직원 직원구매_MLB_영업담당||,,,,,2000.0,,FM0200,MLB_영업부문담당,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202510,부서
,2025/10,,55010127,복리후생비_직원구매,K3,3200006122,37,2025-10-13,2025-10-01,2025-10-01,H,50,2100,MLB,KRW,-169000,-169000.0,KRW,VZ,1000.0,25.09월 임직원 직원구매_MLB_용품기획팀||,,,,,1000.0,,FM0600,MLB_기획팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202510,부서
,2025/10,,55010127,복리후생비_직원구매,K3,3200006122,38,2025-10-13,2025-10-01,2025-10-01,H,50,2100,MLB,KRW,-203500,-203500.0,KRW,VZ,1000.0,25.09월 임직원 직원구매_MLB_용품소싱팀||,,,,,1000.0,,FM1500,MLB_용품소싱팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202510,부서
,2025/10,,55010127,복리후생비_직원구매,K3,3200006122,39,2025-10-13,2025-10-01,2025-10-01,H,50,2100,MLB,KRW,-19600,-19600.0,KRW,VZ,1000.0,25.09월 임직원 직원구매_MLB_카테고리운영팀||,,,,,2000.0,,FM1200,MLB_카테고리운영팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202510,부서
,2025/10,,55010127,복리후생비_직원구매,K3,3200006122,40,2025-10-13,2025-10-01,2025-10-01,H,50,2100,MLB,KRW,-243000,-243000.0,KRW,VZ,1000.0,25.09월 임직원 직원구매_MLB_면세팀||,,,,,2000.0,,FM1100,MLB_면세점팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202510,부서
