반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55010101,복리후생비_직원식대,K1,3400011926,26,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,158100,158100.0,KRW,V1,1000.0,25.10 임직원 식대 정산 (조식)_MLB_AX팀,,,,,1000.0,,FM2300,MLB_AX팀,FM2300,,6568102756,박홍진,( 주 ) 현대그린푸드,,기타영업비,복리비/차량/핸드폰,복리후생비_식대,202510,부서
,2025/10,,55010101,복리후생비_직원식대,K1,3400011926,27,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,907800,907800.0,KRW,V1,1000.0,25.10 임직원 식대 정산 (조식)_MLB_QM팀,,,,,1000.0,,FM1400,MLB_QM팀,FM1400,,6568102756,박홍진,( 주 ) 현대그린푸드,,기타영업비,복리비/차량/핸드폰,복리후생비_식대,202510,부서
,2025/10,,55010101,복리후생비_직원식대,K1,3400011926,28,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,372300,372300.0,KRW,V1,1000.0,25.10 임직원 식대 정산 (조식)_MLB_VMD팀,,,,,2000.0,,FM0500,MLB_VMD팀,FM0500,,6568102756,박홍진,( 주 ) 현대그린푸드,,기타영업비,복리비/차량/핸드폰,복리후생비_식대,202510,부서
,2025/10,,55010101,복리후생비_직원식대,K1,3400011926,29,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,25500,25500.0,KRW,V1,1000.0,25.10 임직원 식대 정산 (조식)_MLB_기획담당,,,,,1000.0,,FM0600,MLB_기획팀,FM0600,,6568102756,박홍진,( 주 ) 현대그린푸드,,기타영업비,복리비/차량/핸드폰,복리후생비_식대,202510,부서
,2025/10,,55010101,복리후생비_직원식대,K1,3400011926,30,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,367200,367200.0,KRW,V1,1000.0,25.10 임직원 식대 정산 (조식)_MLB_리테일채널팀,,,,,2000.0,,FM1700,MLB_리테일채널팀,FM1700,,6568102756,박홍진,( 주 ) 현대그린푸드,,기타영업비,복리비/차량/핸드폰,복리후생비_식대,202510,부서
,2025/10,,55010101,복리후생비_직원식대,K1,3400011926,31,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,622200,622200.0,KRW,V1,1000.0,25.10 임직원 식대 정산 (조식)_MLB_마케팅팀,,,,,2000.0,,FM0300,MLB_마케팅팀,FM0300,,6568102756,박홍진,( 주 ) 현대그린푸드,,기타영업비,복리비/차량/핸드폰,복리후생비_식대,202510,부서
,2025/10,,55010101,복리후생비_직원식대,K1,3400011926,32,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,81600,81600.0,KRW,V1,1000.0,25.10 임직원 식대 정산 (조식)_MLB_사업담당,,,,,1000.0,,FM0100,MLB_사업담당,FM0100,,6568102756,박홍진,( 주 ) 현대그린푸드,,기타영업비,복리비/차량/핸드폰,복리후생비_식대,202510,부서
,2025/10,,55010101,복리후생비_직원식대,K1,3400011926,33,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,81600,81600.0,KRW,V1,1000.0,25.10 임직원 식대 정산 (조식)_MLB_영업담당,,,,,2000.0,,FM0200,MLB_영업부문담당,FM0200,,6568102756,박홍진,( 주 ) 현대그린푸드,,기타영업비,복리비/차량/핸드폰,복리후생비_식대,202510,부서
,2025/10,,55010101,복리후생비_직원식대,K1,3400011926,34,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,402900,402900.0,KRW,V1,1000.0,25.10 임직원 식대 정산 (조식)_MLB_용품기획팀,,,,,1000.0,,FM0600,MLB_기획팀,FM0600,,6568102756,박홍진,( 주 ) 현대그린푸드,,기타영업비,복리비/차량/핸드폰,복리후생비_식대,202510,부서
,2025/10,,55010101,복리후생비_직원식대,K1,3400011926,35,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,622200,622200.0,KRW,V1,1000.0,25.10 임직원 식대 정산 (조식)_MLB_용품소싱팀,,,,,1000.0,,FM1500,MLB_용품소싱팀,FM1500,,6568102756,박홍진,( 주 ) 현대그린푸드,,기타영업비,복리비/차량/핸드폰,복리후생비_식대,202510,부서
