반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104749308,2,2025-10-02,2025-10-01,2025-10-01,S,81,2100,MLB,KRW,195000,195000.0,KRW,,,,100516.0,,자가소모(저장품),,2000.0,,FM0000,MLB_공통,FM0000,MXMD359,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,부서
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104749313,2,2025-10-02,2025-10-01,2025-10-01,S,81,2100,MLB,KRW,79870,79870.0,KRW,,,,105174.0,,주식회사 카카오커머스,1208147521.0,2000.0,,ZM9070,M_카카오톡(제휴몰),ZM9070,MXMC060,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104749314,2,2025-10-02,2025-10-01,2025-10-01,H,91,2100,MLB,KRW,-79870,-79870.0,KRW,,,,104241.0,,EC-온라인물류,0.0,2000.0,,FM0000,MLB_공통,FM0000,MXMC060,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,부서
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104773529,10,2025-10-03,2025-10-02,2025-10-02,S,81,2100,MLB,KRW,23400,23400.0,KRW,,,,106026.0,,(주)에프앤에프 성수점,8038502739.0,2000.0,,ZM7120,M_성수(직),ZM7120,MXMD359,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104773530,4,2025-10-03,2025-10-02,2025-10-02,S,81,2100,MLB,KRW,2340,2340.0,KRW,,,,100372.0,,롯데쇼핑(주)강남점,1208515973.0,2000.0,,ZM0830,M_롯데강남(백),ZM0830,MXMD359,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104773531,2,2025-10-03,2025-10-02,2025-10-02,S,81,2100,MLB,KRW,7800,7800.0,KRW,,,,100177.0,,주식회사현대백화점동구점,6108525955.0,2000.0,,ZM0110,M_현대울산동구(백),ZM0110,MXMD359,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104773532,2,2025-10-03,2025-10-02,2025-10-02,S,81,2100,MLB,KRW,3900,3900.0,KRW,,,,100192.0,,(주)신세계백화점 센텀시티점,2018132195.0,2000.0,,ZM0150,M_신세계센텀(백),ZM0150,MXMD359,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104773535,2,2025-10-03,2025-10-02,2025-10-02,S,81,2100,MLB,KRW,49000,49000.0,KRW,,,,105431.0,,(주)엔터식스 왕십리 역사점,2068524908.0,2000.0,,ZM1520,M_엔터식스왕십리(백),ZM1520,MXMC060,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104773537,2,2025-10-03,2025-10-02,2025-10-02,S,81,2100,MLB,KRW,1560,1560.0,KRW,,,,104353.0,,롯데쇼핑(주)인천점,3838501861.0,2000.0,,ZM1160,M_롯데인천터미널(백),ZM1160,MXMD359,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104773540,2,2025-10-03,2025-10-02,2025-10-02,S,81,2100,MLB,KRW,7800,7800.0,KRW,,,,104053.0,,(주)에프앤에프 엠엘비 롯데아울렛 의왕점,7838501625.0,2000.0,,ZM8020,M_롯데아울렛의왕(직),ZM8020,MXMD359,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
