반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55110107,소모품비_사은품사용,WA,6104749314,4,2025-10-02,2025-10-01,2025-10-01,H,91,2100,MLB,KRW,-1020,-1020.0,KRW,,,,104241.0,,EC-온라인물류,0.0,2000.0,,FM0000,MLB_공통,FM0000,MXMP018,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,부서
,2025/10,,55110107,소모품비_사은품사용,WA,6104749314,6,2025-10-02,2025-10-01,2025-10-01,H,91,2100,MLB,KRW,-4832,-4832.0,KRW,,,,104241.0,,EC-온라인물류,0.0,2000.0,,FM0000,MLB_공통,FM0000,MXMP0000170,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,부서
,2025/10,,55110107,소모품비_사은품사용,WA,6104749327,2,2025-10-02,2025-10-01,2025-10-01,S,81,2100,MLB,KRW,340,340.0,KRW,,,,104958.0,,(주)지에스리테일 홈쇼핑,7298501621.0,2000.0,,ZM9100,M_GS SHOP(제휴몰),ZM9100,MXMP018,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,매장
,2025/10,,55110107,소모품비_사은품사용,WA,6104749328,2,2025-10-02,2025-10-01,2025-10-01,S,81,2100,MLB,KRW,340,340.0,KRW,,,,104807.0,,롯데쇼핑(주)e커머스사업본부,5298500774.0,2000.0,,ZM9092,M_롯데ON(제휴몰),ZM9092,MXMP018,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,매장
,2025/10,,55110107,소모품비_사은품사용,WA,6104749331,2,2025-10-02,2025-10-01,2025-10-01,S,81,2100,MLB,KRW,8160,8160.0,KRW,,,,104241.0,,EC-온라인물류,0.0,2000.0,,FM0000,MLB_공통,FM0000,MXMP018,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,부서
,2025/10,,55110107,소모품비_사은품사용,WA,6104749333,2,2025-10-02,2025-10-01,2025-10-01,H,91,2100,MLB,KRW,-2040,-2040.0,KRW,,,,103404.0,,네이버파이낸셜 주식회사,5248601528.0,2000.0,,ZM9050,M_네이버(제휴몰),ZM9050,MXMP018,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,매장
,2025/10,,55110107,소모품비_사은품사용,WA,6104749336,2,2025-10-02,2025-10-01,2025-10-01,H,91,2100,MLB,KRW,-3740,-3740.0,KRW,,,,100564.0,,"주식회사 무신사 (MUSINSA Co. , Ltd.)",2118879575.0,2000.0,,ZM9020,M_무신사(제휴몰),ZM9020,MXMP018,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,매장
,2025/10,,55110107,소모품비_사은품사용,WA,6104749337,2,2025-10-02,2025-10-01,2025-10-01,H,91,2100,MLB,KRW,-680,-680.0,KRW,,,,104642.0,,"주식회사 무신사 (MUSINSA Co. , Ltd.)",2118879575.0,2000.0,,ZM9091,M_29CM(제휴몰),ZM9091,MXMP018,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,매장
,2025/10,,55110107,소모품비_사은품사용,WA,6104749344,2,2025-10-02,2025-10-01,2025-10-01,H,91,2100,MLB,KRW,-680,-680.0,KRW,,,,104958.0,,(주)지에스리테일 홈쇼핑,7298501621.0,2000.0,,ZM9100,M_GS SHOP(제휴몰),ZM9100,MXMP018,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,매장
,2025/10,,55110107,소모품비_사은품사용,WA,6104749345,2,2025-10-02,2025-10-01,2025-10-01,H,91,2100,MLB,KRW,-680,-680.0,KRW,,,,104807.0,,롯데쇼핑(주)e커머스사업본부,5298500774.0,2000.0,,ZM9092,M_롯데ON(제휴몰),ZM9092,MXMP018,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,매장
