반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,55110105,소모품비_샘플대,AB,1200376578,1,2024-10-16,2024-10-15,2024-10-15,S,40,2100,MLB,KRW,6521335,4871.03,USD,VZ,1000.0,MLB_25FW.고어텍스.원자재.지급의 건_10/15 생산업체 입고,,,,,1000.0,,FM0700,MLB_디자인팀,FM0700,,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,AB,1200376927,1,2024-11-04,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,4392400,3302.8,USD,VZ,1000.0,24.10월 원자재 입고 소모품비 처리_10월 입고 확인,,,,,1000.0,,FM0700,MLB_디자인팀,FM0700,,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,AB,1200376955,1,2024-11-07,2024-10-31,2024-10-31,H,50,2100,MLB,KRW,-992574,-992574.0,KRW,VZ,1000.0,24. 10월 M.용품디자인팀 출장 샘플 수입통관 부대비용 정산(관세과표 취소),,,,,1000.0,,FM0700,MLB_디자인팀,FM0700,,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,AB,1200376956,1,2024-11-07,2024-10-31,2024-10-31,H,50,2100,MLB,KRW,-2309635,-2309635.0,KRW,VZ,1000.0,24. 10월 M.이너디자인팀 출장 샘플 수입통관비 정산(관세과표 취소),,,,,1000.0,,FM0700,MLB_디자인팀,FM0700,,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,AB,1200376969,1,2024-11-07,2024-10-31,2024-10-31,H,50,2100,MLB,KRW,-373505,-373505.0,KRW,VZ,1000.0,24.10월 MLB 샘플 수입 부가세,,,,,1000.0,,FM0900,MLB_소싱팀,FM0900,,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,AB,1200376969,2,2024-11-07,2024-10-31,2024-10-31,H,50,2100,MLB,KRW,-840526,-840526.0,KRW,VZ,1000.0,24.10월 MLB 샘플 수입 부가세,,,,,1000.0,,FM0900,MLB_소싱팀,FM0900,,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,AB,1200376985,1,2024-11-07,2024-10-31,2024-10-31,H,50,2100,MLB,KRW,-7212075,-7212075.0,KRW,VZ,1000.0,24. 10월 MLB 원자재 샘플 수입 통관비,,,,,1000.0,,FM0700,MLB_디자인팀,FM0700,,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,AB,1200376985,2,2024-11-07,2024-10-31,2024-10-31,H,50,2100,MLB,KRW,-5513270,-5513270.0,KRW,VZ,1000.0,24. 10월 MLB 원자재 샘플 수입 통관비,,,,,1000.0,,FM0700,MLB_디자인팀,FM0700,,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,K3,3200007174,1,2024-11-07,2024-10-02,2024-10-02,S,40,2100,MLB,KRW,73230,73230.0,KRW,VZ,1000.0,24.10월 M.용품디자인팀 출장샘플 수입관세,,,,,1000.0,,FM0700,MLB_디자인팀,김포출장소장,,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,K3,3200007175,1,2024-11-07,2024-10-02,2024-10-02,S,40,2100,MLB,KRW,400,400.0,KRW,VZ,1000.0,24.10월 M.용품디자인팀 출장샘플 보험료,,,,,1000.0,,FM0700,MLB_디자인팀,공항신성합동관세사무소,,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,K3,3200007179,1,2024-11-07,2024-10-02,2024-10-02,S,40,2100,MLB,KRW,265700,265700.0,KRW,VZ,1000.0,24.10월 M.이너디자인팀 출장샘플 수입관세,,,,,1000.0,,FM0700,MLB_디자인팀,김포출장소장,,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,K3,3200007180,1,2024-11-07,2024-10-02,2024-10-02,S,40,2100,MLB,KRW,400,400.0,KRW,VZ,1000.0,24.10월 M.이너디자인팀 출장샘플 보험료,,,,,1000.0,,FM0700,MLB_디자인팀,공항신성합동관세사무소,,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,K3,3200007290,1,2024-10-22,2024-10-10,2024-10-10,S,40,2100,MLB,KRW,96160,96160.0,KRW,VZ,1000.0,24.10월 MLB 샘플 수입 관세,,,,,1000.0,,FM0900,MLB_소싱팀,인천공항세관장,,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,K3,3200007291,1,2024-10-22,2024-10-08,2024-10-08,S,40,2100,MLB,KRW,38220,38220.0,KRW,VZ,1000.0,24.10월 MLB 샘플 수입 관세,,,,,1000.0,,FM0900,MLB_소싱팀,인천공항세관장,,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,K3,3200007592,1,2024-11-04,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,1740,1740.0,KRW,VZ,1000.0,24. 10월 MLB 원자재 샘플 수입 적하보험,,,,,1000.0,,FM0700,MLB_디자인팀,주식회사 엘엑스판토스,,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,K3,3200007592,2,2024-11-04,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,13000,13000.0,KRW,VZ,1000.0,24. 10월 MLB 원자재 샘플 수입 적하험,,,,,1000.0,,FM0700,MLB_디자인팀,주식회사 엘엑스판토스,,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,K3,3200007594,1,2024-11-04,2024-10-31,2024-10-29,S,40,2100,MLB,KRW,655640,655640.0,KRW,VZ,1000.0,24. 10월 MLB 원자재 샘플 수입 관세,,,,,1000.0,,FM0700,MLB_디자인팀,인천세관장,,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,K3,3200007594,2,2024-11-04,2024-10-31,2024-10-29,S,40,2100,MLB,KRW,501200,501200.0,KRW,VZ,1000.0,24. 10월 MLB 원자재 샘플 수입 관세,,,,,1000.0,,FM0700,MLB_디자인팀,인천세관장,,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,K1,3400011253,1,2024-11-07,2024-10-02,2024-10-02,S,40,2100,MLB,KRW,11091,11091.0,KRW,V1,1000.0,24.10월 M.용품디자인팀 출장샘플 경비료,,,,,1000.0,,FM0700,MLB_디자인팀,2024100242000123da,,1098230073,이찬기,(사)한국관세무역개발원 김포공항지사,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,K1,3400011254,1,2024-11-07,2024-10-02,2024-10-02,S,40,2100,MLB,KRW,992574,992574.0,KRW,V1,1000.0,24.10월 M.용품디자인팀 부가세 과세표준,,,,,1000.0,,FM0700,MLB_디자인팀,202410024200003663,,1098305057,김포공항세관장,김포공항세관,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,K1,3400011255,1,2024-11-07,2024-10-02,2024-10-02,S,40,2100,MLB,KRW,50000,50000.0,KRW,V1,1000.0,24.10월 M.용품디자인팀 샘플 통관수수료,,,,,1000.0,,FM0700,MLB_디자인팀,2024100241000012fm,,1090354798,김광년 외1인,공항신성합동관세사무소,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,K1,3400011257,1,2024-11-07,2024-10-02,2024-10-02,S,40,2100,MLB,KRW,23182,23182.0,KRW,V1,1000.0,24.10월 M.이너디자인팀 출장샘플 경비료,,,,,1000.0,,FM0700,MLB_디자인팀,2024100242000123da,,1098230073,이찬기,(사)한국관세무역개발원 김포공항지사,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,K1,3400011259,1,2024-11-07,2024-10-02,2024-10-02,S,40,2100,MLB,KRW,2309635,2309635.0,KRW,V1,1000.0,24.10월 M.이너디자인팀 부가세 과세표준,,,,,1000.0,,FM0700,MLB_디자인팀,202410024200003663,,1098305057,김포공항세관장,김포공항세관,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,K1,3400011260,1,2024-11-07,2024-10-02,2024-10-02,S,40,2100,MLB,KRW,55000,55000.0,KRW,V1,1000.0,24.10월 M.이너디자인팀 출장샘플 운송료,,,,,1000.0,,FM0700,MLB_디자인팀,202410021024100292,,1190790372,이장신,개별용달,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,K1,3400011261,1,2024-11-07,2024-10-02,2024-10-02,S,40,2100,MLB,KRW,50000,50000.0,KRW,V1,1000.0,24.10월 M.이너디자인팀 샘플 통관수수료,,,,,1000.0,,FM0700,MLB_디자인팀,202410024100001266,,1090354798,김광년 외1인,공항신성합동관세사무소,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,K1,3400011366,1,2024-10-22,2024-10-18,2024-10-18,S,40,2100,MLB,KRW,840526,840526.0,KRW,V1,1000.0,24.10월 MLB 샘플 수입 부가세,,,,,1000.0,,FM0900,MLB_소싱팀,202410184200003666,,1098302763,인천공항세관장,인천공항세관,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,K1,3400011367,1,2024-10-22,2024-10-18,2024-10-18,S,40,2100,MLB,KRW,373505,373505.0,KRW,V1,1000.0,24.10월 MLB 샘플 수입 부가세,,,,,1000.0,,FM0900,MLB_소싱팀,202410184200003666,,1098302763,인천공항세관장,인천공항세관,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,K1,3400011820,1,2024-11-04,2024-10-29,2024-10-29,S,40,2100,MLB,KRW,7212075,7212075.0,KRW,V1,1000.0,24. 10월 MLB 원자재 샘플 수입 통관비,,,,,1000.0,,FM0700,MLB_디자인팀,202410294200003667,,1218300561,인천세관장,인천세관,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,K1,3400011821,1,2024-11-04,2024-10-29,2024-10-29,S,40,2100,MLB,KRW,5513270,5513270.0,KRW,V1,1000.0,24. 10월 MLB 원자재 샘플 수입 통관비,,,,,1000.0,,FM0700,MLB_디자인팀,202410294200003667,,1218300561,인천세관장,인천세관,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,K1,3400011823,1,2024-11-04,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,130600,130600.0,KRW,V1,1000.0,24. 10월 MLB 원자재 샘플 수입 통관비,,,,,1000.0,,FM0700,MLB_디자인팀,202410314100000580,,1168131734,이용호,주식회사 엘엑스판토스,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,K1,3400011824,1,2024-11-04,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,558190,558190.0,KRW,VB,1000.0,24. 10월 MLB 원자재 샘플 수입 통관비,,,,,1000.0,,FM0700,MLB_디자인팀,202410314100000580,,1168131734,이용호,주식회사 엘엑스판토스,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,K1,3400011825,1,2024-11-04,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,130600,130600.0,KRW,V1,1000.0,24. 10월 MLB 원자재 샘플 수입 통관비,,,,,1000.0,,FM0700,MLB_디자인팀,202410314100000580,,1168131734,이용호,주식회사 엘엑스판토스,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,K1,3400011826,1,2024-11-04,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,556280,556280.0,KRW,VB,1000.0,24. 10월 MLB 원자재 샘플 수입 통관비,,,,,1000.0,,FM0700,MLB_디자인팀,202410314100000580,,1168131734,이용호,주식회사 엘엑스판토스,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
