반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55110109,소모품비_쇼핑백사용,WA,6104773529,2,2025-10-03,2025-10-02,2025-10-02,S,81,2100,MLB,KRW,1420000,1420000.0,KRW,,,,106026.0,,(주)에프앤에프 성수점,8038502739.0,2000.0,,ZM7120,M_성수(직),ZM7120,MXMS004,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202510,매장
,2025/10,,55110109,소모품비_쇼핑백사용,WA,6104773529,4,2025-10-03,2025-10-02,2025-10-02,S,81,2100,MLB,KRW,370000,370000.0,KRW,,,,106026.0,,(주)에프앤에프 성수점,8038502739.0,2000.0,,ZM7120,M_성수(직),ZM7120,MXMS005,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202510,매장
,2025/10,,55110109,소모품비_쇼핑백사용,WA,6104773529,6,2025-10-03,2025-10-02,2025-10-02,S,81,2100,MLB,KRW,445000,445000.0,KRW,,,,106026.0,,(주)에프앤에프 성수점,8038502739.0,2000.0,,ZM7120,M_성수(직),ZM7120,MXMS006,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202510,매장
,2025/10,,55110109,소모품비_쇼핑백사용,WA,6104773529,8,2025-10-03,2025-10-02,2025-10-02,S,81,2100,MLB,KRW,138000,138000.0,KRW,,,,106026.0,,(주)에프앤에프 성수점,8038502739.0,2000.0,,ZM7120,M_성수(직),ZM7120,MXMS007,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202510,매장
,2025/10,,55110109,소모품비_쇼핑백사용,WA,6104773530,2,2025-10-03,2025-10-02,2025-10-02,S,81,2100,MLB,KRW,55500,55500.0,KRW,,,,100372.0,,롯데쇼핑(주)강남점,1208515973.0,2000.0,,ZM0830,M_롯데강남(백),ZM0830,MXMS076,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202510,매장
,2025/10,,55110109,소모품비_쇼핑백사용,WA,6104773532,4,2025-10-03,2025-10-02,2025-10-02,S,81,2100,MLB,KRW,64800,64800.0,KRW,,,,100192.0,,(주)신세계백화점 센텀시티점,2018132195.0,2000.0,,ZM0150,M_신세계센텀(백),ZM0150,MXMS073,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202510,매장
,2025/10,,55110109,소모품비_쇼핑백사용,WA,6104773533,2,2025-10-03,2025-10-02,2025-10-02,S,81,2100,MLB,KRW,20000,20000.0,KRW,,,,100254.0,,한무쇼핑(주)충청점,3018540450.0,2000.0,,ZM0430,M_현대충청(백),ZM0430,MXMS074,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202510,매장
,2025/10,,55110109,소모품비_쇼핑백사용,WA,6104773533,4,2025-10-03,2025-10-02,2025-10-02,S,81,2100,MLB,KRW,47500,47500.0,KRW,,,,100254.0,,한무쇼핑(주)충청점,3018540450.0,2000.0,,ZM0430,M_현대충청(백),ZM0430,MXMS075,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202510,매장
,2025/10,,55110109,소모품비_쇼핑백사용,WA,6104773534,2,2025-10-03,2025-10-02,2025-10-02,S,81,2100,MLB,KRW,32400,32400.0,KRW,,,,100316.0,,롯데쇼핑주식회사 노원점,2178520799.0,2000.0,,ZM0690,M_롯데노원(백),ZM0690,MXMS073,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202510,매장
,2025/10,,55110109,소모품비_쇼핑백사용,WA,6104773534,4,2025-10-03,2025-10-02,2025-10-02,S,81,2100,MLB,KRW,47500,47500.0,KRW,,,,100316.0,,롯데쇼핑주식회사 노원점,2178520799.0,2000.0,,ZM0690,M_롯데노원(백),ZM0690,MXMS075,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202510,매장
