반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,55090101,수도광열비,K3,3200007173,1,2024-10-14,2024-10-14,2024-10-14,S,40,2100,MLB,KRW,756639,756639.0,KRW,V1,1030.0,24.10월 MLB 동성로 전기요금,,,,,2000.0,,ZM7040,M_동성로(직),한국전력공사,,,,,,기타영업비,기타비용,수도광열비,202410,매장
,2024/10,,55090101,수도광열비,K3,3200007173,2,2024-10-14,2024-10-14,2024-10-14,S,40,2100,MLB,KRW,24210,24210.0,KRW,VZ,1030.0,24.10월 MLB 동성로 전기요금,,,,,2000.0,,ZM7040,M_동성로(직),한국전력공사,,,,,,기타영업비,기타비용,수도광열비,202410,매장
,2024/10,,55090101,수도광열비,K3,3200007292,1,2024-10-22,2024-10-22,2024-10-22,S,40,2100,MLB,KRW,94460,94460.0,KRW,VZ,1310.0,24.10월 MLB 명동중앙 상하수도요금,,,,,2000.0,,ZM7070,M_명동중앙(직),중부 수도사업소장,,,,,,기타영업비,기타비용,수도광열비,202410,매장
,2024/10,,55090101,수도광열비,K3,3200007353,1,2024-10-24,2024-10-24,2024-10-24,S,40,2100,MLB,KRW,2000,2000.0,KRW,V1,1300.0,24.10월 MLB 충장로 전기요금(2천원 미만사용 9월 이월청구),,,,,2000.0,,ZM7000,M_충장로(직),한국전력공사,,,,,,기타영업비,기타비용,수도광열비,202410,매장
,2024/10,,55090101,수도광열비,K3,3200007353,2,2024-10-24,2024-10-24,2024-10-24,S,40,2100,MLB,KRW,60,60.0,KRW,VZ,1300.0,24.10월 MLB 충장로 전기요금,,,,,2000.0,,ZM7000,M_충장로(직),한국전력공사,,,,,,기타영업비,기타비용,수도광열비,202410,매장
,2024/10,,55090101,수도광열비,K3,3200007354,1,2024-10-24,2024-10-24,2024-10-24,S,40,2100,MLB,KRW,146219,146219.0,KRW,V1,1300.0,24.10월 MLB 충장로 전기요금,,,,,2000.0,,ZM7000,M_충장로(직),한국전력공사,,,,,,기타영업비,기타비용,수도광열비,202410,매장
,2024/10,,55090101,수도광열비,K3,3200007354,2,2024-10-24,2024-10-24,2024-10-24,S,40,2100,MLB,KRW,4670,4670.0,KRW,VZ,1300.0,24.10월 MLB 충장로 전기요금,,,,,2000.0,,ZM7000,M_충장로(직),한국전력공사,,,,,,기타영업비,기타비용,수도광열비,202410,매장
,2024/10,,55090101,수도광열비,K3,3200007355,1,2024-10-24,2024-10-24,2024-10-24,S,40,2100,MLB,KRW,483211,483211.0,KRW,V1,1300.0,24.10월 MLB 충장로 전기요금,,,,,2000.0,,ZM7000,M_충장로(직),한국전력공사,,,,,,기타영업비,기타비용,수도광열비,202410,매장
,2024/10,,55090101,수도광열비,K3,3200007355,2,2024-10-24,2024-10-24,2024-10-24,S,40,2100,MLB,KRW,15460,15460.0,KRW,VZ,1300.0,24.10월 MLB 충장로 전기요금,,,,,2000.0,,ZM7000,M_충장로(직),한국전력공사,,,,,,기타영업비,기타비용,수도광열비,202410,매장
,2024/10,,55090101,수도광열비,K3,3200007356,1,2024-10-24,2024-10-24,2024-10-24,S,40,2100,MLB,KRW,607341,607341.0,KRW,V1,1360.0,24.10월 MLB 홍대 전기요금(1층),,,,,2000.0,,ZM7090,M_홍대(직),한국전력공사,,,,,,기타영업비,기타비용,수도광열비,202410,매장
