반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,53010105,잡급,HR,8100000012,100,2024-10-25,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,3793549,3793549.0,KRW,,1000.0,24.10월_MLB_VMD팀_잡급(급여),,,,,2000.0,,FM0500,MLB_VMD팀,FM0500,,,,,,인건비,인건비,잡급,202410,부서
,2024/10,,53010105,잡급,HR,8100000012,101,2024-10-25,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,4186812,4186812.0,KRW,,1000.0,24.10월_MLB_TD팀_잡급(급여),,,,,1000.0,,FM1400,MLB_QM팀,FM1400,,,,,,인건비,인건비,잡급,202410,부서
,2024/10,,53010105,잡급,HR,8100000012,110,2024-10-25,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,3501373,3501373.0,KRW,,1000.0,24.10월_MLB_Distributor팀_잡급(급여),,,,,2000.0,,FM1300,[CLSD]MLB_해외사업,FM1300,,,,,,인건비,인건비,잡급,202410,부서
,2024/10,,53010105,잡급,HR,8100000012,112,2024-10-25,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,4940796,4940796.0,KRW,,1000.0,24.10월_MLB 디자인연구실_슈즈디자인팀_잡급(급여),,,,,1000.0,,FM0800,MLB_슈즈팀,FM0800,,,,,,인건비,인건비,잡급,202410,부서
,2024/10,,53010105,잡급,HR,8100000012,115,2024-10-25,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,974625,974625.0,KRW,,1000.0,24.10월_MLB_VMD팀_잡급(제수당),,,,,2000.0,,FM0500,MLB_VMD팀,FM0500,,,,,,인건비,인건비,잡급,202410,부서
,2024/10,,53010105,잡급,HR,8100000012,116,2024-10-25,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,1146522,1146522.0,KRW,,1000.0,24.10월_MLB_TD팀_잡급(제수당),,,,,1000.0,,FM1400,MLB_QM팀,FM1400,,,,,,인건비,인건비,잡급,202410,부서
,2024/10,,53010105,잡급,HR,8100000012,125,2024-10-25,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,998628,998628.0,KRW,,1000.0,24.10월_MLB_Distributor팀_잡급(제수당),,,,,2000.0,,FM1300,[CLSD]MLB_해외사업,FM1300,,,,,,인건비,인건비,잡급,202410,부서
,2024/10,,53010105,잡급,HR,8100000012,127,2024-10-25,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,1309205,1309205.0,KRW,,1000.0,24.10월_MLB 디자인연구실_슈즈디자인팀_잡급(제수당),,,,,1000.0,,FM0800,MLB_슈즈팀,FM0800,,,,,,인건비,인건비,잡급,202410,부서
,2024/10,,53010105,잡급,HR,8100000012,153,2024-10-25,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,28978030,28978030.0,KRW,,1000.0,24.10월_MLB_Distributor팀_제수당,,,,,2000.0,,FM1300,[CLSD]MLB_해외사업,FM1300,,,,,,인건비,인건비,잡급,202410,부서
,2024/10,,53010105,잡급,HR,8100000012,154,2024-10-25,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,909892,909892.0,KRW,,1000.0,24.10월_MLB_Data기획팀_제수당,,,,,1000.0,,FM0600,MLB_기획팀,FM0600,,,,,,인건비,인건비,잡급,202410,부서
,2024/10,,53010105,잡급,HR,8100000012,155,2024-10-25,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,8689351,8689351.0,KRW,,1000.0,24.10월_MLB_Branch팀_제수당,,,,,2000.0,,FM1300,[CLSD]MLB_해외사업,FM1300,,,,,,인건비,인건비,잡급,202410,부서
,2024/10,,53010105,잡급,HR,8100000012,156,2024-10-25,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,1614414,1614414.0,KRW,,1000.0,24.10월_MLB_BM팀_제수당,,,,,1000.0,,FM0600,MLB_기획팀,FM0600,,,,,,인건비,인건비,잡급,202410,부서
,2024/10,,53010105,잡급,HR,8100000016,167,2024-10-29,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,1309205,1309205.0,KRW,,1000.0,24.10월_MLB 디자인연구실_슈즈디자인팀_잡급(제수당),,,,,1000.0,,FM0800,MLB_슈즈팀,FM0800,,,,,,인건비,인건비,잡급,202410,부서
,2024/10,,53010105,잡급,HR,8100000016,169,2024-10-29,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,998628,998628.0,KRW,,1000.0,24.10월_MLB_Distributor팀_잡급(제수당),,,,,2000.0,,FM1300,[CLSD]MLB_해외사업,FM1300,,,,,,인건비,인건비,잡급,202410,부서
,2024/10,,53010105,잡급,HR,8100000016,178,2024-10-29,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,1146522,1146522.0,KRW,,1000.0,24.10월_MLB_TD팀_잡급(제수당),,,,,1000.0,,FM1400,MLB_QM팀,FM1400,,,,,,인건비,인건비,잡급,202410,부서
,2024/10,,53010105,잡급,HR,8100000016,179,2024-10-29,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,974625,974625.0,KRW,,1000.0,24.10월_MLB_VMD팀_잡급(제수당),,,,,2000.0,,FM0500,MLB_VMD팀,FM0500,,,,,,인건비,인건비,잡급,202410,부서
