반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55210127,지급수수료_매장보수대,K1,3400011370,1,2025-11-03,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,3308080,3308080.0,KRW,V1,1000.0,ML_10월_오픈폐점_롯데잠실_엔비니즈,,,,,2000.0,,ZM0920,M_롯데잠실(백),202510311025103123,,4918103181,박동승,주식회사 엔비니즈,,VMD/ 매장보수대,VMD/ 매장보수대,지급수수료_매장보수대,202510,매장
,2025/10,,55210127,지급수수료_매장보수대,K1,3400011415,1,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,285000,285000.0,KRW,V1,1000.0,ML_10월 개보수 전표_태양건설,,,,,2000.0,,ZM0160,M_신세계하남(백),202510311025110325,,4318801540,정경호,(주)태양건설,,VMD/ 매장보수대,VMD/ 매장보수대,지급수수료_매장보수대,202510,매장
,2025/10,,55210127,지급수수료_매장보수대,K1,3400011415,2,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,690000,690000.0,KRW,V1,1000.0,ML_10월 개보수 전표_태양건설,,,,,2000.0,,ZM8060,M_타임테라스동탄(직),202510311025110325,,4318801540,정경호,(주)태양건설,,VMD/ 매장보수대,VMD/ 매장보수대,지급수수료_매장보수대,202510,매장
,2025/10,,55210127,지급수수료_매장보수대,K1,3400011415,3,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,150000,150000.0,KRW,V1,1000.0,ML_10월 개보수 전표_태양건설,,,,,2000.0,,ZM0990,M_롯데영등포(백),202510311025110325,,4318801540,정경호,(주)태양건설,,VMD/ 매장보수대,VMD/ 매장보수대,지급수수료_매장보수대,202510,매장
,2025/10,,55210127,지급수수료_매장보수대,K1,3400011415,4,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,170000,170000.0,KRW,V1,1000.0,ML_10월 개보수 전표_태양건설,,,,,2000.0,,ZM7070,M_명동중앙(직),202510311025110325,,4318801540,정경호,(주)태양건설,,VMD/ 매장보수대,VMD/ 매장보수대,지급수수료_매장보수대,202510,매장
,2025/10,,55210127,지급수수료_매장보수대,K1,3400011415,5,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,160000,160000.0,KRW,V1,1000.0,ML_10월 개보수 전표_태양건설,,,,,2000.0,,ZM7070,M_명동중앙(직),202510311025110325,,4318801540,정경호,(주)태양건설,,VMD/ 매장보수대,VMD/ 매장보수대,지급수수료_매장보수대,202510,매장
,2025/10,,55210127,지급수수료_매장보수대,K1,3400011415,6,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,160000,160000.0,KRW,V1,1000.0,ML_10월 개보수 전표_태양건설,,,,,2000.0,,ZM1330,M_현대파크원(백),202510311025110325,,4318801540,정경호,(주)태양건설,,VMD/ 매장보수대,VMD/ 매장보수대,지급수수료_매장보수대,202510,매장
,2025/10,,55210127,지급수수료_매장보수대,K1,3400011415,7,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,190000,190000.0,KRW,V1,1000.0,ML_10월 개보수 전표_태양건설,,,,,2000.0,,ZM1330,M_현대파크원(백),202510311025110325,,4318801540,정경호,(주)태양건설,,VMD/ 매장보수대,VMD/ 매장보수대,지급수수료_매장보수대,202510,매장
,2025/10,,55210127,지급수수료_매장보수대,K1,3400011415,8,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,205000,205000.0,KRW,V1,1000.0,ML_10월 개보수 전표_태양건설,,,,,2000.0,,ZM7090,M_홍대(직),202510311025110325,,4318801540,정경호,(주)태양건설,,VMD/ 매장보수대,VMD/ 매장보수대,지급수수료_매장보수대,202510,매장
,2025/10,,55210127,지급수수료_매장보수대,K1,3400011415,9,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,162000,162000.0,KRW,V1,1000.0,ML_10월 개보수 전표_태양건설,,,,,2000.0,,ZM0450,M_현대신촌(백),202510311025110325,,4318801540,정경호,(주)태양건설,,VMD/ 매장보수대,VMD/ 매장보수대,지급수수료_매장보수대,202510,매장
