반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,55210161,지급수수료_보안,K2,3300075307,1,2024-11-04,2024-10-14,2024-10-14,S,40,2100,MLB,KRW,110000,110000.0,KRW,VZ,1000.0,MLB 충장로 10월 보안비 정산,,,,,2000.0,,ZM7000,M_충장로(직),9410499196121890,,4118601799,30071628,"X202101004, 영업관리팀",,지급수수료,지급수수료,지급수수료_보안,202410,매장
,2024/10,,55210161,지급수수료_보안,K2,3300075610,1,2024-11-04,2024-10-21,2024-10-21,S,40,2100,MLB,KRW,220000,220000.0,KRW,VZ,1000.0,MLB 10월 가로수길 보안비 정산,,,,,2000.0,,ZM7060,M_가로수길(직),9410499196121890,,2208182546,30072256,"X202101004, 영업관리팀",,지급수수료,지급수수료,지급수수료_보안,202410,매장
,2024/10,,55210161,지급수수료_보안,K2,3300075611,1,2024-11-04,2024-10-21,2024-10-21,S,40,2100,MLB,KRW,330000,330000.0,KRW,VZ,1000.0,MLB 9월 홍대 보안비 정산,,,,,2000.0,,ZM7090,M_홍대(직),9410499196121890,,2208182546,30072223,"X202101004, 영업관리팀",,지급수수료,지급수수료,지급수수료_보안,202410,매장
,2024/10,,55210161,지급수수료_보안,K2,3300075614,1,2024-11-04,2024-10-21,2024-10-21,S,40,2100,MLB,KRW,286000,286000.0,KRW,VZ,1000.0,MLB 10월 가로수길 보안비 정산,,,,,2000.0,,ZM7060,M_가로수길(직),9410499196121890,,2208182546,30072100,"X202101004, 영업관리팀",,지급수수료,지급수수료,지급수수료_보안,202410,매장
,2024/10,,55210161,지급수수료_보안,K2,3300075618,1,2024-11-04,2024-10-21,2024-10-21,S,40,2100,MLB,KRW,110000,110000.0,KRW,VZ,1000.0,MLB 10월 스타필드하남 보안비 정산,,,,,2000.0,,ZM8070,M_스타필드하남(직),9410499196121890,,2208182546,30072302,"X202101004, 영업관리팀",,지급수수료,지급수수료,지급수수료_보안,202410,매장
,2024/10,,55210161,지급수수료_보안,K2,3300075619,1,2024-11-04,2024-10-21,2024-10-21,S,40,2100,MLB,KRW,110000,110000.0,KRW,VZ,1000.0,MLB 10월 스타필드수원 보안비 정산,,,,,2000.0,,ZM8080,M_스타필드수원(직),9410499196121890,,2208182546,30072234,"X202101004, 영업관리팀",,지급수수료,지급수수료,지급수수료_보안,202410,매장
,2024/10,,55210161,지급수수료_보안,K2,3300075621,1,2024-11-04,2024-10-21,2024-10-21,S,40,2100,MLB,KRW,99000,99000.0,KRW,VZ,1000.0,MLB 10월 롯데아울렛의왕 보안비 정산,,,,,2000.0,,ZM8020,M_롯데아울렛의왕(직),9410499196121890,,2208182546,30072188,"X202101004, 영업관리팀",,지급수수료,지급수수료,지급수수료_보안,202410,매장
,2024/10,,55210161,지급수수료_보안,K2,3300075622,1,2024-11-04,2024-10-21,2024-10-21,S,40,2100,MLB,KRW,85800,85800.0,KRW,VZ,1000.0,MLB 10월 타임스트림 보안비 정산,,,,,2000.0,,ZM8050,M_타임스퀘어신림(직),9410499196121890,,2208182546,30072199,"X202101004, 영업관리팀",,지급수수료,지급수수료,지급수수료_보안,202410,매장
,2024/10,,55210161,지급수수료_보안,K2,3300075624,1,2024-11-04,2024-10-21,2024-10-21,S,40,2100,MLB,KRW,77000,77000.0,KRW,VZ,1000.0,MLB 10월 스타필드안성 보안비 정산,,,,,2000.0,,ZM8040,M_스타필드안성(직),9410499196121890,,2208182546,30072177,"X202101004, 영업관리팀",,지급수수료,지급수수료,지급수수료_보안,202410,매장
,2024/10,,55210161,지급수수료_보안,K2,3300075628,1,2024-11-04,2024-10-21,2024-10-21,S,40,2100,MLB,KRW,115500,115500.0,KRW,VZ,1000.0,MLB 10월 스타필드고양 보안비 정산,,,,,2000.0,,ZM8030,[CLSD]M_스타필드고양(직),9410499196121890,,2208182546,30072133,"X202101004, 영업관리팀",,지급수수료,지급수수료,지급수수료_보안,202410,매장
,2024/10,,55210161,지급수수료_보안,K2,3300075637,1,2024-11-04,2024-10-21,2024-10-21,S,40,2100,MLB,KRW,154000,154000.0,KRW,VZ,1000.0,MLB 10월 트리플송도 보안비 정산,,,,,2000.0,,ZM7050,M_트리플스트리트(직),9410499196121890,,2208182546,30072122,"X202101004, 영업관리팀",,지급수수료,지급수수료,지급수수료_보안,202410,매장
