반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55210171,지급수수료_수출입관련,K3,3200006138,1,2025-10-13,2025-10-09,2025-10-09,S,40,2100,MLB,KRW,2261,2261.0,KRW,VZ,1000.0,'25년 10월 인도네시아 수출부대비용,,,,,2000.0,,FM0000,MLB_공통,에이왓글로벌로지스틱스코리아(주),,,,,,지급수수료,지급수수료,지급수수료_기타,202510,부서
,2025/10,,55210171,지급수수료_수출입관련,K3,3200006499,1,2025-11-03,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,6063,6063.0,KRW,VZ,1000.0,'25 10월 수출부대비용 싱가폴 말레이시아,,,,,2000.0,,FM0000,MLB_공통,(주)익스피다이터스코리아,,,,,,지급수수료,지급수수료,지급수수료_기타,202510,부서
,2025/10,,55210171,지급수수료_수출입관련,K3,3200006563,1,2025-11-04,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,17019,17019.0,KRW,VZ,1000.0,25.1MLB해상수출대납부대비용정산의건(유수),,,,,2000.0,,FM0000,MLB_공통,주식회사 유수로지스틱스,,,,,,지급수수료,지급수수료,지급수수료_기타,202510,부서
,2025/10,,55210171,지급수수료_수출입관련,K1,3400010931,1,2025-10-13,2025-10-09,2025-10-09,S,40,2100,MLB,KRW,281803,281803.0,KRW,V1,1000.0,'25년 10월 인도네시아 수출부대비용,,,,,2000.0,,FM0000,MLB_공통,202510094100014900,,1138689625,김종현,에이왓글로벌로지스틱스코리아(주),,지급수수료,지급수수료,지급수수료_기타,202510,부서
,2025/10,,55210171,지급수수료_수출입관련,K1,3400010932,1,2025-10-13,2025-10-09,2025-10-09,S,40,2100,MLB,KRW,268887,268887.0,KRW,VB,1000.0,'25년 10월 인도네시아 수출부대비용,,,,,2000.0,,FM0000,MLB_공통,202510094100014900,,1138689625,김종현,에이왓글로벌로지스틱스코리아(주),,지급수수료,지급수수료,지급수수료_기타,202510,부서
,2025/10,,55210171,지급수수료_수출입관련,K1,3400010946,1,2025-10-13,2025-10-02,2025-10-02,S,40,2100,MLB,KRW,640431,640431.0,KRW,VB,1000.0,'25년 10월 UAE 수출부대비용,,,,,2000.0,,FM0000,MLB_공통,202510024100021700,,1048127085,이재욱,(주)모락스,,지급수수료,지급수수료,지급수수료_기타,202510,부서
,2025/10,,55210171,지급수수료_수출입관련,K1,3400010947,1,2025-10-13,2025-10-02,2025-10-02,S,40,2100,MLB,KRW,51161,51161.0,KRW,V1,1000.0,'25년 10월 UAE 수출부대비용,,,,,2000.0,,FM0000,MLB_공통,202510024100021700,,1048127085,이재욱,(주)모락스,,지급수수료,지급수수료,지급수수료_기타,202510,부서
,2025/10,,55210171,지급수수료_수출입관련,K1,3400011435,1,2025-11-03,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,631480,631480.0,KRW,V1,1000.0,'25년 10월 DT 수출통관수수료,,,,,2000.0,,FM0000,MLB_공통,202510311025110325,,1218531544,이범재,에치티앤에스 관세법인 공항,,지급수수료,지급수수료,지급수수료_기타,202510,부서
,2025/10,,55210171,지급수수료_수출입관련,K1,3400011436,1,2025-11-03,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,1062571,1062571.0,KRW,VB,1000.0,"'25년 10월 수출부대비용 싱가폴,말레이시아",,,,,2000.0,,FM0000,MLB_공통,2025103141000012n3,,1208149418,왕젠릉,(주)익스피다이터스코리아,,지급수수료,지급수수료,지급수수료_기타,202510,부서
,2025/10,,55210171,지급수수료_수출입관련,K1,3400011481,1,2025-11-03,2025-10-04,2025-10-04,S,40,2100,MLB,KRW,72639,72639.0,KRW,VB,1000.0,25. 10월 태국 해상 수출 부대비용,,,,,2000.0,,FM0000,MLB_공통,202510044100000145,,1058148948,정은구,(주)삼영익스프레스,,지급수수료,지급수수료,지급수수료_기타,202510,부서
,2025/10,,55210171,지급수수료_수출입관련,K1,3400011482,1,2025-11-03,2025-10-04,2025-10-04,S,40,2100,MLB,KRW,311335,311335.0,KRW,V1,1000.0,25. 10월 태국 해상 수출 부대비용,,,,,2000.0,,FM0000,MLB_공통,202510044100000145,,1058148948,정은구,(주)삼영익스프레스,,지급수수료,지급수수료,지급수수료_기타,202510,부서
,2025/10,,55210171,지급수수료_수출입관련,K1,3400011484,1,2025-11-03,2025-10-21,2025-10-21,S,40,2100,MLB,KRW,97972,97972.0,KRW,VB,1000.0,25. 10월 태국 해상 수출 부대비용,,,,,2000.0,,FM0000,MLB_공통,202510214100000145,,1058148948,정은구,(주)삼영익스프레스,,지급수수료,지급수수료,지급수수료_기타,202510,부서
,2025/10,,55210171,지급수수료_수출입관련,K1,3400011485,1,2025-11-03,2025-10-21,2025-10-21,S,40,2100,MLB,KRW,341670,341670.0,KRW,V1,1000.0,25. 10월 태국 해상 수출 부대비용,,,,,2000.0,,FM0000,MLB_공통,202510214100000145,,1058148948,정은구,(주)삼영익스프레스,,지급수수료,지급수수료,지급수수료_기타,202510,부서
,2025/10,,55210171,지급수수료_수출입관련,K1,3400011487,1,2025-11-03,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,229532,229532.0,KRW,VB,1000.0,25. 10월 베트남 해상 수출 부대비용,,,,,2000.0,,FM0000,MLB_공통,202510314100021700,,1138655391,안치완,㈜에이제이종합물류,,지급수수료,지급수수료,지급수수료_기타,202510,부서
,2025/10,,55210171,지급수수료_수출입관련,K1,3400011488,1,2025-11-03,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,551915,551915.0,KRW,V1,1000.0,25. 10월 베트남 해상 수출 부대비용,,,,,2000.0,,FM0000,MLB_공통,202510314100021700,,1138655391,안치완,㈜에이제이종합물류,,지급수수료,지급수수료,지급수수료_기타,202510,부서
,2025/10,,55210171,지급수수료_수출입관련,K1,3400011605,1,2025-11-04,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,1145228,1145228.0,KRW,VB,1000.0,25.1 MLB해상영세수출부대비용정산건(유수),,,,,2000.0,,FM0000,MLB_공통,202510314100000145,,1078706058,송영규,(주)유수로지스틱스,,지급수수료,지급수수료,지급수수료_기타,202510,부서
