반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55070101,통신비_전화사용료,K3,3200006154,1,2025-10-14,2025-10-14,2025-10-14,S,40,2100,MLB,KRW,32258,32258.0,KRW,V1,1580.0,MLB 10월 스타필드안성 통신비 정산의 건,,,,,2000.0,,ZM8040,M_스타필드안성(직),SK 브로드밴드(주),,,,,,기타영업비,기타비용,통신비_전화사용료,202510,매장
,2025/10,,55070101,통신비_전화사용료,K3,3200006280,1,2025-10-22,2025-10-22,2025-10-22,S,40,2100,MLB,KRW,34100,34100.0,KRW,V1,1810.0,25.10월 MLB 스타필드하남 통신비 정산,,,,,2000.0,,ZM8070,M_스타필드하남(직),신세계아이앤씨,,,,,,기타영업비,기타비용,통신비_전화사용료,202510,매장
,2025/10,,55070101,통신비_전화사용료,K3,3200006281,1,2025-10-22,2025-10-22,2025-10-22,S,40,2100,MLB,KRW,44600,44600.0,KRW,V1,1940.0,25.10월 MLB 스타필드수원 통신비 정산,,,,,2000.0,,ZM8080,M_스타필드수원(직),신세계아이앤씨,,,,,,기타영업비,기타비용,통신비_전화사용료,202510,매장
,2025/10,,55070101,통신비_전화사용료,K3,3200006282,1,2025-10-22,2025-10-22,2025-10-22,S,40,2100,MLB,KRW,39532,39532.0,KRW,V1,2080.0,MLB 10월 성수 통신비 정산의 건,,,,,2000.0,,ZM7120,M_성수(직),㈜엘지텔레콤,,,,,,기타영업비,기타비용,통신비_전화사용료,202510,매장
,2025/10,,55070101,통신비_전화사용료,K3,3200006328,1,2025-10-27,2025-10-27,2025-10-27,S,40,2100,MLB,KRW,129603,129603.0,KRW,V1,1440.0,25.10월 MLB 가로수길 통신비 정산,,,,,2000.0,,ZM7060,M_가로수길(직),한국전기통신공사(분당),,,,,,기타영업비,기타비용,통신비_전화사용료,202510,매장
,2025/10,,55070101,통신비_전화사용료,K3,3200006329,1,2025-10-27,2025-10-27,2025-10-27,S,40,2100,MLB,KRW,52077,52077.0,KRW,V1,1030.0,25.10월 MLB 동성로 통신비 정산,,,,,2000.0,,ZM7040,M_동성로(직),한국전기통신공사(분당),,,,,,기타영업비,기타비용,통신비_전화사용료,202510,매장
,2025/10,,55070101,통신비_전화사용료,K3,3200006330,1,2025-10-27,2025-10-27,2025-10-27,S,40,2100,MLB,KRW,30000,30000.0,KRW,V1,1650.0,25.10월 MLB 롯데아울렛의왕 통신비정산,,,,,2000.0,,ZM8020,M_롯데아울렛의왕(직),한국전기통신공사(분당),,,,,,기타영업비,기타비용,통신비_전화사용료,202510,매장
,2025/10,,55070101,통신비_전화사용료,K3,3200006331,1,2025-10-27,2025-10-27,2025-10-27,S,40,2100,MLB,KRW,5920,5920.0,KRW,V1,1650.0,25.10월 MLB 롯데아울렛의왕 통신비정산,,,,,2000.0,,ZM8020,M_롯데아울렛의왕(직),한국전기통신공사(분당),,,,,,기타영업비,기타비용,통신비_전화사용료,202510,매장
,2025/10,,55070101,통신비_전화사용료,K3,3200006332,1,2025-10-27,2025-10-27,2025-10-27,S,40,2100,MLB,KRW,55532,55532.0,KRW,V1,1310.0,25.10월 MLB 명동중앙 통신비 정산,,,,,2000.0,,ZM7070,M_명동중앙(직),한국전기통신공사(분당),,,,,,기타영업비,기타비용,통신비_전화사용료,202510,매장
,2025/10,,55070101,통신비_전화사용료,K3,3200006334,1,2025-10-27,2025-10-27,2025-10-27,S,40,2100,MLB,KRW,54036,54036.0,KRW,V1,1300.0,25.10월 MLB 충장로 통신비 정산,,,,,2000.0,,ZM7000,M_충장로(직),한국전기통신공사(분당),,,,,,기타영업비,기타비용,통신비_전화사용료,202510,매장
,2025/10,,55070101,통신비_전화사용료,K3,3200006335,1,2025-10-27,2025-10-27,2025-10-27,S,40,2100,MLB,KRW,23636,23636.0,KRW,V1,1660.0,25.10월 MLB 타임스퀘어신림 통신비정산,,,,,2000.0,,ZM8050,M_타임스퀘어신림(직),한국전기통신공사(분당),,,,,,기타영업비,기타비용,통신비_전화사용료,202510,매장
,2025/10,,55070101,통신비_전화사용료,K3,3200006336,1,2025-10-27,2025-10-27,2025-10-27,S,40,2100,MLB,KRW,34126,34126.0,KRW,V1,1260.0,25.10월 MLB 타임스퀘어 통신비 정산,,,,,2000.0,,ZM7010,M_타임스퀘어(직),한국전기통신공사(분당),,,,,,기타영업비,기타비용,통신비_전화사용료,202510,매장
,2025/10,,55070101,통신비_전화사용료,K3,3200006337,1,2025-10-27,2025-10-27,2025-10-27,S,40,2100,MLB,KRW,27946,27946.0,KRW,V1,1710.0,25.10월 MLB 타임테라스동탄 통신비 정산,,,,,2000.0,,ZM8060,M_타임테라스동탄(직),한국전기통신공사(분당),,,,,,기타영업비,기타비용,통신비_전화사용료,202510,매장
