반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,55170109,광고선전비_기타,K3,3200007126,1,2024-10-17,2024-10-10,2024-10-10,S,40,2600,SERGIO TACCHINI,KRW,22500,22500.0,KRW,VZ,1000.0,롯데백 9월 공동사은 비용 처리,,,,,2000.0,,ZT0040,ST_롯데부산(백),롯데쇼핑(주)부산점,,,,,,광고선전비,광고선전비,광고선전비_기타,202410,매장
,2024/10,,55170109,광고선전비_기타,K3,3200007128,1,2024-10-17,2024-10-10,2024-10-10,S,40,2600,SERGIO TACCHINI,KRW,52500,52500.0,KRW,VZ,1000.0,롯데백 9월 공동사은 비용 처리,,,,,2000.0,,ZT0050,ST_롯데관악(백),롯데쇼핑(주)관악점,,,,,,광고선전비,광고선전비,광고선전비_기타,202410,매장
,2024/10,,55170109,광고선전비_기타,K3,3200007129,1,2024-10-17,2024-10-10,2024-10-10,S,40,2600,SERGIO TACCHINI,KRW,105000,105000.0,KRW,VZ,1000.0,롯데백 9월 공동사은 비용 처리,,,,,2000.0,,ZT0060,[CLSD]ST_롯데분당(백),롯데쇼핑(주)분당점,,,,,,광고선전비,광고선전비,광고선전비_기타,202410,매장
,2024/10,,55170109,광고선전비_기타,K3,3200007131,1,2024-10-17,2024-10-10,2024-10-10,S,40,2600,SERGIO TACCHINI,KRW,105000,105000.0,KRW,VZ,1000.0,롯데백 9월 공동사은 비용 처리,,,,,2000.0,,ZT0090,[CLSD]ST_롯데전주(백),롯데쇼핑(엘르전주점),,,,,,광고선전비,광고선전비,광고선전비_기타,202410,매장
,2024/10,,55170109,광고선전비_기타,K3,3200007133,1,2024-10-17,2024-10-10,2024-10-10,S,40,2600,SERGIO TACCHINI,KRW,30000,30000.0,KRW,VZ,1000.0,롯데백 9월 공동사은 비용 정산,,,,,2000.0,,ZT0100,ST_롯데광복(백),롯데쇼핑(주)광복점,,,,,,광고선전비,광고선전비,광고선전비_기타,202410,매장
,2024/10,,55170109,광고선전비_기타,K3,3200007134,1,2024-10-17,2024-10-10,2024-10-10,S,40,2600,SERGIO TACCHINI,KRW,15000,15000.0,KRW,VZ,1000.0,롯데백 9월 공동사은 비용 정산,,,,,2000.0,,ZT0070,ST_롯데중동(백),롯데쇼핑(주)중동점,,,,,,광고선전비,광고선전비,광고선전비_기타,202410,매장
,2024/10,,55170109,광고선전비_기타,K3,3200007258,1,2024-10-17,2024-10-17,2024-10-17,S,40,2600,SERGIO TACCHINI,KRW,52500,52500.0,KRW,VZ,1000.0,롯데백 공동사은 비용 정산,,,,,2000.0,,ZT0080,ST_롯데창원(백),롯데쇼핑(주)창원,,,,,,광고선전비,광고선전비,광고선전비_기타,202410,매장
,2024/10,,55170109,광고선전비_기타,K3,3200007266,1,2024-10-17,2024-10-17,2024-10-17,S,40,2600,SERGIO TACCHINI,KRW,500000,500000.0,KRW,VZ,1000.0,ST 스타필드코엑스 프로모션 처리 (상품권),,,,,2000.0,,ZT7010,ST_스타필드코엑스(직),SM김성은(스타필드코엑스),,,,,,광고선전비,광고선전비,광고선전비_기타,202410,매장
,2024/10,,55170109,광고선전비_기타,K3,3200007275,1,2024-10-18,2024-10-18,2024-10-18,S,40,2600,SERGIO TACCHINI,KRW,9517817,9517817.0,KRW,VZ,1000.0,[ST]HDC신라면세 프로모션 비용 공제,,,,,2000.0,,ZT5000,ST_신라용산(면),HDC신라면세점,,,,,,광고선전비,광고선전비,광고선전비_기타,202410,매장
,2024/10,,55170109,광고선전비_기타,K2,3300077017,1,2024-11-04,2024-10-10,2024-10-10,S,40,2600,SERGIO TACCHINI,KRW,47300,47300.0,KRW,VZ,1000.0,그랜드하얏트 쿠폰 제작,,,,,2000.0,,FT0800,[CLSD]ST_영업팀,4265869775418833,,2141305910,30000276,"A202409003, 조문기",,광고선전비,광고선전비,광고선전비_기타,202410,부서
