반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104749265,2,2025-10-02,2025-10-01,2025-10-01,S,81,2600,SERGIO TACCHINI,KRW,7918,7918.0,KRW,,,,105725.0,,(주)에프앤에프 ST롯데아울렛기흥,6108551735.0,2000.0,,ZT7020,ST_롯데아울렛기흥(직),ZT7020,STXTC005,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104749265,4,2025-10-02,2025-10-01,2025-10-01,S,81,2600,SERGIO TACCHINI,KRW,3900,3900.0,KRW,,,,105725.0,,(주)에프앤에프 ST롯데아울렛기흥,6108551735.0,2000.0,,ZT7020,ST_롯데아울렛기흥(직),ZT7020,STXTD002,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104749266,2,2025-10-02,2025-10-01,2025-10-01,S,81,2600,SERGIO TACCHINI,KRW,7918,7918.0,KRW,,,,106136.0,,(주)에프앤에프 듀베티카 현대아울렛김포,1058544412.0,2000.0,,ZT7060,ST_현대아울렛김포(직),ZT7060,STXTC005,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104749267,2,2025-10-02,2025-10-01,2025-10-01,S,81,2600,SERGIO TACCHINI,KRW,11500,11500.0,KRW,,,,106252.0,,(주)에프앤에프 세르지오타키니 롯데아울렛 고양점,4838503010.0,2000.0,,ZT7070,ST_롯데아울렛고양(직),ZT7070,STXTD003,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104773442,2,2025-10-03,2025-10-02,2025-10-02,S,81,2600,SERGIO TACCHINI,KRW,780,780.0,KRW,,,,105235.0,,롯데쇼핑(주)중동점,1308561815.0,2000.0,,ZT0070,ST_롯데중동(백),ZT0070,STXTD002,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104908202,10,2025-10-11,2025-10-10,2025-10-10,S,81,2600,SERGIO TACCHINI,KRW,7918,7918.0,KRW,,,,105561.0,,(주)에프앤에프 세르지오타키니 스타필드,1168512259.0,2000.0,,ZT7010,ST_스타필드코엑스(직),ZT7010,STXTC005,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104908202,12,2025-10-11,2025-10-10,2025-10-10,S,81,2600,SERGIO TACCHINI,KRW,4133,4133.0,KRW,,,,105561.0,,(주)에프앤에프 세르지오타키니 스타필드,1168512259.0,2000.0,,ZT7010,ST_스타필드코엑스(직),ZT7010,STXTD004,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104908206,10,2025-10-11,2025-10-10,2025-10-10,S,81,2600,SERGIO TACCHINI,KRW,7918,7918.0,KRW,,,,105495.0,,(주)에프앤에프 SERGIO TACCHINI 수원,4368502733.0,2000.0,,ZT8000,ST_스타필드수원(직),ZT8000,STXTC005,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104908210,10,2025-10-11,2025-10-10,2025-10-10,S,81,2600,SERGIO TACCHINI,KRW,7918,7918.0,KRW,,,,105725.0,,(주)에프앤에프 ST롯데아울렛기흥,6108551735.0,2000.0,,ZT7020,ST_롯데아울렛기흥(직),ZT7020,STXTC005,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104908210,12,2025-10-11,2025-10-10,2025-10-10,S,81,2600,SERGIO TACCHINI,KRW,3900,3900.0,KRW,,,,105725.0,,(주)에프앤에프 ST롯데아울렛기흥,6108551735.0,2000.0,,ZT7020,ST_롯데아울렛기흥(직),ZT7020,STXTD002,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104964012,2,2025-10-14,2025-10-13,2025-10-13,S,81,2600,SERGIO TACCHINI,KRW,7918,7918.0,KRW,,,,106251.0,,(주)에프앤에프 세르지오타키니 롯데아울렛 이천점,4868503232.0,2000.0,,ZT7080,ST_롯데아울렛이천(직),ZT7080,STXTC005,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104964013,2,2025-10-14,2025-10-13,2025-10-13,S,81,2600,SERGIO TACCHINI,KRW,8265,8265.0,KRW,,,,106358.0,,(주)에프앤에프,8098502324.0,2000.0,,ZT7090,ST_한남점(직),ZT7090,STXTD004,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6104978050,2,2025-10-15,2025-10-14,2025-10-14,S,81,2600,SERGIO TACCHINI,KRW,8265,8265.0,KRW,,,,106252.0,,(주)에프앤에프 세르지오타키니 롯데아울렛 고양점,4838503010.0,2000.0,,ZT7070,ST_롯데아울렛고양(직),ZT7070,STXTD004,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6105032357,2,2025-10-18,2025-10-17,2025-10-17,S,81,2600,SERGIO TACCHINI,KRW,7918,7918.0,KRW,,,,104924.0,,EC-온라인물류,0.0,2000.0,,FT0000,ST_공통,FT0000,STXTC005,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,부서
,2025/10,,55110113,소모품비_마네킨사용외,WA,6105032357,4,2025-10-18,2025-10-17,2025-10-17,S,81,2600,SERGIO TACCHINI,KRW,20100,20100.0,KRW,,,,104924.0,,EC-온라인물류,0.0,2000.0,,FT0000,ST_공통,FT0000,STXTC006,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,부서
,2025/10,,55110113,소모품비_마네킨사용외,WA,6105032357,6,2025-10-18,2025-10-17,2025-10-17,S,81,2600,SERGIO TACCHINI,KRW,16600,16600.0,KRW,,,,104924.0,,EC-온라인물류,0.0,2000.0,,FT0000,ST_공통,FT0000,STXTC012,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,부서
,2025/10,,55110113,소모품비_마네킨사용외,WA,6105092430,2,2025-10-21,2025-10-20,2025-10-20,S,81,2600,SERGIO TACCHINI,KRW,15835,15835.0,KRW,,,,105495.0,,(주)에프앤에프 SERGIO TACCHINI 수원,4368502733.0,2000.0,,ZT8000,ST_스타필드수원(직),ZT8000,STXTC005,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6105092431,2,2025-10-21,2025-10-20,2025-10-20,S,81,2600,SERGIO TACCHINI,KRW,20100,20100.0,KRW,,,,105561.0,,(주)에프앤에프 세르지오타키니 스타필드,1168512259.0,2000.0,,ZT7010,ST_스타필드코엑스(직),ZT7010,STXTC006,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6105130486,2,2025-10-23,2025-10-22,2025-10-22,S,81,2600,SERGIO TACCHINI,KRW,780,780.0,KRW,,,,105235.0,,롯데쇼핑(주)중동점,1308561815.0,2000.0,,ZT0070,ST_롯데중동(백),ZT0070,STXTD002,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6105151125,2,2025-10-24,2025-10-23,2025-10-23,S,81,2600,SERGIO TACCHINI,KRW,7918,7918.0,KRW,,,,105725.0,,(주)에프앤에프 ST롯데아울렛기흥,6108551735.0,2000.0,,ZT7020,ST_롯데아울렛기흥(직),ZT7020,STXTC005,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6105151125,4,2025-10-24,2025-10-23,2025-10-23,S,81,2600,SERGIO TACCHINI,KRW,20100,20100.0,KRW,,,,105725.0,,(주)에프앤에프 ST롯데아울렛기흥,6108551735.0,2000.0,,ZT7020,ST_롯데아울렛기흥(직),ZT7020,STXTC006,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6105151125,6,2025-10-24,2025-10-23,2025-10-23,S,81,2600,SERGIO TACCHINI,KRW,3900,3900.0,KRW,,,,105725.0,,(주)에프앤에프 ST롯데아울렛기흥,6108551735.0,2000.0,,ZT7020,ST_롯데아울렛기흥(직),ZT7020,STXTD002,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6105170184,2,2025-10-25,2025-10-24,2025-10-24,S,81,2600,SERGIO TACCHINI,KRW,7918,7918.0,KRW,,,,105561.0,,(주)에프앤에프 세르지오타키니 스타필드,1168512259.0,2000.0,,ZT7010,ST_스타필드코엑스(직),ZT7010,STXTC005,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6105239444,2,2025-10-28,2025-10-27,2025-10-27,S,81,2600,SERGIO TACCHINI,KRW,3120,3120.0,KRW,,,,105495.0,,(주)에프앤에프 SERGIO TACCHINI 수원,4368502733.0,2000.0,,ZT8000,ST_스타필드수원(직),ZT8000,STXTD002,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6105239446,2,2025-10-28,2025-10-27,2025-10-27,S,81,2600,SERGIO TACCHINI,KRW,7918,7918.0,KRW,,,,106358.0,,(주)에프앤에프,8098502324.0,2000.0,,ZT7090,ST_한남점(직),ZT7090,STXTC005,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6105239446,4,2025-10-28,2025-10-27,2025-10-27,S,81,2600,SERGIO TACCHINI,KRW,20100,20100.0,KRW,,,,106358.0,,(주)에프앤에프,8098502324.0,2000.0,,ZT7090,ST_한남점(직),ZT7090,STXTC006,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
,2025/10,,55110113,소모품비_마네킨사용외,WA,6105280206,2,2025-10-30,2025-10-29,2025-10-29,S,81,2600,SERGIO TACCHINI,KRW,39000,39000.0,KRW,,,,105235.0,,롯데쇼핑(주)중동점,1308561815.0,2000.0,,ZT0070,ST_롯데중동(백),ZT0070,STXTD002,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_마네킨사용외,202510,매장
