반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55110107,소모품비_사은품사용,WA,6104749316,2,2025-10-02,2025-10-01,2025-10-01,H,91,2600,SERGIO TACCHINI,KRW,-366080,-366080.0,KRW,,,,104924.0,,EC-온라인물류,0.0,2000.0,,FT0000,ST_공통,FT0000,STXSTP0000062,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,부서
,2025/10,,55110107,소모품비_사은품사용,WA,6104749316,4,2025-10-02,2025-10-01,2025-10-01,H,91,2600,SERGIO TACCHINI,KRW,-21940,-21940.0,KRW,,,,104924.0,,EC-온라인물류,0.0,2000.0,,FT0000,ST_공통,FT0000,STXSTP0000079,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,부서
,2025/10,,55110107,소모품비_사은품사용,WA,6104749316,6,2025-10-02,2025-10-01,2025-10-01,H,91,2600,SERGIO TACCHINI,KRW,-31680,-31680.0,KRW,,,,104924.0,,EC-온라인물류,0.0,2000.0,,FT0000,ST_공통,FT0000,STXSTP0000004,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,부서
,2025/10,,55110107,소모품비_사은품사용,WA,6104749316,8,2025-10-02,2025-10-01,2025-10-01,H,91,2600,SERGIO TACCHINI,KRW,-150200,-150200.0,KRW,,,,104924.0,,EC-온라인물류,0.0,2000.0,,FT0000,ST_공통,FT0000,STXSTP0000073,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,부서
,2025/10,,55110107,소모품비_사은품사용,WA,6104749316,10,2025-10-02,2025-10-01,2025-10-01,H,91,2600,SERGIO TACCHINI,KRW,-18780,-18780.0,KRW,,,,104924.0,,EC-온라인물류,0.0,2000.0,,FT0000,ST_공통,FT0000,STXTP021,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,부서
,2025/10,,55110107,소모품비_사은품사용,WA,6104749316,12,2025-10-02,2025-10-01,2025-10-01,H,91,2600,SERGIO TACCHINI,KRW,-19600,-19600.0,KRW,,,,104924.0,,EC-온라인물류,0.0,2000.0,,FT0000,ST_공통,FT0000,STXTP045,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,부서
,2025/10,,55110107,소모품비_사은품사용,WA,6104749317,2,2025-10-02,2025-10-01,2025-10-01,S,81,2600,SERGIO TACCHINI,KRW,366080,366080.0,KRW,,,,105732.0,,삼성물산(주)패션부문,1018543600.0,2000.0,,ZT9050,ST_SSF샵(제휴몰),ZT9050,STXSTP0000062,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,매장
,2025/10,,55110107,소모품비_사은품사용,WA,6104749338,2,2025-10-02,2025-10-01,2025-10-01,H,91,2600,SERGIO TACCHINI,KRW,-7600,-7600.0,KRW,,,,105205.0,,"주식회사 무신사 (MUSINSA Co. , Ltd.)",2118879575.0,2000.0,,ZT9010,ST_무신사(제휴몰),ZT9010,STXSTP0000032,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,매장
,2025/10,,55110107,소모품비_사은품사용,WA,6104749340,2,2025-10-02,2025-10-01,2025-10-01,S,81,2600,SERGIO TACCHINI,KRW,7600,7600.0,KRW,,,,104924.0,,EC-온라인물류,0.0,2000.0,,FT0000,ST_공통,FT0000,STXSTP0000032,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,부서
,2025/10,,55110107,소모품비_사은품사용,WA,6104749351,2,2025-10-02,2025-10-01,2025-10-01,S,81,2600,SERGIO TACCHINI,KRW,21940,21940.0,KRW,,,,104922.0,,온라인쇼핑몰(직),1538102451.0,2000.0,,ZT9000,ST_온라인(자사몰),ZT9000,STXSTP0000079,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,매장
,2025/10,,55110107,소모품비_사은품사용,WA,6104749351,4,2025-10-02,2025-10-01,2025-10-01,S,81,2600,SERGIO TACCHINI,KRW,18780,18780.0,KRW,,,,104922.0,,온라인쇼핑몰(직),1538102451.0,2000.0,,ZT9000,ST_온라인(자사몰),ZT9000,STXTP021,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,매장
,2025/10,,55110107,소모품비_사은품사용,WA,6104749351,6,2025-10-02,2025-10-01,2025-10-01,S,81,2600,SERGIO TACCHINI,KRW,150200,150200.0,KRW,,,,104922.0,,온라인쇼핑몰(직),1538102451.0,2000.0,,ZT9000,ST_온라인(자사몰),ZT9000,STXSTP0000073,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_사은품사용,202510,매장
