반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55210171,지급수수료_수출입관련,AB,1200024931,1,2025-11-10,2025-10-31,2025-10-31,H,50,2600,SERGIO TACCHINI,KRW,-1141808,-1141808.0,KRW,VZ,1000.0,26FW_BBUK_무상샘플부가세_HESRRO,,,,,2000.0,,FT0901,ST_기획팀,FT0901,,,,,,지급수수료,지급수수료,지급수수료_기타,202510,부서
,2025/10,,55210171,지급수수료_수출입관련,AB,1200024931,2,2025-11-10,2025-10-31,2025-10-31,H,50,2600,SERGIO TACCHINI,KRW,-468903,-468903.0,KRW,VZ,1000.0,26FW_BBUK_무상샘플부가세_MACRO,,,,,2000.0,,FT0901,ST_기획팀,FT0901,,,,,,지급수수료,지급수수료,지급수수료_기타,202510,부서
,2025/10,,55210171,지급수수료_수출입관련,AB,1200024931,3,2025-11-10,2025-10-31,2025-10-31,H,50,2600,SERGIO TACCHINI,KRW,-411103,-411103.0,KRW,VZ,1000.0,26FW_STO_유상샘플부가세_FFI,,,,,2000.0,,FT0901,ST_기획팀,FT0901,,,,,,지급수수료,지급수수료,지급수수료_기타,202510,부서
,2025/10,,55210171,지급수수료_수출입관련,AB,1200024931,4,2025-11-10,2025-10-31,2025-10-31,H,50,2600,SERGIO TACCHINI,KRW,-5461219,-5461219.0,KRW,VZ,1000.0,26FW_STO_유상샘플부가세_PORTA,,,,,2000.0,,FT0901,ST_기획팀,FT0901,,,,,,지급수수료,지급수수료,지급수수료_기타,202510,부서
,2025/10,,55210171,지급수수료_수출입관련,K1,3400010917,1,2025-10-13,2025-10-01,2025-10-01,S,40,2600,SERGIO TACCHINI,KRW,15150,15150.0,KRW,V1,1000.0,ST 소재_ DHL 창고 보관료 정산의,,,,,2000.0,,FT1100,ST_소재팀,202510014100009604,,1058619360,한지헌,주식회사 디에이치엘코리아,,지급수수료,지급수수료,지급수수료_기타,202510,부서
,2025/10,,55210171,지급수수료_수출입관련,K1,3400011034,1,2025-10-30,2025-10-01,2025-10-01,S,40,2600,SERGIO TACCHINI,KRW,92976,92976.0,KRW,VA,1000.0,26FW STO-THONGTHAI 부가세 정산,,,,,2000.0,,FT0901,ST_기획팀,202510014200003617,,1098302763,인천공항세관장,인천공항세관,,지급수수료,지급수수료,지급수수료_기타,202510,부서
,2025/10,,55210171,지급수수료_수출입관련,K1,3400011035,1,2025-10-30,2025-10-02,2025-10-02,S,40,2600,SERGIO TACCHINI,KRW,221835,221835.0,KRW,VA,1000.0,26FW BBUK-NANTONG 부가세 정산,,,,,2000.0,,FT0901,ST_기획팀,202510024200003617,,1098302763,인천공항세관장,인천공항세관,,지급수수료,지급수수료,지급수수료_기타,202510,부서
,2025/10,,55210171,지급수수료_수출입관련,K1,3400011037,1,2025-10-30,2025-10-13,2025-10-13,S,40,2600,SERGIO TACCHINI,KRW,127231,127231.0,KRW,VA,1000.0,26FW BBUK-CRAV 부가세 정산,,,,,2000.0,,FT0901,ST_기획팀,202510134200003618,,1098302763,인천공항세관장,인천공항세관,,지급수수료,지급수수료,지급수수료_기타,202510,부서
,2025/10,,55210171,지급수수료_수출입관련,K1,3400011038,1,2025-10-30,2025-10-14,2025-10-14,S,40,2600,SERGIO TACCHINI,KRW,158348,158348.0,KRW,VA,1000.0,26FW BBUK 수입 샘플 부가세 정산,,,,,2000.0,,FT0901,ST_기획팀,202510144200003618,,1098302763,인천공항세관장,인천공항세관,,지급수수료,지급수수료,지급수수료_기타,202510,부서
,2025/10,,55210171,지급수수료_수출입관련,K1,3400011039,1,2025-10-30,2025-10-16,2025-10-16,S,40,2600,SERGIO TACCHINI,KRW,201433,201433.0,KRW,VA,1000.0,26FW BBUK 수입 샘플 부가세 정산,,,,,2000.0,,FT0901,ST_기획팀,202510164200003619,,1098302763,인천공항세관장,인천공항세관,,지급수수료,지급수수료,지급수수료_기타,202510,부서
